Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,431,0,300,540.600928074246,43,12992,10156.67517401392,0.35802065765888136,0.0,300,390,480,530,720,1000,5200,6600,13000,13000,13000
POST,/,70,0,610,1146.0,168,9053,10221.785714285714,0.05814720658032876,0.0,620,720,1100,1600,1900,5800,8600,9100,9100,9100,9100
GET,/auth/find-friends/,624,0,250,462.9375,33,15358,1974.0,0.518340812944645,0.0,250,340,420,470,640,940,3200,6200,15000,15000,15000
GET,/auth/login/,1,0,311,311.0,311,311,2961.0,0.0008306743797189823,0.0,310,310,310,310,310,310,310,310,310,310,310
POST,/auth/login/,75,0,980,2160.2266666666665,137,13767,9777.146666666667,0.06230057847892367,0.0,980,1400,1900,2500,6900,10000,11000,14000,14000,14000,14000
GET,/auth/logout/,74,0,240,372.35135135135135,29,7044,1712.0,0.061469904099204685,0.0,260,320,370,410,530,860,990,7000,7000,7000,7000
POST,/auth/modify-friend/,311,0,250,441.59485530546624,37,12664,1713.0,0.25833973209260347,0.0,250,340,430,480,620,1000,2700,3700,13000,13000,13000
GET,/public/,312,0,330,601.9166666666666,76,22124,10191.88141025641,0.2591704064723225,0.0,330,410,480,520,670,930,3500,12000,22000,22000,22000
,Aggregated,1898,0,300,588.5711275026343,29,22124,5743.083772391991,1.5766199727066283,0.0,300,390,480,550,830,1300,5300,8500,15000,22000,22000
000,22000
