Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,513,0,270,470.69395711500977,38,15304,10154.007797270955,0.42541525231113714,0.0,270,360,420,460,640,890,2300,5600,15000,15000,15000
POST,/,73,0,510,981.5616438356165,201,17152,10007.835616438357,0.06053667333082458,0.0,510,720,820,880,1200,1400,6800,17000,17000,17000,17000
GET,/auth/find-friends/,718,0,210,416.9791086350975,24,15987,1974.0,0.5954154993360554,0.0,210,280,330,370,600,800,3600,5700,16000,16000,16000
GET,/auth/login/,1,0,55,55.0,55,55,2961.0,0.0008292694976825285,0.0,55,55,55,55,55,55,55,55,55,55,55
POST,/auth/login/,71,0,840,1552.338028169014,101,11406,10218.915492957747,0.05887813433545952,0.0,840,1000,1400,1600,3100,6300,10000,11000,11000,11000,11000
GET,/auth/logout/,70,0,260,1001.2285714285714,25,19487,1712.0,0.05804886483777699,0.0,260,320,370,500,890,3800,16000,19000,19000,19000,19000
POST,/auth/modify-friend/,359,0,200,376.6434540389972,29,12957,1713.0,0.2977077496680277,0.0,200,260,310,350,490,840,1300,7500,13000,13000,13000
GET,/public/,359,0,280,539.1977715877438,59,13566,10114.245125348189,0.2977077496680277,0.0,280,380,430,490,630,980,5100,8500,14000,14000,14000
,Aggregated,2164,0,250,518.3248613678373,24,19487,5753.805452865065,1.7945391929849916,0.0,250,330,410,480,700,1100,4100,7700,16000,19000,19000
0
