Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,550,0,330,502.3727272727273,34,8807,10228.941818181818,0.4459431139247744,0.0,330,420,500,540,740,1100,3300,4000,8800,8800,8800
POST,/,79,0,600,891.5822784810126,81,9536,10206.075949367088,0.06405364727283124,0.0,600,770,940,1100,1500,2700,4700,9500,9500,9500,9500
GET,/auth/find-friends/,806,0,260,397.79776674937966,25,7173,1974.0,0.6535093633152149,0.0,260,350,420,460,600,790,2400,3900,7200,7200,7200
GET,/auth/login/,1,0,62,62.0,62,62,2961.0,0.0008108056616814081,0.0,62,62,62,62,62,62,62,62,62,62,62
POST,/auth/login/,64,0,840,1442.09375,184,6873,10171.78125,0.051891562347610116,0.0,870,1200,1400,1400,3700,5800,6000,6900,6900,6900,6900
GET,/auth/logout/,63,0,240,379.7142857142857,90,3219,1712.0,0.05108075668592871,0.0,240,330,390,450,640,800,2100,3200,3200,3200,3200
POST,/auth/modify-friend/,403,0,260,452.59305210918114,28,14591,1713.0,0.32675468165760746,0.0,260,330,400,440,600,910,3600,4600,15000,15000,15000
GET,/public/,403,0,310,474.7320099255583,82,7378,10184.114143920595,0.32675468165760746,0.0,310,410,490,540,720,960,2800,3800,7400,7400,7400
,Aggregated,2369,0,300,488.5415787252005,25,14591,5732.203461376108,1.9207986125232557,0.0,300,400,480,530,750,1100,3300,4700,8800,15000,15000

