Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637227389,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637227390,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,231,231.0,231,231,10506.0
1637227390,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,52,52.0,52,52,2961.0
1637227390,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,87,87.0,87,87,2032.0
1637227390,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,46,46.0,46,46,1712.0
1637227390,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,52,104.0,46,231,4302.75
1637227391,1,GET,/,0.000000,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,231,231.0,231,231,10506.0
1637227391,1,GET,/auth/login/,0.000000,0.000000,52,52,52,52,52,52,52,52,52,52,52,1,0,52,52.0,52,52,2961.0
1637227391,1,POST,/auth/login/,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,87,166.5,87,246,2032.0
1637227391,1,GET,/auth/logout/,0.000000,0.000000,46,46,46,46,46,46,46,46,46,46,46,1,0,46,46.0,46,46,1712.0
1637227391,1,,Aggregated,0.000000,0.000000,87,230,230,250,250,250,250,250,250,250,250,5,0,87,132.4,46,246,3848.6
1637227392,1,GET,/,1.000000,0.000000,230,230,230,230,230,230,230,230,230,230,230,2,0,120,174.0,117,231,6269.0
1637227392,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,125,136.0,125,147,1974.0
1637227392,1,GET,/auth/login/,1.000000,0.000000,52,52,52,52,52,52,52,52,52,52,52,1,0,52,52.0,52,52,2961.0
1637227392,1,POST,/auth/login/,1.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,87,166.5,87,246,2032.0
1637227392,1,GET,/auth/logout/,1.000000,0.000000,46,46,46,46,46,46,46,46,46,46,46,1,0,46,46.0,46,46,1712.0
1637227392,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,76,76.0,76,76,1713.0
1637227392,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,674,674.0,674,674,10493.0
