Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637249737,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637249738,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,114,114.0,114,114,2786.0
1637249738,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,64,65.0,64,66,1974.0
1637249738,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,161,161.0,161,161,2961.0
1637249738,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,123,123.0,123,123,2032.0
1637249738,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,73,73.0,73,73,3233.0
1637249738,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,73,100.16666666666667,64,161,2493.3333333333335
1637249739,1,GET,/,0.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,1,0,114,114.0,114,114,2786.0
1637249739,1,GET,/auth/find-friends/,0.000000,0.000000,66,66,66,66,66,66,66,66,66,66,66,2,0,64,65.0,64,66,1974.0
1637249739,1,GET,/auth/login/,0.000000,0.000000,160,160,160,160,160,160,160,160,160,160,160,1,0,161,161.0,161,161,2961.0
1637249739,1,POST,/auth/login/,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,1,0,123,123.0,123,123,2032.0
1637249739,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1065,1065.0,1065,1065,1713.0
1637249739,1,GET,/public/,0.000000,0.000000,73,73,73,73,73,73,73,73,73,73,73,1,0,73,73.0,73,73,3233.0
1637249739,1,,Aggregated,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,7,0,110,238.0,64,1065,2381.8571428571427
1637249740,1,GET,/,1.000000,0.000000,110,190,190,490,490,490,490,490,490,490,490,5,0,110,192.0,77,488,2182.8
1637249740,1,GET,/auth/find-friends/,2.000000,0.000000,64,64,66,66,66,66,66,66,66,66,66,4,0,44,54.5,44,66,1974.0
1637249740,1,GET,/auth/login/,1.000000,0.000000,160,160,160,160,160,160,160,160,160,160,160,1,0,161,161.0,161,161,2961.0
1637249740,1,POST,/auth/login/,1.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,1,0,123,123.0,123,123,2032.0
1637249740,1,POST,/auth/modify-friend/,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,2,0,120,592.5,120,1065,1713.0
1637249740,1,GET,/public/,1.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,2,0,73,103.0,73,133,4253.5
1637249740,1,,Aggregated,6.000000,0.000000,120,130,190,490,1100,1100,1100,1100,1100,1100,1100,15,0,110,190.2,44,1065,2382.4
1637249741,1,GET,/,0.500000,0.000000,110,190,190,490,490,490,490,490,490,490,490,5,0,110,192.0,77,488,2182.8
1637249741,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,184,184.0,184,184,2162.0
1637249741,1,GET,/auth/find-friends/,1.000000,0.000000,59,64,66,66,82,82,82,82,82,82,82,8,0,56,58.0,44,82,1974.0
1637249741,1,GET,/auth/login/,0.500000,0.000000,160,160,160,160,160,160,160,160,160,160,160,1,0,161,161.0,161,161,2961.0
1637249741,1,POST,/auth/login/,0.500000,0.000000,120,120,120,120,120,120,120,120,120,120,120,1,0,123,123.0,123,123,2032.0
1637249741,1,POST,/auth/modify-friend/,0.500000,0.000000,130,130,1100,1100,1100,1100,1100,1100,1100,1100,1100,4,0,120,342.0,51,1065,1713.0
1637249741,1,GET,/public/,0.500000,0.000000,130,130,210,210,210,210,210,210,210,210,210,4,0,87,125.25,73,208,5569.0
1637249741,1,,Aggregated,3.500000,0.000000,93,130,180,190,490,1100,1100,1100,1100,1100,1100,24,0,87,156.70833333333334,44,1065,2624.5416666666665
1637249742,1,GET,/,1.333333,0.000000,93,110,190,190,490,490,490,490,490,490,490,7,0,93,155.28571428571428,57,488,2317.4285714285716
1637249742,1,POST,/,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,184,184.0,184,184,2162.0
1637249742,1,GET,/auth/find-friends/,1.333333,0.000000,59,65,66,66,73,82,82,82,82,82,82,11,0,59,59.36363636363637,44,82,1974.0
1637249742,1,GET,/auth/login/,0.333333,0.000000,160,160,160,160,160,160,160,160,160,160,160,1,0,161,161.0,161,161,2961.0
1637249742,1,POST,/auth/login/,0.333333,0.000000,120,120,120,120,120,120,120,120,120,120,120,1,0,123,123.0,123,123,2032.0
1637249742,1,POST,/auth/modify-friend/,0.333333,0.000000,130,140,140,1100,1100,1100,1100,1100,1100,1100,1100,5,0,130,300.6,51,1065,1713.0
