Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637227394,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637227395,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,259,259.0,259,259,10464.0
1637227395,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,500,500.0,500,500,2961.0
1637227395,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,260,379.5,259,500,6712.5
1637227396,1,GET,/,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,2,0,172,215.5,172,259,6248.0
1637227396,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,500,500.0,500,500,2961.0
1637227396,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,438,438.0,438,438,2032.0
1637227396,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,438,438.0,438,438,10259.0
1637227396,1,,Aggregated,0.000000,0.000000,440,440,500,500,500,500,500,500,500,500,500,5,0,440,361.4,172,500,5549.6
1637227397,1,GET,/,1.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,2,0,172,215.5,172,259,6248.0
1637227397,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,273,374.5,273,476,1974.0
1637227397,1,GET,/auth/login/,0.000000,0.000000,500,500,500,500,500,500,500,500,500,500,500,1,0,500,500.0,500,500,2961.0
1637227397,1,POST,/auth/login/,0.000000,0.000000,440,440,440,440,440,440,440,440,440,440,440,1,0,438,438.0,438,438,2032.0
1637227397,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,217,217.0,217,217,1713.0
1637227397,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,438,438.0,438,438,10259.0
1637227397,1,,Aggregated,1.000000,0.000000,440,440,480,480,500,500,500,500,500,500,500,8,0,270,346.625,172,500,4176.125
1637227398,1,GET,/,1.000000,0.000000,390,390,390,390,390,390,390,390,390,390,390,3,0,260,275.0,172,394,4842.666666666667
1637227398,1,GET,/auth/find-friends/,0.000000,0.000000,78,78,480,480,480,480,480,480,480,480,480,4,0,78,222.0,61,476,1974.0
1637227398,1,GET,/auth/login/,0.500000,0.000000,500,500,500,500,500,500,500,500,500,500,500,1,0,500,500.0,500,500,2961.0
1637227398,1,POST,/auth/login/,0.500000,0.000000,440,440,440,440,440,440,440,440,440,440,440,1,0,438,438.0,438,438,2032.0
1637227398,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,120,167.5,118,217,1713.0
1637227398,1,GET,/public/,0.000000,0.000000,470,470,470,470,470,470,470,470,470,470,470,2,0,440,452.0,438,466,10223.5
1637227398,1,,Aggregated,2.000000,0.000000,390,440,470,470,480,500,500,500,500,500,500,13,0,270,299.2307692307692,61,500,3945.3846153846152
1637227399,1,GET,/,0.666667,0.000000,380,380,390,390,390,390,390,390,390,390,390,5,0,260,273.0,165,394,3718.4
1637227399,1,GET,/auth/find-friends/,0.333333,0.000000,200,200,480,480,480,480,480,480,480,480,480,5,0,200,216.8,61,476,1974.0
1637227399,1,GET,/auth/login/,0.333333,0.000000,500,500,500,500,500,500,500,500,500,500,500,1,0,500,500.0,500,500,2961.0
1637227399,1,POST,/auth/login/,0.333333,0.000000,440,440,440,440,440,440,440,440,440,440,440,1,0,438,438.0,438,438,2032.0
1637227399,1,POST,/auth/modify-friend/,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,2,0,120,167.5,118,217,1713.0
1637227399,1,GET,/public/,0.333333,0.000000,470,470,470,470,470,470,470,470,470,470,470,3,0,440,378.0,230,466,10167.0
1637227399,1,,Aggregated,2.000000,0.000000,270,390,440,440,480,500,500,500,500,500,500,17,0,260,285.6470588235294,61,500,3963.6470588235293
1637227400,1,GET,/,0.500000,0.000000,160,170,380,380,390,390,390,390,390,390,390,9,0,160,184.22222222222223,35,394,2968.8888888888887
1637227400,1,GET,/auth/find-friends/,1.000000,0.000000,94,130,200,200,480,480,480,480,480,480,480,8,0,94,166.625,28,476,1974.0
1637227400,1,GET,/auth/login/,0.250000,0.000000,500,500,500,500,500,500,500,500,500,500,500,1,0,500,500.0,500,500,2961.0
1637227400,1,POST,/auth/login/,0.250000,0.000000,440,440,440,440,440,440,440,440,440,440,440,1,0,438,438.0,438,438,2032.0
1637227400,1,POST,/auth/modify-friend/,0.250000,0.000000,94,94,120,120,120,120,120,120,120,120,120,4,0,94,117.5,41,217,1713.0
1637227400,1,GET,/public/,0.500000,0.000000,230,230,470,470,470,470,470,470,470,470,470,4,0,230,300.75,69,466,10225.5
1637227400,1,,Aggregated,2.750000,0.000000,160,230,380,390,470,480,500,500,500,500,500,27,0,160,207.4814814814815,28,500,3528.1111111111113
1637227401,1,GET,/,0.800000,0.000000,160,170,380,380,390,390,390,390,390,390,390,9,0,160,184.22222222222223,35,394,2968.8888888888887
1637227401,1,GET,/auth/find-friends/,0.800000,0.000000,94,94,130,200,480,480,480,480,480,480,480,10,0,94,152.1,28,476,1974.0
1637227401,1,GET,/auth/login/,0.200000,0.000000,500,500,500,500,500,500,500,500,500,500,500,1,0,500,500.0,500,500,2961.0
1637227401,1,POST,/auth/login/,0.200000,0.000000,440,440,440,440,440,440,440,440,440,440,440,1,0,438,438.0,438,438,2032.0
1637227401,1,POST,/auth/modify-friend/,0.400000,0.000000,120,120,200,200,200,200,200,200,200,200,200,5,0,120,134.6,41,217,1713.0
1637227401,1,GET,/public/,0.400000,0.000000,250,410,410,470,470,470,470,470,470,470,470,6,0,250,310.5,69,466,10326.166666666666
