Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637249735,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637249736,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,140,114.66666666666667,24,179,1960.0
1637249736,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,38,38.0,38,38,2961.0
1637249736,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,82,82.0,82,82,2032.0
1637249736,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,18,18.0,18,18,1712.0
1637249736,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,30,30.0,30,30,1772.0
1637249736,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,0,38,73.14285714285714,18,179,2051.0
1637249737,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,140,114.66666666666667,24,179,1960.0
1637249737,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,38,38.0,38,38,2961.0
1637249737,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,82,82.0,82,82,2032.0
1637249737,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,18,18.0,18,18,1712.0
1637249737,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,30,30.0,30,30,1772.0
1637249737,1,,Aggregated,0.000000,0.000000,38,82,140,140,180,180,180,180,180,180,180,7,0,38,73.14285714285714,18,179,2051.0
1637249738,1,GET,/,0.000000,0.000000,140,140,180,180,180,180,180,180,180,180,180,3,0,140,114.66666666666667,24,179,1960.0
1637249738,1,GET,/auth/login/,0.000000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249738,1,POST,/auth/login/,0.000000,0.000000,840,840,840,840,840,840,840,840,840,840,840,2,0,82,463.0,82,844,2032.0
1637249738,1,GET,/auth/logout/,0.000000,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249738,1,GET,/public/,0.000000,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30,30.0,30,30,1772.0
1637249738,1,,Aggregated,0.000000,0.000000,82,140,180,240,840,840,840,840,840,840,840,9,0,82,176.88888888888889,18,844,2011.2222222222222
1637249739,1,GET,/,1.500000,0.000000,140,140,180,180,180,180,180,180,180,180,180,3,0,140,114.66666666666667,24,179,1960.0
1637249739,1,GET,/auth/login/,0.500000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249739,1,POST,/auth/login/,0.500000,0.000000,340,340,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249739,1,GET,/auth/logout/,0.500000,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249739,1,GET,/public/,0.500000,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30,30.0,30,30,1772.0
1637249739,1,,Aggregated,3.500000,0.000000,140,180,240,340,840,840,840,840,840,840,840,10,0,82,193.7,18,844,2013.3
1637249740,1,GET,/,1.000000,0.000000,140,140,180,180,180,180,180,180,180,180,180,3,0,140,114.66666666666667,24,179,1960.0
1637249740,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,140,149.5,138,161,1974.0
1637249740,1,GET,/auth/login/,0.333333,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249740,1,POST,/auth/login/,0.333333,0.000000,340,340,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249740,1,GET,/auth/logout/,0.333333,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249740,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,57,57.0,57,57,1713.0
1637249740,1,GET,/public/,0.333333,0.000000,180,180,370,370,370,370,370,370,370,370,370,3,0,180,190.66666666666666,30,366,4634.666666666667
1637249740,1,,Aggregated,2.333333,0.000000,140,180,240,340,370,840,840,840,840,840,840,15,0,140,189.0,18,844,2528.4
1637249741,1,GET,/,0.750000,0.000000,140,140,180,180,180,180,180,180,180,180,180,6,0,86,112.0,24,179,1996.0
1637249741,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,140,136.5,98,161,1974.0
1637249741,1,GET,/auth/login/,0.250000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249741,1,POST,/auth/login/,0.500000,0.000000,340,340,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249741,1,GET,/auth/logout/,0.500000,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249741,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,57,78.5,57,100,1713.0
1637249741,1,GET,/public/,0.250000,0.000000,370,370,400,400,400,400,400,400,400,400,400,4,0,180,242.0,30,396,5672.25
1637249741,1,,Aggregated,2.250000,0.000000,140,180,180,240,370,400,840,840,840,840,840,22,0,140,177.54545454545453,18,844,2657.6363636363635
1637249742,1,GET,/,0.600000,0.000000,140,140,180,180,180,180,180,180,180,180,180,6,0,86,112.0,24,179,1996.0
1637249742,1,GET,/auth/find-friends/,0.000000,0.000000,160,160,240,240,410,410,410,410,410,410,410,6,0,150,199.33333333333334,98,410,1974.0
1637249742,1,GET,/auth/login/,0.200000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249742,1,POST,/auth/login/,0.600000,0.000000,340,340,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249742,1,GET,/auth/logout/,0.400000,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249742,1,POST,/auth/modify-friend/,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,3,0,100,93.33333333333333,57,123,1713.0
1637249742,1,GET,/public/,0.400000,0.000000,370,370,400,400,400,400,400,400,400,400,400,4,0,180,242.0,30,396,5672.25
1637249742,1,,Aggregated,2.200000,0.000000,140,180,240,340,400,410,840,840,840,840,840,25,0,140,187.16,18,844,2565.16
1637249743,1,GET,/,0.500000,0.000000,130,140,180,180,180,180,180,180,180,180,180,7,0,130,114.57142857142857,24,179,2017.0
1637249743,1,GET,/auth/find-friends/,0.666667,0.000000,200,240,270,270,410,410,410,410,410,410,410,8,0,160,208.125,98,410,1974.0
1637249743,1,GET,/auth/login/,0.166667,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249743,1,POST,/auth/login/,0.500000,0.000000,340,340,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249743,1,GET,/auth/logout/,0.333333,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249743,1,POST,/auth/modify-friend/,0.166667,0.000000,120,120,250,250,250,250,250,250,250,250,250,4,0,100,132.0,57,248,1713.0
1637249743,1,GET,/public/,0.500000,0.000000,280,370,370,400,400,400,400,400,400,400,400,5,0,280,250.6,30,396,6594.2
1637249743,1,,Aggregated,2.833333,0.000000,160,200,250,280,400,410,840,840,840,840,840,30,0,150,193.7,18,844,2740.5
1637249744,1,GET,/,0.857143,0.000000,130,140,180,180,180,180,180,180,180,180,180,7,0,130,114.57142857142857,24,179,2017.0
1637249744,1,GET,/auth/find-friends/,0.571429,0.000000,200,240,270,270,410,410,410,410,410,410,410,8,0,160,208.125,98,410,1974.0
1637249744,1,GET,/auth/login/,0.142857,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249744,1,POST,/auth/login/,0.428571,0.000000,340,340,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249744,1,GET,/auth/logout/,0.285714,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249744,1,POST,/auth/modify-friend/,0.285714,0.000000,120,120,250,250,250,250,250,250,250,250,250,4,0,100,132.0,57,248,1713.0
1637249744,1,GET,/public/,0.571429,0.000000,370,370,400,400,480,480,480,480,480,480,480,6,0,280,289.0,30,481,7178.666666666667
1637249744,1,,Aggregated,3.142857,0.000000,160,240,270,280,400,480,840,840,840,840,840,31,0,160,202.96774193548387,18,844,2977.935483870968
1637249745,1,GET,/,0.857143,0.000000,130,140,180,180,180,180,180,180,180,180,180,7,0,130,114.57142857142857,24,179,2017.0
1637249745,1,GET,/auth/find-friends/,0.571429,0.000000,200,240,270,270,410,410,410,410,410,410,410,8,0,160,208.125,98,410,1974.0
1637249745,1,GET,/auth/login/,0.142857,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249745,1,POST,/auth/login/,0.428571,0.000000,340,340,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249745,1,GET,/auth/logout/,0.285714,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249745,1,POST,/auth/modify-friend/,0.285714,0.000000,120,120,250,250,250,250,250,250,250,250,250,4,0,100,132.0,57,248,1713.0
1637249745,1,GET,/public/,0.571429,0.000000,370,370,400,400,480,480,480,480,480,480,480,6,0,280,289.0,30,481,7178.666666666667
1637249745,1,,Aggregated,3.142857,0.000000,160,240,270,280,400,480,840,840,840,840,840,31,0,160,202.96774193548387,18,844,2977.935483870968
1637249746,1,GET,/,0.857143,0.000000,130,140,180,180,180,180,180,180,180,180,180,7,0,130,114.57142857142857,24,179,2017.0
1637249746,1,GET,/auth/find-friends/,0.571429,0.000000,200,240,270,270,410,410,410,410,410,410,410,8,0,160,208.125,98,410,1974.0
1637249746,1,GET,/auth/login/,0.142857,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249746,1,POST,/auth/login/,0.428571,0.000000,340,340,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249746,1,GET,/auth/logout/,0.285714,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,18,127.0,18,236,1712.0
1637249746,1,POST,/auth/modify-friend/,0.285714,0.000000,120,120,250,250,250,250,250,250,250,250,250,4,0,100,132.0,57,248,1713.0
1637249746,1,GET,/public/,0.571429,0.000000,370,370,400,400,480,480,480,480,480,480,480,6,0,280,289.0,30,481,7178.666666666667
1637249746,1,,Aggregated,3.142857,0.000000,160,240,270,280,400,480,840,840,840,840,840,31,0,160,202.96774193548387,18,844,2977.935483870968
1637249747,1,GET,/,0.700000,0.000000,130,140,180,180,180,180,180,180,180,180,180,7,0,130,114.57142857142857,24,179,2017.0
1637249747,1,GET,/auth/find-friends/,0.800000,0.000000,200,240,270,410,2800,2800,2800,2800,2800,2800,2800,10,0,170,467.7,98,2846,1974.0
1637249747,1,GET,/auth/login/,0.100000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249747,1,POST,/auth/login/,0.300000,0.000000,840,840,840,840,840,840,840,840,840,840,840,3,0,340,423.6666666666667,82,844,2032.0
1637249747,1,GET,/auth/logout/,0.200000,0.000000,240,240,240,240,240,240,240,240,240,240,240,3,0,120,125.66666666666667,18,236,1712.0
1637249747,1,POST,/auth/modify-friend/,0.400000,0.000000,120,120,250,250,250,250,250,250,250,250,250,5,0,100,124.8,57,248,1713.0
1637249747,1,GET,/public/,0.600000,0.000000,370,370,400,400,480,480,480,480,480,480,480,6,0,280,289.0,30,481,7178.666666666667
1637249747,1,,Aggregated,3.100000,0.000000,180,250,340,370,480,840,2800,2800,2800,2800,2800,35,0,160,272.0857142857143,18,2846,2848.2571428571428
1637249748,1,GET,/,0.700000,0.000000,130,140,180,180,180,180,180,180,180,180,180,7,0,130,114.57142857142857,24,179,2017.0
1637249748,1,GET,/auth/find-friends/,0.800000,0.000000,200,240,270,410,2800,2800,2800,2800,2800,2800,2800,10,0,170,467.7,98,2846,1974.0
1637249748,1,GET,/auth/login/,0.100000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249748,1,POST,/auth/login/,0.300000,0.000000,340,340,340,340,340,340,340,340,340,340,340,3,0,340,423.6666666666667,82,844,2032.0
1637249748,1,GET,/auth/logout/,0.200000,0.000000,240,240,240,240,240,240,240,240,240,240,240,3,0,120,125.66666666666667,18,236,1712.0
1637249748,1,POST,/auth/modify-friend/,0.400000,0.000000,120,120,250,250,250,250,250,250,250,250,250,5,0,100,124.8,57,248,1713.0
1637249748,1,GET,/public/,0.600000,0.000000,370,400,400,480,480,480,480,480,480,480,480,6,0,280,289.0,30,481,7178.666666666667
1637249748,1,,Aggregated,3.100000,0.000000,180,250,280,340,410,480,2800,2800,2800,2800,2800,35,0,160,272.0857142857143,18,2846,2848.2571428571428
1637249749,1,GET,/,0.700000,0.000000,130,130,180,180,180,180,180,180,180,180,180,7,0,130,114.57142857142857,24,179,2017.0
1637249749,1,GET,/auth/find-friends/,0.800000,0.000000,200,240,270,410,2800,2800,2800,2800,2800,2800,2800,10,0,170,467.7,98,2846,1974.0
1637249749,1,GET,/auth/login/,0.100000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249749,1,POST,/auth/login/,0.300000,0.000000,390,390,390,390,390,390,390,390,390,390,390,4,0,340,414.25,82,844,2234.25
1637249749,1,GET,/auth/logout/,0.200000,0.000000,120,120,240,240,240,240,240,240,240,240,240,4,0,120,123.75,18,236,1712.0
1637249749,1,POST,/auth/modify-friend/,0.400000,0.000000,120,120,250,250,250,250,250,250,250,250,250,5,0,100,124.8,57,248,1713.0
1637249749,1,GET,/public/,0.600000,0.000000,400,400,480,480,480,480,480,480,480,480,480,6,0,280,289.0,30,481,7178.666666666667
1637249749,1,,Aggregated,3.100000,0.000000,170,250,280,370,410,480,2800,2800,2800,2800,2800,37,0,160,271.0,18,2846,2817.3513513513512
1637249750,1,GET,/,0.400000,0.000000,130,130,180,180,180,180,180,180,180,180,180,7,0,130,114.57142857142857,24,179,2017.0
1637249750,1,GET,/auth/find-friends/,1.000000,0.000000,200,240,270,410,2800,2800,2800,2800,2800,2800,2800,10,0,170,467.7,98,2846,1974.0
1637249750,1,GET,/auth/login/,0.000000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249750,1,POST,/auth/login/,0.200000,0.000000,390,390,690,690,690,690,690,690,690,690,690,5,0,390,468.6,82,844,2436.4
1637249750,1,GET,/auth/logout/,0.200000,0.000000,120,120,240,240,240,240,240,240,240,240,240,4,0,120,123.75,18,236,1712.0
1637249750,1,POST,/auth/modify-friend/,0.500000,0.000000,120,120,250,250,250,250,250,250,250,250,250,5,0,100,124.8,57,248,1713.0
1637249750,1,GET,/public/,0.500000,0.000000,400,400,480,480,480,480,480,480,480,480,480,6,0,280,289.0,30,481,7178.666666666667
1637249750,1,,Aggregated,2.800000,0.000000,200,270,390,400,480,690,2800,2800,2800,2800,2800,38,0,160,281.92105263157896,18,2846,2828.6052631578946
1637249751,1,GET,/,0.400000,0.000000,130,180,180,1000,1000,1000,1000,1000,1000,1000,1000,8,0,130,229.875,24,1037,2220.625
1637249751,1,GET,/auth/find-friends/,1.000000,0.000000,270,270,410,410,2800,2800,2800,2800,2800,2800,2800,10,0,170,467.7,98,2846,1974.0
1637249751,1,GET,/auth/login/,0.000000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249751,1,POST,/auth/login/,0.200000,0.000000,390,390,690,690,690,690,690,690,690,690,690,5,0,390,468.6,82,844,2436.4
1637249751,1,GET,/auth/logout/,0.200000,0.000000,120,120,240,240,240,240,240,240,240,240,240,4,0,120,123.75,18,236,1712.0
1637249751,1,POST,/auth/modify-friend/,0.500000,0.000000,120,120,250,250,250,250,250,250,250,250,250,5,0,100,124.8,57,248,1713.0
1637249751,1,GET,/public/,0.500000,0.000000,480,480,480,480,480,480,480,480,480,480,480,6,0,280,289.0,30,481,7178.666666666667
1637249751,1,,Aggregated,2.800000,0.000000,250,390,410,480,1000,2800,2800,2800,2800,2800,2800,39,0,170,301.28205128205127,18,2846,2849.5641025641025
1637249752,1,GET,/,0.400000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,8,0,130,229.875,24,1037,2220.625
1637249752,1,GET,/auth/find-friends/,1.000000,0.000000,270,460,460,2800,2800,2800,2800,2800,2800,2800,2800,11,0,200,467.3636363636364,98,2846,1974.0
1637249752,1,GET,/auth/login/,0.000000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249752,1,POST,/auth/login/,0.100000,0.000000,390,390,690,690,690,690,690,690,690,690,690,5,0,390,468.6,82,844,2436.4
1637249752,1,GET,/auth/logout/,0.200000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,120,123.75,18,236,1712.0
1637249752,1,POST,/auth/modify-friend/,0.500000,0.000000,250,250,250,250,250,250,250,250,250,250,250,5,0,100,124.8,57,248,1713.0
1637249752,1,GET,/public/,0.400000,0.000000,390,390,480,480,480,480,480,480,480,480,480,7,0,370,304.0,30,481,7593.142857142857
1637249752,1,,Aggregated,2.600000,0.000000,270,390,480,690,1000,2800,2800,2800,2800,2800,2800,41,0,180,307.5121951219512,18,2846,3004.560975609756
1637249753,1,GET,/,0.400000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,8,0,130,229.875,24,1037,2220.625
1637249753,1,GET,/auth/find-friends/,0.600000,0.000000,460,460,1000,1000,2800,2800,2800,2800,2800,2800,2800,12,0,200,514.5833333333334,98,2846,1974.0
1637249753,1,GET,/auth/login/,0.000000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249753,1,POST,/auth/login/,0.200000,0.000000,690,690,690,690,690,690,690,690,690,690,690,5,0,390,468.6,82,844,2436.4
1637249753,1,GET,/auth/logout/,0.200000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,120,123.75,18,236,1712.0
1637249753,1,POST,/auth/modify-friend/,0.400000,0.000000,180,180,250,250,250,250,250,250,250,250,250,6,0,100,133.16666666666666,57,248,1713.0
1637249753,1,GET,/public/,0.300000,0.000000,480,480,480,480,480,480,480,480,480,480,480,7,0,370,304.0,30,481,7593.142857142857
1637249753,1,,Aggregated,2.100000,0.000000,390,480,690,1000,1000,2800,2800,2800,2800,2800,2800,43,0,180,321.3255813953488,18,2846,2950.5581395348836
1637249754,1,GET,/,0.200000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,8,0,130,229.875,24,1037,2220.625
1637249754,1,GET,/auth/find-friends/,0.600000,0.000000,290,460,1000,1000,2800,2800,2800,2800,2800,2800,2800,14,0,230,478.5,98,2846,1974.0
1637249754,1,GET,/auth/login/,0.000000,0.000000,38,38,38,38,38,38,38,38,38,38,38,1,0,38,38.0,38,38,2961.0
1637249754,1,POST,/auth/login/,0.200000,0.000000,690,690,690,690,690,690,690,690,690,690,690,5,0,390,468.6,82,844,2436.4
1637249754,1,GET,/auth/logout/,0.200000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,120,123.75,18,236,1712.0
1637249754,1,POST,/auth/modify-friend/,0.300000,0.000000,180,180,250,250,250,250,250,250,250,250,250,7,0,120,131.71428571428572,57,248,1713.0
1637249754,1,GET,/public/,0.200000,0.000000,390,390,480,480,480,480,480,480,480,480,480,8,0,370,312.875,30,481,7918.25
1637249754,1,,Aggregated,1.700000,0.000000,380,460,480,690,1000,2800,2800,2800,2800,2800,2800,47,0,180,315.72340425531917,18,2846,3036.7872340425533
1637249755,1,GET,/,0.200000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,8,0,130,229.875,24,1037,2220.625
1637249755,1,GET,/auth/find-friends/,0.500000,0.000000,290,460,1000,1000,2800,2800,2800,2800,2800,2800,2800,15,0,230,459.4,98,2846,1974.0
1637249755,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,38,38.0,38,38,2961.0
1637249755,1,POST,/auth/login/,0.200000,0.000000,690,690,690,690,690,690,690,690,690,690,690,5,0,390,468.6,82,844,2436.4
1637249755,1,GET,/auth/logout/,0.200000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,120,123.75,18,236,1712.0
1637249755,1,POST,/auth/modify-friend/,0.200000,0.000000,120,120,180,180,180,180,180,180,180,180,180,7,0,120,131.71428571428572,57,248,1713.0
1637249755,1,GET,/public/,0.200000,0.000000,390,390,480,480,480,480,480,480,480,480,480,9,0,370,312.77777777777777,30,481,8167.333333333333
1637249755,1,,Aggregated,1.500000,0.000000,310,390,460,690,1000,2800,2800,2800,2800,2800,2800,49,0,180,313.1224489795918,18,2846,3160.469387755102
1637249756,1,GET,/,0.200000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,8,0,130,229.875,24,1037,2220.625
1637249756,1,GET,/auth/find-friends/,0.500000,0.000000,290,460,1000,1000,2800,2800,2800,2800,2800,2800,2800,15,0,230,459.4,98,2846,1974.0
1637249756,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,38,38.0,38,38,2961.0
1637249756,1,POST,/auth/login/,0.200000,0.000000,690,690,690,690,690,690,690,690,690,690,690,5,0,390,468.6,82,844,2436.4
1637249756,1,GET,/auth/logout/,0.200000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,120,123.75,18,236,1712.0
1637249756,1,POST,/auth/modify-friend/,0.200000,0.000000,120,120,180,180,180,180,180,180,180,180,180,7,0,120,131.71428571428572,57,248,1713.0
1637249756,1,GET,/public/,0.200000,0.000000,390,390,480,480,480,480,480,480,480,480,480,9,0,370,312.77777777777777,30,481,8167.333333333333
1637249756,1,,Aggregated,1.500000,0.000000,310,390,460,690,1000,2800,2800,2800,2800,2800,2800,49,0,180,313.1224489795918,18,2846,3160.469387755102
1637249757,1,GET,/,0.200000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,8,0,130,229.875,24,1037,2220.625
1637249757,1,GET,/auth/find-friends/,0.500000,0.000000,290,460,1000,1000,2800,2800,2800,2800,2800,2800,2800,15,0,230,459.4,98,2846,1974.0
1637249757,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,38,38.0,38,38,2961.0
1637249757,1,POST,/auth/login/,0.200000,0.000000,690,690,690,690,690,690,690,690,690,690,690,5,0,390,468.6,82,844,2436.4
1637249757,1,GET,/auth/logout/,0.200000,0.000000,120,120,120,120,120,120,120,120,120,120,120,4,0,120,123.75,18,236,1712.0
1637249757,1,POST,/auth/modify-friend/,0.200000,0.000000,120,120,180,180,180,180,180,180,180,180,180,7,0,120,131.71428571428572,57,248,1713.0
