Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637227386,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637227387,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,88,88.0,88,88,1816.0
1637227387,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,25,25.0,25,25,2961.0
1637227387,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,48,48.0,48,48,2032.0
1637227387,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,20,20.0,20,20,1712.0
1637227387,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,25,45.25,20,88,2130.25
1637227388,1,GET,/,0.000000,0.000000,45,45,88,88,88,88,88,88,88,88,88,4,0,32,46.25,20,88,1978.0
1637227388,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,36,54.5,33,99,1974.0
1637227388,1,GET,/auth/login/,0.000000,0.000000,25,25,25,25,25,25,25,25,25,25,25,1,0,25,25.0,25,25,2961.0
1637227388,1,POST,/auth/login/,0.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,2,0,48,81.0,48,114,2032.0
1637227388,1,GET,/auth/logout/,0.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,1,0,20,20.0,20,20,1712.0
1637227388,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,40,67.5,40,95,1713.0
1637227388,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,62,72.5,62,83,6538.5
1637227388,1,,Aggregated,0.000000,0.000000,50,62,95,95,99,110,110,110,110,110,110,16,0,45,55.625,20,114,2565.5
1637227389,1,GET,/,1.000000,0.000000,45,45,88,88,88,88,88,88,88,88,88,4,0,32,46.25,20,88,1978.0
1637227389,1,GET,/auth/find-friends/,0.000000,0.000000,99,99,150,150,210,210,210,210,210,210,210,8,0,83,95.125,33,211,1974.0
1637227389,1,GET,/auth/login/,1.000000,0.000000,25,25,25,25,25,25,25,25,25,25,25,1,0,25,25.0,25,25,2961.0
1637227389,1,POST,/auth/login/,1.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,2,0,48,81.0,48,114,2032.0
1637227389,1,GET,/auth/logout/,1.000000,0.000000,20,20,20,20,20,20,20,20,20,20,20,1,0,20,20.0,20,20,1712.0
1637227389,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,41,90.75,40,187,1713.0
1637227389,1,GET,/public/,0.000000,0.000000,83,83,160,160,160,160,160,160,160,160,160,4,0,82,96.75,62,160,7610.25
