Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637227386,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637227387,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,53,58.0,37,81,2122.25
1637227387,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,59,68.5,32,112,1974.0
1637227387,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,36,36.0,36,36,2961.0
1637227387,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,106,106.0,106,106,2032.0
1637227387,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,46,56.5,46,67,1713.0
1637227387,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,34,56.333333333333336,33,102,2347.3333333333335
1637227387,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,15,0,59,62.0,32,112,2123.0666666666666
1637227388,1,GET,/,0.000000,0.000000,61,61,61,61,61,61,61,61,61,61,61,4,0,53,58.0,37,81,2122.25
1637227388,1,GET,/auth/find-friends/,0.000000,0.000000,71,79,110,110,120,120,120,120,120,120,120,8,0,64,71.25,32,116,1974.0
1637227388,1,GET,/auth/login/,0.000000,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637227388,1,POST,/auth/login/,0.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,1,0,106,106.0,106,106,2032.0
1637227388,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,50,50.0,50,50,1712.0
1637227388,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,59,66.75,46,95,1713.0
1637227388,1,GET,/public/,0.000000,0.000000,43,43,82,82,82,82,82,82,82,82,82,5,0,43,58.8,33,102,3529.4
1637227388,1,,Aggregated,0.000000,0.000000,61,71,79,82,110,120,120,120,120,120,120,24,0,59,64.79166666666667,32,116,2311.875
1637227389,1,GET,/,2.000000,0.000000,61,61,79,79,79,79,79,79,79,79,79,5,0,61,62.2,37,81,2227.2
1637227389,1,GET,/auth/find-friends/,1.000000,0.000000,71,79,110,110,120,120,120,120,120,120,120,8,0,64,71.25,32,116,1974.0
1637227389,1,GET,/auth/login/,1.000000,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637227389,1,POST,/auth/login/,1.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,0,110,209.5,106,313,2339.5
1637227389,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,50,50.0,50,50,1712.0
1637227389,1,POST,/auth/modify-friend/,0.000000,0.000000,95,95,95,95,95,95,95,95,95,95,95,4,0,59,66.75,46,95,1713.0
1637227389,1,GET,/public/,2.000000,0.000000,43,43,82,82,82,82,82,82,82,82,82,5,0,43,58.8,33,102,3529.4
1637227389,1,,Aggregated,7.000000,0.000000,64,79,82,95,120,310,310,310,310,310,310,26,0,61,74.88461538461539,32,313,2337.653846153846
1637227390,1,GET,/,2.000000,0.000000,79,79,80,80,80,80,80,80,80,80,80,6,0,61,65.16666666666667,37,81,2297.1666666666665
1637227390,1,GET,/auth/find-friends/,4.000000,0.000000,79,86,88,110,120,120,120,120,120,120,120,10,0,71,74.4,32,116,1974.0
