Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,448,0,410,686.8214285714286,67,9388,10283.174107142857,0.3664543376647164,0.0,410,520,580,640,930,1800,6100,6800,9400,9400,9400
POST,/,55,0,840,1215.1090909090908,333,6952,10265.672727272728,0.04498881377580224,0.0,840,1000,1200,1300,1500,4700,6500,7000,7000,7000,7000
GET,/auth/find-friends/,580,0,350,580.4810344827587,61,15255,1974.0,0.4744274907266418,0.0,350,440,520,560,810,1400,4200,6100,15000,15000,15000
GET,/auth/login/,1,0,508,508.0,508,508,2961.0,0.0008179784322873134,0.0,510,510,510,510,510,510,510,510,510,510,510
POST,/auth/login/,59,0,880,1655.5084745762713,381,10620,10029.203389830509,0.048260727504951494,0.0,880,1100,1300,1500,5400,7500,9200,11000,11000,11000,11000
GET,/auth/logout/,58,0,320,396.7586206896552,89,1133,1712.0,0.04744274907266418,0.0,330,460,490,510,740,870,1000,1100,1100,1100,1100
POST,/auth/modify-friend/,290,0,350,492.67931034482757,80,6293,1713.0,0.2372137453633209,0.0,350,430,490,560,730,960,3700,5200,6300,6300,6300
GET,/public/,290,0,410,618.6862068965518,79,7288,10196.506896551724,0.2372137453633209,0.0,410,520,610,650,890,1200,5600,5900,7300,7300,7300
,Aggregated,1781,0,400,648.341942728804,61,15255,5875.42448062886,1.4568195879037051,0.0,400,510,580,650,940,1400,5100,6600,11000,15000,15000
0
