Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637249739,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637249740,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,191,191.0,191,191,5699.0
1637249740,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,130,130.0,130,130,2961.0
1637249740,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,451,451.0,451,451,2032.0
1637249740,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,190,257.3333333333333,130,451,3564.0
1637249741,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,200,228.16666666666666,182,283,2643.1666666666665
1637249741,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,130,130.0,130,130,2961.0
1637249741,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,451,451.0,451,451,2032.0
1637249741,1,,Aggregated,0.000000,0.000000,240,280,280,280,450,450,450,450,450,450,450,8,0,200,243.75,130,451,2606.5
1637249742,1,GET,/,0.000000,0.000000,240,280,280,280,300,300,300,300,300,300,300,8,0,210,233.875,182,296,2504.375
1637249742,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,448,448.0,448,448,2144.0
1637249742,1,GET,/auth/login/,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,130,130.0,130,130,2961.0
1637249742,1,POST,/auth/login/,0.000000,0.000000,450,450,450,450,450,450,450,450,450,450,450,1,0,451,451.0,451,451,2032.0
1637249742,1,,Aggregated,0.000000,0.000000,240,280,300,300,450,450,450,450,450,450,450,11,0,240,263.6363636363636,130,451,2470.181818181818
1637249743,1,GET,/,0.500000,0.000000,240,280,280,280,300,300,300,300,300,300,300,8,0,210,233.875,182,296,2504.375
1637249743,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,448,448.0,448,448,2144.0
1637249743,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,164,207.0,164,250,1974.0
1637249743,1,GET,/auth/login/,0.500000,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,130,130.0,130,130,2961.0
1637249743,1,POST,/auth/login/,0.500000,0.000000,450,450,450,450,450,450,450,450,450,450,450,1,0,451,451.0,451,451,2032.0
1637249743,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,244,244.0,244,244,1713.0
1637249743,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,381,381.0,381,381,10243.0
1637249743,1,,Aggregated,1.500000,0.000000,240,280,300,380,450,450,450,450,450,450,450,15,0,240,262.6,130,451,2871.733333333333
1637249744,1,GET,/,2.000000,0.000000,240,280,280,300,600,600,600,600,600,600,600,10,0,210,259.4,124,599,2432.3
1637249744,1,POST,/,0.000000,0.000000,450,450,450,450,450,450,450,450,450,450,450,1,0,448,448.0,448,448,2144.0
1637249744,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,164,207.0,164,250,1974.0
1637249744,1,GET,/auth/login/,0.333333,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,130,130.0,130,130,2961.0
1637249744,1,POST,/auth/login/,0.333333,0.000000,450,450,450,450,450,450,450,450,450,450,450,1,0,451,451.0,451,451,2032.0
1637249744,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,273,273.0,273,273,1712.0
1637249744,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,244,244.0,244,244,1713.0
