Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637249739,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637249740,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,130,136.66666666666666,57,219,3127.3333333333335
1637249740,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,376,376.0,376,376,2961.0
1637249740,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,128,128.0,128,128,2032.0
1637249740,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,130,182.8,57,376,2875.0
1637249741,1,GET,/,0.000000,0.000000,110,110,130,130,130,130,130,130,130,130,130,4,0,110,130.25,57,219,2853.5
1637249741,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,376,376.0,376,376,2961.0
1637249741,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,128,128.0,128,128,2032.0
1637249741,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,287,287.0,287,287,1712.0
1637249741,1,,Aggregated,0.000000,0.000000,130,130,290,290,380,380,380,380,380,380,380,7,0,130,187.42857142857142,57,376,2588.4285714285716
1637249742,1,GET,/,1.000000,0.000000,110,110,130,130,130,130,130,130,130,130,130,4,0,110,130.25,57,219,2853.5
1637249742,1,GET,/auth/login/,0.000000,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,376,376.0,376,376,2961.0
1637249742,1,POST,/auth/login/,0.000000,0.000000,460,460,460,460,460,460,460,460,460,460,460,2,0,130,295.0,128,462,2032.0
1637249742,1,GET,/auth/logout/,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,1,0,287,287.0,287,287,1712.0
1637249742,1,,Aggregated,1.000000,0.000000,130,290,380,380,460,460,460,460,460,460,460,8,0,130,221.75,57,462,2518.875
1637249743,1,GET,/,1.000000,0.000000,130,130,230,230,230,230,230,230,230,230,230,5,0,130,151.0,57,234,2689.2
1637249743,1,GET,/auth/login/,0.000000,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,376,376.0,376,376,2961.0
1637249743,1,POST,/auth/login/,0.000000,0.000000,460,460,460,460,460,460,460,460,460,460,460,2,0,130,295.0,128,462,2032.0
1637249743,1,GET,/auth/logout/,0.000000,0.000000,300,300,300,300,300,300,300,300,300,300,300,2,0,290,295.0,287,303,1712.0
1637249743,1,,Aggregated,1.000000,0.000000,230,290,300,380,460,460,460,460,460,460,460,10,0,220,231.1,57,462,2389.5
1637249744,1,GET,/,1.333333,0.000000,130,170,170,230,230,230,230,230,230,230,230,6,0,130,154.16666666666666,57,234,2579.6666666666665
1637249744,1,GET,/auth/login/,0.333333,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,376,376.0,376,376,2961.0
1637249744,1,POST,/auth/login/,0.333333,0.000000,460,460,490,490,490,490,490,490,490,490,490,3,0,460,358.6666666666667,128,486,2032.0
1637249744,1,GET,/auth/logout/,0.333333,0.000000,300,300,300,300,300,300,300,300,300,300,300,2,0,290,295.0,287,303,1712.0
1637249744,1,,Aggregated,2.333333,0.000000,230,300,380,380,460,490,490,490,490,490,490,12,0,220,247.25,57,486,2329.9166666666665
1637249745,1,GET,/,1.333333,0.000000,130,170,170,230,230,230,230,230,230,230,230,6,0,130,154.16666666666666,57,234,2579.6666666666665
1637249745,1,GET,/auth/login/,0.333333,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,376,376.0,376,376,2961.0
1637249745,1,POST,/auth/login/,0.333333,0.000000,460,460,490,490,490,490,490,490,490,490,490,3,0,460,358.6666666666667,128,486,2032.0
1637249745,1,GET,/auth/logout/,0.333333,0.000000,300,300,300,300,300,300,300,300,300,300,300,2,0,290,295.0,287,303,1712.0
1637249745,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,359,359.0,359,359,10144.0
1637249745,1,,Aggregated,2.333333,0.000000,290,300,380,380,460,490,490,490,490,490,490,13,0,230,255.84615384615384,57,486,2931.0
1637249746,1,GET,/,1.333333,0.000000,130,170,170,230,230,230,230,230,230,230,230,6,0,130,154.16666666666666,57,234,2579.6666666666665
1637249746,1,GET,/auth/login/,0.333333,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,376,376.0,376,376,2961.0
1637249746,1,POST,/auth/login/,0.333333,0.000000,460,460,490,490,490,490,490,490,490,490,490,3,0,460,358.6666666666667,128,486,2032.0
1637249746,1,GET,/auth/logout/,0.333333,0.000000,300,300,300,300,300,300,300,300,300,300,300,2,0,290,295.0,287,303,1712.0
1637249746,1,GET,/public/,0.000000,0.000000,360,360,360,360,360,360,360,360,360,360,360,1,0,359,359.0,359,359,10144.0
1637249746,1,,Aggregated,2.333333,0.000000,290,300,380,380,460,490,490,490,490,490,490,13,0,230,255.84615384615384,57,486,2931.0
1637249747,1,GET,/,1.000000,0.000000,130,170,170,230,230,230,230,230,230,230,230,6,0,130,154.16666666666666,57,234,2579.6666666666665
1637249747,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,145,1226.5,145,2308,1974.0
1637249747,1,GET,/auth/login/,0.166667,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,376,376.0,376,376,2961.0
1637249747,1,POST,/auth/login/,0.500000,0.000000,460,460,490,490,490,490,490,490,490,490,490,3,0,460,358.6666666666667,128,486,2032.0
1637249747,1,GET,/auth/logout/,0.333333,0.000000,300,300,300,300,300,300,300,300,300,300,300,2,0,290,295.0,287,303,1712.0
1637249747,1,GET,/public/,0.166667,0.000000,360,360,360,360,360,360,360,360,360,360,360,1,0,359,359.0,359,359,10144.0
1637249747,1,,Aggregated,2.166667,0.000000,290,360,380,460,490,2300,2300,2300,2300,2300,2300,15,0,230,385.26666666666665,57,2308,2803.4
1637249748,1,GET,/,0.857143,0.000000,140,140,170,170,230,230,230,230,230,230,230,7,0,140,151.85714285714286,57,234,2501.4285714285716
