Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637245254,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637245255,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,223,223.0,223,223,9698.0
1637245255,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,136,136.0,136,136,2961.0
1637245255,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,514,514.0,514,514,2032.0
1637245255,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,220,291.0,136,514,4897.0
1637245256,1,GET,/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,145.33333333333334,72,223,4587.333333333333
1637245256,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,76,103.5,76,131,1974.0
1637245256,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,136,136.0,136,136,2961.0
1637245256,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,514,514.0,514,514,2032.0
1637245256,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,150,150.0,150,150,9890.0
1637245256,1,,Aggregated,0.000000,0.000000,140,140,150,150,510,510,510,510,510,510,510,8,0,140,180.375,72,514,4074.125
1637245257,1,GET,/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,145.33333333333334,72,223,4587.333333333333
1637245257,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,76,103.5,76,131,1974.0
1637245257,1,GET,/auth/login/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,1,0,136,136.0,136,136,2961.0
1637245257,1,POST,/auth/login/,0.000000,0.000000,510,510,510,510,510,510,510,510,510,510,510,1,0,514,514.0,514,514,2032.0
1637245257,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,562,562.0,562,562,1713.0
1637245257,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,150,150.0,150,150,9890.0
1637245257,1,,Aggregated,0.000000,0.000000,140,150,510,510,560,560,560,560,560,560,560,9,0,140,222.77777777777777,72,562,3811.777777777778
1637245258,1,GET,/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,145.33333333333334,72,223,4587.333333333333
1637245258,1,GET,/auth/find-friends/,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,2,0,76,103.5,76,131,1974.0
1637245258,1,GET,/auth/login/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,1,0,136,136.0,136,136,2961.0
1637245258,1,POST,/auth/login/,0.000000,0.000000,510,510,510,510,510,510,510,510,510,510,510,1,0,514,514.0,514,514,2032.0
1637245258,1,POST,/auth/modify-friend/,0.000000,0.000000,560,560,560,560,560,560,560,560,560,560,560,1,0,562,562.0,562,562,1713.0
1637245258,1,GET,/public/,0.000000,0.000000,150,150,150,150,150,150,150,150,150,150,150,1,0,150,150.0,150,150,9890.0
1637245258,1,,Aggregated,0.000000,0.000000,140,150,510,510,560,560,560,560,560,560,560,9,0,140,222.77777777777777,72,562,3811.777777777778
1637245259,1,GET,/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,145.33333333333334,72,223,4587.333333333333
1637245259,1,GET,/auth/find-friends/,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,2,0,76,103.5,76,131,1974.0
1637245259,1,GET,/auth/login/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,1,0,136,136.0,136,136,2961.0
1637245259,1,POST,/auth/login/,0.000000,0.000000,510,510,510,510,510,510,510,510,510,510,510,1,0,514,514.0,514,514,2032.0
1637245259,1,POST,/auth/modify-friend/,0.000000,0.000000,560,560,560,560,560,560,560,560,560,560,560,1,0,562,562.0,562,562,1713.0
1637245259,1,GET,/public/,0.000000,0.000000,150,150,150,150,150,150,150,150,150,150,150,1,0,150,150.0,150,150,9890.0
1637245259,1,,Aggregated,0.000000,0.000000,140,150,510,510,560,560,560,560,560,560,560,9,0,140,222.77777777777777,72,562,3811.777777777778
1637245260,1,GET,/,0.750000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,145.33333333333334,72,223,4587.333333333333
1637245260,1,GET,/auth/find-friends/,0.500000,0.000000,220,220,320,320,320,320,320,320,320,320,320,4,0,130,186.75,76,323,1974.0
1637245260,1,GET,/auth/login/,0.250000,0.000000,140,140,140,140,140,140,140,140,140,140,140,1,0,136,136.0,136,136,2961.0
1637245260,1,POST,/auth/login/,0.250000,0.000000,510,510,510,510,510,510,510,510,510,510,510,1,0,514,514.0,514,514,2032.0
1637245260,1,POST,/auth/modify-friend/,0.250000,0.000000,560,560,560,560,560,560,560,560,560,560,560,2,0,220,389.5,217,562,1713.0
1637245260,1,GET,/public/,0.250000,0.000000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2,0,150,1580.5,150,3011,9932.5
1637245260,1,,Aggregated,2.250000,0.000000,220,220,510,510,560,3000,3000,3000,3000,3000,3000,13,0,220,444.0769230769231,72,3011,3841.6923076923076
1637245261,1,GET,/,0.600000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,145.33333333333334,72,223,4587.333333333333
1637245261,1,GET,/auth/find-friends/,0.400000,0.000000,220,230,230,320,320,320,320,320,320,320,320,5,0,220,195.8,76,323,1974.0
