Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637245259,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637245260,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,225,225.0,225,225,10135.0
1637245260,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,427,427.0,427,427,2961.0
1637245260,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,225,326.0,225,427,6548.0
1637245261,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,221,223.0,221,225,6083.5
1637245261,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,427,427.0,427,427,2961.0
1637245261,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,816,816.0,816,816,2032.0
1637245261,1,,Aggregated,0.000000,0.000000,430,430,820,820,820,820,820,820,820,820,820,4,0,221,422.25,221,816,4290.0
1637245262,1,GET,/,0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,2,0,221,223.0,221,225,6083.5
1637245262,1,GET,/auth/login/,0.000000,0.000000,430,430,430,430,430,430,430,430,430,430,430,1,0,427,427.0,427,427,2961.0
1637245262,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,816,816.0,816,816,2032.0
1637245262,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,325,325.0,325,325,1712.0
1637245262,1,,Aggregated,0.000000,0.000000,320,430,430,820,820,820,820,820,820,820,820,5,0,320,402.8,221,816,3774.4
1637245263,1,GET,/,0.500000,0.000000,220,220,220,220,220,220,220,220,220,220,220,2,0,221,223.0,221,225,6083.5
1637245263,1,GET,/auth/login/,0.500000,0.000000,430,430,430,430,430,430,430,430,430,430,430,1,0,427,427.0,427,427,2961.0
1637245263,1,POST,/auth/login/,0.000000,0.000000,820,820,820,820,820,820,820,820,820,820,820,2,0,813,814.5,813,816,2032.0
1637245263,1,GET,/auth/logout/,0.000000,0.000000,320,320,320,320,320,320,320,320,320,320,320,1,0,325,325.0,325,325,1712.0
1637245263,1,,Aggregated,1.000000,0.000000,430,430,810,810,820,820,820,820,820,820,820,6,0,320,471.1666666666667,221,816,3484.0
1637245264,1,GET,/,0.666667,0.000000,840,840,840,840,840,840,840,840,840,840,840,3,0,221,430.0,221,844,4733.0
