Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637245254,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637245255,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,371,371.0,371,371,9479.0
1637245255,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,375,375.0,375,375,2961.0
1637245255,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,371,373.0,371,375,6220.0
1637245256,1,GET,/,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,254,312.5,254,371,5755.5
1637245256,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,375,375.0,375,375,2961.0
1637245256,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,555,555.0,555,555,2032.0
1637245256,1,,Aggregated,0.000000,0.000000,380,380,560,560,560,560,560,560,560,560,560,4,0,370,388.75,254,555,4126.0
1637245257,1,GET,/,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,254,312.5,254,371,5755.5
1637245257,1,GET,/auth/login/,0.000000,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,375,375.0,375,375,2961.0
1637245257,1,POST,/auth/login/,0.000000,0.000000,560,560,560,560,560,560,560,560,560,560,560,1,0,555,555.0,555,555,2032.0
1637245257,1,,Aggregated,0.000000,0.000000,380,380,560,560,560,560,560,560,560,560,560,4,0,370,388.75,254,555,4126.0
1637245258,1,GET,/,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,254,312.5,254,371,5755.5
1637245258,1,GET,/auth/login/,0.000000,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,375,375.0,375,375,2961.0
1637245258,1,POST,/auth/login/,0.000000,0.000000,560,560,560,560,560,560,560,560,560,560,560,1,0,555,555.0,555,555,2032.0
1637245258,1,,Aggregated,0.000000,0.000000,380,380,560,560,560,560,560,560,560,560,560,4,0,370,388.75,254,555,4126.0
1637245259,1,GET,/,1.000000,0.000000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3,0,370,1227.3333333333333,254,3057,4514.333333333333
1637245259,1,GET,/auth/login/,0.500000,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,375,375.0,375,375,2961.0
1637245259,1,POST,/auth/login/,0.500000,0.000000,560,560,560,560,560,560,560,560,560,560,560,1,0,555,555.0,555,555,2032.0
1637245259,1,,Aggregated,2.000000,0.000000,560,560,3100,3100,3100,3100,3100,3100,3100,3100,3100,5,0,380,922.4,254,3057,3707.2
1637245260,1,GET,/,0.666667,0.000000,620,620,3100,3100,3100,3100,3100,3100,3100,3100,3100,4,0,370,1075.25,254,3057,3893.75
1637245260,1,GET,/auth/login/,0.333333,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,375,375.0,375,375,2961.0
1637245260,1,POST,/auth/login/,0.333333,0.000000,560,560,560,560,560,560,560,560,560,560,560,1,0,555,555.0,555,555,2032.0
1637245260,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,347,347.0,347,347,1712.0
1637245260,1,,Aggregated,1.333333,0.000000,560,560,620,620,3100,3100,3100,3100,3100,3100,3100,7,0,380,796.8571428571429,254,3057,3182.8571428571427
1637245261,1,GET,/,0.666667,0.000000,620,620,3100,3100,3100,3100,3100,3100,3100,3100,3100,4,0,370,1075.25,254,3057,3893.75
1637245261,1,GET,/auth/login/,0.333333,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,375,375.0,375,375,2961.0
1637245261,1,POST,/auth/login/,0.333333,0.000000,560,560,560,560,560,560,560,560,560,560,560,1,0,555,555.0,555,555,2032.0
1637245261,1,GET,/auth/logout/,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,1,0,347,347.0,347,347,1712.0
1637245261,1,,Aggregated,1.333333,0.000000,560,560,620,620,3100,3100,3100,3100,3100,3100,3100,7,0,380,796.8571428571429,254,3057,3182.8571428571427
1637245262,1,GET,/,0.666667,0.000000,250,280,620,620,3100,3100,3100,3100,3100,3100,3100,8,0,250,610.5,65,3057,2962.875
1637245262,1,GET,/auth/login/,0.166667,0.000000,380,380,380,380,380,380,380,380,380,380,380,1,0,375,375.0,375,375,2961.0
