Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,443,0,250,576.548532731377,60,21686,10107.124153498871,0.4168866066726439,0.0,250,340,410,460,640,900,5200,11000,22000,22000,22000
POST,/,70,0,570,1086.4571428571428,138,18341,10331.685714285713,0.06587373017400693,0.0,590,750,850,940,1300,3900,6800,18000,18000,18000,18000
GET,/auth/find-friends/,605,0,200,405.697520661157,23,12333,1974.0,0.5693372393610598,0.0,200,270,320,360,480,680,3200,6700,12000,12000,12000
GET,/auth/login/,1,0,151,151.0,151,151,2961.0,0.000941053288200099,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,/auth/login/,75,0,790,1895.92,141,15346,10118.04,0.07057899661500742,0.0,790,1000,1400,2200,5700,7900,15000,15000,15000,15000,15000
GET,/auth/logout/,74,0,200,400.0135135135135,23,13121,1712.0,0.06963794332680733,0.0,210,270,300,340,470,520,660,13000,13000,13000,13000
POST,/auth/modify-friend/,302,0,200,371.06953642384104,16,17981,1713.0,0.2841980930364299,0.0,200,260,300,340,460,650,3400,4100,18000,18000,18000
GET,/public/,303,0,260,384.2475247524753,76,9787,10210.937293729374,0.28513914632463,0.0,260,320,360,390,600,740,1100,2600,9800,9800,9800
,Aggregated,1873,0,240,521.8077949813134,16,21686,5816.703683929525,1.7625928087987854,0.0,240,320,390,450,660,1000,4500,7900,18000,22000,22000
000
