Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,256,0,500,961.20703125,148,14773,10162.109375,0.24139205599670016,0.0,500,660,810,890,1300,3800,7900,10000,15000,15000,15000
POST,/,36,0,1000,1145.0,345,3314,10037.527777777777,0.03394575787453596,0.0,1000,1200,1300,1400,2100,2200,3300,3300,3300,3300,3300
GET,/auth/find-friends/,348,0,470,810.3218390804598,52,16578,1974.0,0.3281423261205143,0.0,470,610,740,800,1200,2300,5600,9200,17000,17000,17000
GET,/auth/login/,1,0,228,228.0,228,228,2961.0,0.00094293771873711,0.0,230,230,230,230,230,230,230,230,230,230,230
POST,/auth/login/,32,0,1700,2775.03125,574,17711,9843.28125,0.03017400699958752,0.0,1700,1800,2600,3200,4700,15000,18000,18000,18000,18000,18000
GET,/auth/logout/,31,0,360,661.4193548387096,195,4940,1712.0,0.02923106928085041,0.0,360,470,650,750,1100,2100,4900,4900,4900,4900,4900
POST,/auth/modify-friend/,174,0,470,940.6551724137931,107,13463,1713.0,0.16407116306025715,0.0,470,610,660,740,1000,2000,10000,13000,13000,13000,13000
GET,/public/,174,0,550,1032.9080459770114,171,14416,10195.17816091954,0.16407116306025715,0.0,550,690,770,900,1500,4300,7600,11000,14000,14000,14000
,Aggregated,1052,0,510,971.6863117870722,52,17711,5791.67680608365,0.9919704801114397,0.0,510,680,800,930,1400,3100,7900,11000,17000,18000,18000
8000
