Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,439,0,240,517.510250569476,28,14476,10226.8861047836,0.41096890843902467,0.0,240,300,370,410,620,790,5400,12000,14000,14000,14000
POST,/,57,0,530,876.7368421052631,136,12140,10281.315789473685,0.053360427747208214,0.0,530,630,700,820,1300,1600,5200,12000,12000,12000,12000
GET,/auth/find-friends/,670,0,200,447.70298507462684,18,17533,1974.0,0.6272190629935,0.0,200,260,310,350,550,910,3800,7900,18000,18000,18000
GET,/auth/login/,1,0,40,40.0,40,40,2961.0,0.0009361478552141792,0.0,40,40,40,40,40,40,40,40,40,40,40
POST,/auth/login/,77,0,660,1525.4155844155844,147,17459,10098.0,0.0720833848514918,0.0,660,890,1100,1500,3400,5800,15000,17000,17000,17000,17000
GET,/auth/logout/,76,0,180,446.44736842105266,23,11428,1712.0,0.07114723699627762,0.0,180,240,310,360,510,1000,3400,11000,11000,11000,11000
POST,/auth/modify-friend/,335,0,170,275.89253731343285,19,6687,1713.0,0.31360953149675,0.0,170,230,290,340,450,580,1200,2000,6700,6700,6700
GET,/public/,335,0,260,473.98805970149255,47,14164,10116.414925373134,0.31360953149675,0.0,260,330,380,450,610,920,2900,8800,14000,14000,14000
,Aggregated,1990,0,220,492.3412060301508,18,17533,5664.166331658292,1.8629342318762165,0.0,220,300,370,430,630,1000,3800,9100,17000,18000,18000
0,18000
