Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,495,0,250,504.6989898989899,37,20320,10244.189898989898,0.42131006301541624,0.0,250,300,360,400,580,900,3400,12000,20000,20000,20000
POST,/,71,0,440,870.5633802816901,85,11256,10058.197183098591,0.06043033227089809,0.0,440,550,700,790,1300,5200,5700,11000,11000,11000,11000
GET,/auth/find-friends/,722,0,190,413.29639889196676,24,16164,1974.0,0.6145168999942031,0.0,190,240,300,320,470,770,4300,7400,16000,16000,16000
GET,/auth/login/,1,0,129,129.0,129,129,2961.0,0.0008511314404351844,0.0,130,130,130,130,130,130,130,130,130,130,130
POST,/auth/login/,80,0,610,1565.8125,69,27078,10034.125,0.06809051523481476,0.0,690,960,1100,1600,3300,6900,10000,27000,27000,27000,27000
GET,/auth/logout/,79,0,190,248.27848101265823,31,1174,1712.0,0.06723938379437956,0.0,190,240,280,330,490,720,940,1200,1200,1200,1200
POST,/auth/modify-friend/,360,0,180,377.8222222222222,23,18526,1713.0,0.30640731855666636,0.0,180,230,280,300,420,600,1900,6100,19000,19000,19000
GET,/public/,361,0,260,527.6315789473684,67,14363,10194.8891966759,0.30725844999710156,0.0,260,330,370,420,680,1200,4900,7700,14000,14000,14000
,Aggregated,2169,0,220,498.633010603965,23,27078,5739.146150299677,1.8461040943039149,0.0,220,290,350,400,600,1100,4500,7600,19000,27000,27000

