Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,371,0,330,597.2587601078167,39,11726,9996.908355795149,0.3156458993860384,0.0,330,430,550,590,890,1600,4900,7200,12000,12000,12000
POST,/,52,0,650,1222.9038461538462,233,20335,10490.75,0.04424147376839352,0.0,660,890,1100,1200,1800,1900,2800,20000,20000,20000,20000
GET,/auth/find-friends/,540,0,270,659.4666666666667,25,20166,1974.0,0.4594306891333173,0.0,270,340,420,490,740,1600,6800,11000,20000,20000,20000
GET,/auth/login/,1,0,153,153.0,153,153,2961.0,0.0008507975724691061,0.0,150,150,150,150,150,150,150,150,150,150,150
POST,/auth/login/,69,0,940,1680.4202898550725,234,11304,9896.260869565218,0.05870503250036832,0.0,940,1300,1800,2000,5600,6400,7200,11000,11000,11000,11000
GET,/auth/logout/,69,0,300,517.6666666666666,24,10119,1712.0,0.05870503250036832,0.0,300,360,390,410,540,1200,4700,10000,10000,10000,10000
POST,/auth/modify-friend/,270,0,250,531.7518518518518,32,21662,1713.0,0.22971534456665865,0.0,250,330,370,410,580,800,2000,8800,22000,22000,22000
GET,/public/,270,0,320,593.1370370370371,45,13056,10117.274074074074,0.22971534456665865,0.0,320,400,500,560,810,1600,4200,6800,13000,13000,13000
,Aggregated,1642,0,310,667.9823386114494,24,21662,5675.052984165652,1.3970096139942723,0.0,310,400,510,580,910,1800,6200,8800,20000,22000,22000

