Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637246664,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637246665,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,791,791.0,791,791,1999.0
1637246665,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,84,84.0,84,84,2961.0
1637246665,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,84,437.5,84,791,2480.0
1637246666,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,57,211.8,45,791,2025.4
1637246666,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,46,64.0,46,82,1974.0
1637246666,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,84,84.0,84,84,2961.0
1637246666,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,187,187.0,187,187,2032.0
1637246666,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,88,88.0,88,88,1713.0
1637246666,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,173,173.0,173,173,3682.0
1637246666,1,,Aggregated,0.000000,0.000000,84,110,170,170,190,790,790,790,790,790,790,11,0,84,156.27272727272728,45,791,2223.909090909091
1637246667,1,GET,/,0.000000,0.000000,57,57,110,110,110,110,110,110,110,110,110,5,0,57,211.8,45,791,2025.4
1637246667,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,254,254.0,254,254,2147.0
1637246667,1,GET,/auth/find-friends/,0.000000,0.000000,82,82,82,82,82,82,82,82,82,82,82,2,0,46,64.0,46,82,1974.0
1637246667,1,GET,/auth/login/,0.000000,0.000000,84,84,84,84,84,84,84,84,84,84,84,1,0,84,84.0,84,84,2961.0
1637246667,1,POST,/auth/login/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,187,187.0,187,187,2032.0
1637246667,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,39,39.0,39,39,1712.0
1637246667,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,88,88.0,88,88,1713.0
1637246667,1,GET,/public/,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,173,173.0,173,173,3682.0
1637246667,1,,Aggregated,0.000000,0.000000,84,110,170,190,250,790,790,790,790,790,790,13,0,84,154.76923076923077,39,791,2178.6153846153848
1637246668,1,GET,/,1.000000,0.000000,110,110,110,110,110,110,110,110,110,110,110,6,0,57,195.5,45,791,2045.6666666666667
1637246668,1,POST,/,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,1,0,254,254.0,254,254,2147.0
1637246668,1,GET,/auth/find-friends/,1.000000,0.000000,82,82,82,82,82,82,82,82,82,82,82,2,0,46,64.0,46,82,1974.0
1637246668,1,GET,/auth/login/,0.500000,0.000000,84,84,84,84,84,84,84,84,84,84,84,1,0,84,84.0,84,84,2961.0
1637246668,1,POST,/auth/login/,0.500000,0.000000,430,430,430,430,430,430,430,430,430,430,430,2,0,190,307.5,187,428,2089.5
1637246668,1,GET,/auth/logout/,0.000000,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,39,39.0,39,39,1712.0
1637246668,1,POST,/auth/modify-friend/,0.000000,0.000000,88,88,88,88,88,88,88,88,88,88,88,1,0,88,88.0,88,88,1713.0
1637246668,1,GET,/public/,0.500000,0.000000,370,370,370,370,370,370,370,370,370,370,370,2,0,173,270.0,173,367,6522.5
1637246668,1,,Aggregated,3.500000,0.000000,110,170,250,250,430,790,790,790,790,790,790,16,0,88,182.5625,39,791,2623.6875
1637246669,1,GET,/,1.666667,0.000000,100,110,110,110,110,110,110,110,110,110,110,7,0,100,181.85714285714286,45,791,2060.1428571428573
1637246669,1,POST,/,0.333333,0.000000,250,250,250,250,250,250,250,250,250,250,250,1,0,254,254.0,254,254,2147.0
1637246669,1,GET,/auth/find-friends/,0.666667,0.000000,210,210,290,290,290,290,290,290,290,290,290,4,0,82,157.75,46,290,1974.0
1637246669,1,GET,/auth/login/,0.333333,0.000000,84,84,84,84,84,84,84,84,84,84,84,1,0,84,84.0,84,84,2961.0
1637246669,1,POST,/auth/login/,0.333333,0.000000,430,430,430,430,430,430,430,430,430,430,430,2,0,190,307.5,187,428,2089.5
1637246669,1,GET,/auth/logout/,0.333333,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,39,39.0,39,39,1712.0
1637246669,1,POST,/auth/modify-friend/,0.333333,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,88,167.5,88,247,1713.0
1637246669,1,GET,/public/,0.333333,0.000000,370,370,370,370,370,370,370,370,370,370,370,2,0,173,270.0,173,367,6522.5
1637246669,1,,Aggregated,4.333333,0.000000,110,210,250,290,430,790,790,790,790,790,790,20,0,110,188.55,39,791,2489.35
1637246670,1,GET,/,1.250000,0.000000,100,110,110,110,110,110,110,110,110,110,110,7,0,100,181.85714285714286,45,791,2060.1428571428573
1637246670,1,POST,/,0.250000,0.000000,250,250,250,250,250,250,250,250,250,250,250,1,0,254,254.0,254,254,2147.0
1637246670,1,GET,/auth/find-friends/,0.500000,0.000000,170,170,210,210,290,290,290,290,290,290,290,6,0,130,155.0,46,290,1974.0
1637246670,1,GET,/auth/login/,0.250000,0.000000,84,84,84,84,84,84,84,84,84,84,84,1,0,84,84.0,84,84,2961.0
1637246670,1,POST,/auth/login/,0.250000,0.000000,430,430,430,430,430,430,430,430,430,430,430,2,0,190,307.5,187,428,2089.5
1637246670,1,GET,/auth/logout/,0.250000,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,39,39.0,39,39,1712.0
1637246670,1,POST,/auth/modify-friend/,0.250000,0.000000,250,250,340,340,340,340,340,340,340,340,340,3,0,250,226.0,88,343,1713.0
1637246670,1,GET,/public/,0.250000,0.000000,370,370,400,400,400,400,400,400,400,400,400,3,0,370,311.6666666666667,173,395,7814.666666666667
1637246670,1,,Aggregated,3.250000,0.000000,170,210,290,340,400,430,790,790,790,790,790,24,0,130,200.33333333333334,39,791,2743.625
1637246671,1,GET,/,1.200000,0.000000,110,110,110,110,310,310,310,310,310,310,310,8,0,100,198.375,45,791,2071.0
1637246671,1,POST,/,0.200000,0.000000,250,250,250,250,250,250,250,250,250,250,250,1,0,254,254.0,254,254,2147.0
1637246671,1,GET,/auth/find-friends/,0.600000,0.000000,170,170,210,210,290,290,290,290,290,290,290,6,0,130,155.0,46,290,1974.0
1637246671,1,GET,/auth/login/,0.200000,0.000000,84,84,84,84,84,84,84,84,84,84,84,1,0,84,84.0,84,84,2961.0
1637246671,1,POST,/auth/login/,0.400000,0.000000,430,430,430,430,430,430,430,430,430,430,430,2,0,190,307.5,187,428,2089.5
1637246671,1,GET,/auth/logout/,0.200000,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,39,39.0,39,39,1712.0
1637246671,1,POST,/auth/modify-friend/,0.200000,0.000000,250,250,340,340,340,340,340,340,340,340,340,3,0,250,226.0,88,343,1713.0
1637246671,1,GET,/public/,0.400000,0.000000,400,400,530,530,530,530,530,530,530,530,530,4,0,370,365.5,173,527,8429.5
