Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637246670,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637246671,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,292,292.0,292,292,10444.0
1637246671,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,313,313.0,313,313,2961.0
1637246671,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,292,302.5,292,313,6702.5
1637246672,1,GET,/,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,1,0,292,292.0,292,292,10444.0
1637246672,1,GET,/auth/login/,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,1,0,313,313.0,313,313,2961.0
1637246672,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,656,656.0,656,656,2032.0
1637246672,1,,Aggregated,0.000000,0.000000,660,660,660,660,660,660,660,660,660,660,660,3,0,310,420.3333333333333,292,656,5145.666666666667
1637246673,1,GET,/,0.000000,0.000000,740,740,740,740,740,740,740,740,740,740,740,2,0,292,517.0,292,742,6238.0
1637246673,1,GET,/auth/login/,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,1,0,313,313.0,313,313,2961.0
1637246673,1,POST,/auth/login/,0.000000,0.000000,660,660,660,660,660,660,660,660,660,660,660,1,0,656,656.0,656,656,2032.0
1637246673,1,,Aggregated,0.000000,0.000000,740,740,740,740,740,740,740,740,740,740,740,4,0,310,500.75,292,742,4367.25
1637246674,1,GET,/,0.500000,0.000000,740,740,740,740,740,740,740,740,740,740,740,2,0,292,517.0,292,742,6238.0
1637246674,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1011,1011.0,1011,1011,2139.0
1637246674,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,257,257.0,257,257,1974.0
1637246674,1,GET,/auth/login/,0.500000,0.000000,310,310,310,310,310,310,310,310,310,310,310,1,0,313,313.0,313,313,2961.0
1637246674,1,POST,/auth/login/,0.500000,0.000000,660,660,660,660,660,660,660,660,660,660,660,1,0,656,656.0,656,656,2032.0
1637246674,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,624,624.0,624,624,10099.0
1637246674,1,,Aggregated,1.500000,0.000000,660,740,740,1000,1000,1000,1000,1000,1000,1000,1000,7,0,620,556.4285714285714,257,1011,4525.857142857143
1637246675,1,GET,/,0.500000,0.000000,740,740,740,740,740,740,740,740,740,740,740,2,0,292,517.0,292,742,6238.0
1637246675,1,POST,/,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,0,1011,1011.0,1011,1011,2139.0
1637246675,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,260,375.5,257,494,1974.0
1637246675,1,GET,/auth/login/,0.500000,0.000000,310,310,310,310,310,310,310,310,310,310,310,1,0,313,313.0,313,313,2961.0
1637246675,1,POST,/auth/login/,0.500000,0.000000,660,660,660,660,660,660,660,660,660,660,660,1,0,656,656.0,656,656,2032.0
1637246675,1,GET,/public/,0.000000,0.000000,620,620,620,620,620,620,620,620,620,620,620,1,0,624,624.0,624,624,10099.0
1637246675,1,,Aggregated,1.500000,0.000000,660,660,740,740,1000,1000,1000,1000,1000,1000,1000,8,0,490,548.625,257,1011,4206.875
1637246676,1,GET,/,0.666667,0.000000,530,530,740,740,740,740,740,740,740,740,740,3,0,530,522.6666666666666,292,742,4871.666666666667
1637246676,1,POST,/,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,0,1011,1011.0,1011,1011,2139.0
1637246676,1,GET,/auth/find-friends/,0.000000,0.000000,490,490,490,490,490,490,490,490,490,490,490,2,0,260,375.5,257,494,1974.0
1637246676,1,GET,/auth/login/,0.333333,0.000000,310,310,310,310,310,310,310,310,310,310,310,1,0,313,313.0,313,313,2961.0
1637246676,1,POST,/auth/login/,0.333333,0.000000,660,660,660,660,660,660,660,660,660,660,660,1,0,656,656.0,656,656,2032.0
1637246676,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,678,678.0,678,678,1713.0
1637246676,1,GET,/public/,0.000000,0.000000,620,620,620,620,620,620,620,620,620,620,620,1,0,624,624.0,624,624,10099.0
