Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637249742,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637249743,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,228,228.0,228,228,9729.0
1637249743,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,143,143.0,143,143,2961.0
1637249743,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,143,185.5,143,228,6345.0
1637249744,1,GET,/,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,2,0,230,289.5,228,351,5880.5
1637249744,1,GET,/auth/login/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,1,0,143,143.0,143,143,2961.0
1637249744,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1052,1052.0,1052,1052,2032.0
1637249744,1,,Aggregated,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,4,0,230,443.5,143,1052,4188.5
1637249745,1,GET,/,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,2,0,230,289.5,228,351,5880.5
1637249745,1,GET,/auth/login/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,1,0,143,143.0,143,143,2961.0
1637249745,1,POST,/auth/login/,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1,0,1052,1052.0,1052,1052,2032.0
1637249745,1,,Aggregated,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,4,0,230,443.5,143,1052,4188.5
1637249746,1,GET,/,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,2,0,230,289.5,228,351,5880.5
1637249746,1,GET,/auth/login/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,1,0,143,143.0,143,143,2961.0
1637249746,1,POST,/auth/login/,0.000000,0.000000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1,0,1052,1052.0,1052,1052,2032.0
