Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637249740,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637249741,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,202,202.0,202,202,7356.0
1637249741,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,174,174.0,174,174,2961.0
1637249741,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,189,189.0,189,189,2032.0
1637249741,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,26,26.0,26,26,1712.0
1637249741,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,170,147.75,26,202,3515.25
1637249742,1,GET,/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,1,0,202,202.0,202,202,7356.0
1637249742,1,GET,/auth/login/,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,174,174.0,174,174,2961.0
1637249742,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,189,189.0,189,189,2032.0
1637249742,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,26,26.0,26,26,1712.0
1637249742,1,,Aggregated,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,4,0,170,147.75,26,202,3515.25
1637249743,1,GET,/,1.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,2,0,202,209.5,202,217,4694.0
1637249743,1,GET,/auth/login/,1.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,174,174.0,174,174,2961.0
1637249743,1,POST,/auth/login/,0.000000,0.000000,400,400,400,400,400,400,400,400,400,400,400,2,0,190,292.0,189,395,2032.0
1637249743,1,GET,/auth/logout/,0.000000,0.000000,26,26,26,26,26,26,26,26,26,26,26,1,0,26,26.0,26,26,1712.0
1637249743,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,720,720.0,720,720,10180.0
1637249743,1,,Aggregated,2.000000,0.000000,220,400,400,720,720,720,720,720,720,720,720,7,0,200,274.7142857142857,26,720,4043.5714285714284
1637249744,1,GET,/,0.500000,0.000000,220,220,220,220,220,220,220,220,220,220,220,2,0,202,209.5,202,217,4694.0
1637249744,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,250,272.5,248,297,1974.0
1637249744,1,GET,/auth/login/,0.500000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,174,174.0,174,174,2961.0
1637249744,1,POST,/auth/login/,0.500000,0.000000,400,400,400,400,400,400,400,400,400,400,400,2,0,190,292.0,189,395,2032.0
1637249744,1,GET,/auth/logout/,0.500000,0.000000,26,26,26,26,26,26,26,26,26,26,26,1,0,26,26.0,26,26,1712.0
1637249744,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,720,720.0,720,720,10180.0
1637249744,1,,Aggregated,2.000000,0.000000,250,300,400,400,720,720,720,720,720,720,720,9,0,220,274.22222222222223,26,720,3583.6666666666665
1637249745,1,GET,/,0.500000,0.000000,220,220,220,220,220,220,220,220,220,220,220,2,0,202,209.5,202,217,4694.0
1637249745,1,GET,/auth/find-friends/,0.000000,0.000000,300,300,300,300,300,300,300,300,300,300,300,2,0,250,272.5,248,297,1974.0
1637249745,1,GET,/auth/login/,0.500000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,174,174.0,174,174,2961.0
1637249745,1,POST,/auth/login/,0.500000,0.000000,400,400,400,400,400,400,400,400,400,400,400,2,0,190,292.0,189,395,2032.0
1637249745,1,GET,/auth/logout/,0.500000,0.000000,26,26,26,26,26,26,26,26,26,26,26,1,0,26,26.0,26,26,1712.0
1637249745,1,GET,/public/,0.000000,0.000000,720,720,720,720,720,720,720,720,720,720,720,1,0,720,720.0,720,720,10180.0
1637249745,1,,Aggregated,2.000000,0.000000,250,300,400,400,720,720,720,720,720,720,720,9,0,220,274.22222222222223,26,720,3583.6666666666665
1637249746,1,GET,/,0.500000,0.000000,220,220,220,220,220,220,220,220,220,220,220,2,0,202,209.5,202,217,4694.0
1637249746,1,GET,/auth/find-friends/,0.000000,0.000000,300,300,300,300,300,300,300,300,300,300,300,2,0,250,272.5,248,297,1974.0
1637249746,1,GET,/auth/login/,0.500000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,174,174.0,174,174,2961.0
