Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637249735,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637249736,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,22,59.5,22,97,1924.0
1637249736,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,34,34.0,34,34,2961.0
1637249736,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,163,163.0,163,163,2032.0
1637249736,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,21,21.0,21,21,1712.0
1637249736,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,23,23.0,23,23,1772.0
1637249736,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,23,60.0,21,163,2054.1666666666665
1637249737,1,GET,/,0.000000,0.000000,97,97,97,97,97,97,97,97,97,97,97,2,0,22,59.5,22,97,1924.0
1637249737,1,GET,/auth/login/,0.000000,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34,34.0,34,34,2961.0
1637249737,1,POST,/auth/login/,0.000000,0.000000,160,160,160,160,160,160,160,160,160,160,160,1,0,163,163.0,163,163,2032.0
1637249737,1,GET,/auth/logout/,0.000000,0.000000,21,21,21,21,21,21,21,21,21,21,21,1,0,21,21.0,21,21,1712.0
1637249737,1,GET,/public/,0.000000,0.000000,23,23,23,23,23,23,23,23,23,23,23,1,0,23,23.0,23,23,1772.0
1637249737,1,,Aggregated,0.000000,0.000000,34,34,97,97,160,160,160,160,160,160,160,6,0,23,60.0,21,163,2054.1666666666665
1637249738,1,GET,/,0.000000,0.000000,97,97,97,97,97,97,97,97,97,97,97,2,0,22,59.5,22,97,1924.0
1637249738,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,58,55.0,43,60,1974.0
1637249738,1,GET,/auth/login/,0.000000,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34,34.0,34,34,2961.0
1637249738,1,POST,/auth/login/,0.000000,0.000000,710,710,710,710,710,710,710,710,710,710,710,2,0,163,435.5,163,708,2032.0
1637249738,1,GET,/auth/logout/,0.000000,0.000000,21,21,21,21,21,21,21,21,21,21,21,1,0,21,21.0,21,21,1712.0
1637249738,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,60,60.0,60,60,1713.0
1637249738,1,GET,/public/,0.000000,0.000000,64,64,65,65,65,65,65,65,65,65,65,3,0,64,50.666666666666664,23,65,2732.6666666666665
1637249738,1,,Aggregated,0.000000,0.000000,60,64,65,97,160,710,710,710,710,710,710,14,0,59,105.5,21,708,2170.8571428571427
1637249739,1,GET,/,1.000000,0.000000,97,97,97,97,97,97,97,97,97,97,97,2,0,22,59.5,22,97,1924.0
1637249739,1,GET,/auth/find-friends/,0.000000,0.000000,59,60,60,280,280,280,280,280,280,280,280,5,0,59,99.6,43,278,1974.0
1637249739,1,GET,/auth/login/,0.500000,0.000000,34,34,34,34,34,34,34,34,34,34,34,1,0,34,34.0,34,34,2961.0
1637249739,1,POST,/auth/login/,0.500000,0.000000,710,710,710,710,710,710,710,710,710,710,710,2,0,163,435.5,163,708,2032.0
1637249739,1,GET,/auth/logout/,0.500000,0.000000,21,21,21,21,21,21,21,21,21,21,21,1,0,21,21.0,21,21,1712.0
1637249739,1,POST,/auth/modify-friend/,0.000000,0.000000,890,890,890,890,890,890,890,890,890,890,890,2,0,60,473.0,60,886,1713.0
1637249739,1,GET,/public/,0.500000,0.000000,65,65,290,290,290,290,290,290,290,290,290,4,0,64,111.5,23,294,3089.75
1637249739,1,,Aggregated,3.000000,0.000000,60,97,160,280,710,890,890,890,890,890,890,17,0,60,172.64705882352942,21,886,2249.4117647058824
