Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,780,0,220,370.73205128205126,28,8175,10173.45,0.5756240121566417,0.0,220,280,330,380,520,650,3900,4900,8200,8200,8200
POST,/,119,0,460,692.1932773109244,114,6269,10003.285714285714,0.0878195608290261,0.0,460,590,770,840,1100,1200,5100,6100,6300,6300,6300
GET,/auth/find-friends/,1166,0,170,298.20926243567754,15,8075,1974.0,0.8604841002239029,0.0,170,230,270,310,430,550,1100,5200,8100,8100,8100
GET,/auth/login/,1,0,206,206.0,206,206,2961.0,0.0007379795027649253,0.0,210,210,210,210,210,210,210,210,210,210,210
POST,/auth/login/,111,0,560,1062.6846846846847,88,6451,10163.135135135135,0.0819157248069067,0.0,560,760,880,980,3400,4500,5900,6300,6500,6500,6500
GET,/auth/logout/,110,0,140,194.8090909090909,20,1072,1712.0,0.08117774530414178,0.0,140,190,280,310,370,500,710,720,1100,1100,1100
POST,/auth/modify-friend/,582,0,160,264.4896907216495,15,6465,1713.0,0.4295040706091865,0.0,160,220,270,300,380,500,750,4300,6500,6500,6500
GET,/public/,583,0,240,376.28987993138935,38,7415,10189.636363636364,0.43024205011195144,0.0,240,310,370,400,520,690,3900,4500,7400,7400,7400
,Aggregated,3452,0,200,356.94003476245655,15,8175,5702.282444959444,2.547505243544522,0.0,200,280,330,380,520,720,3800,5100,7400,8200,8200
0
