Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637086895,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637086896,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,39,119.0,39,199,5584.5
1637086896,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,28,34.0,28,40,1974.0
1637086896,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,186,186.0,186,186,2961.0
1637086896,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,335,335.0,335,335,2032.0
1637086896,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,114,114.0,114,114,9860.0
1637086896,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,0,110,134.42857142857142,28,335,4281.428571428572
1637086897,1,GET,/,0.000000,0.000000,39,39,39,39,39,39,39,39,39,39,39,3,0,39,91.66666666666667,37,199,4400.333333333333
1637086897,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,126,126.0,126,126,2165.0
1637086897,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,23,27.25,18,40,1974.0
1637086897,1,GET,/auth/login/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086897,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,335,335.0,335,335,2032.0
1637086897,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,32,32.0,32,32,1712.0
1637086897,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,31,48.0,31,65,1713.0
1637086897,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,114,119.0,114,124,9933.5
1637086897,1,,Aggregated,0.000000,0.000000,39,65,110,120,130,340,340,340,340,340,340,15,0,40,93.13333333333334,18,335,3550.6666666666665
1637086898,1,GET,/,0.000000,0.000000,39,39,39,39,39,39,39,39,39,39,39,3,0,39,91.66666666666667,37,199,4400.333333333333
1637086898,1,POST,/,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,126,126.0,126,126,2165.0
1637086898,1,GET,/auth/find-friends/,0.000000,0.000000,28,28,40,40,40,40,40,40,40,40,40,4,0,23,27.25,18,40,1974.0
1637086898,1,GET,/auth/login/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086898,1,POST,/auth/login/,0.000000,0.000000,340,340,340,340,340,340,340,340,340,340,340,1,0,335,335.0,335,335,2032.0
1637086898,1,GET,/auth/logout/,0.000000,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,1712.0
1637086898,1,POST,/auth/modify-friend/,0.000000,0.000000,65,65,65,65,65,65,65,65,65,65,65,2,0,31,48.0,31,65,1713.0
1637086898,1,GET,/public/,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,2,0,114,119.0,114,124,9933.5
1637086898,1,,Aggregated,0.000000,0.000000,39,65,110,120,130,340,340,340,340,340,340,15,0,40,93.13333333333334,18,335,3550.6666666666665
1637086899,1,GET,/,0.000000,0.000000,39,39,39,39,39,39,39,39,39,39,39,3,0,39,91.66666666666667,37,199,4400.333333333333
1637086899,1,POST,/,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,126,126.0,126,126,2165.0
1637086899,1,GET,/auth/find-friends/,0.000000,0.000000,28,28,40,40,40,40,40,40,40,40,40,4,0,23,27.25,18,40,1974.0
1637086899,1,GET,/auth/login/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086899,1,POST,/auth/login/,0.000000,0.000000,340,340,340,340,340,340,340,340,340,340,340,1,0,335,335.0,335,335,2032.0
1637086899,1,GET,/auth/logout/,0.000000,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,1712.0
1637086899,1,POST,/auth/modify-friend/,0.000000,0.000000,65,65,65,65,65,65,65,65,65,65,65,2,0,31,48.0,31,65,1713.0
1637086899,1,GET,/public/,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,2,0,114,119.0,114,124,9933.5
1637086899,1,,Aggregated,0.000000,0.000000,39,65,110,120,130,340,340,340,340,340,340,15,0,40,93.13333333333334,18,335,3550.6666666666665
1637086900,1,GET,/,1.000000,0.000000,83,83,220,220,220,220,220,220,220,220,220,5,0,83,114.8,37,216,3506.2
1637086900,1,POST,/,0.333333,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,126,126.0,126,126,2165.0
1637086900,1,GET,/auth/find-friends/,1.333333,0.000000,40,40,110,110,220,220,220,220,220,220,220,6,0,28,74.0,18,222,1974.0
1637086900,1,GET,/auth/login/,0.333333,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086900,1,POST,/auth/login/,0.333333,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,340,1009.5,335,1684,2098.5
1637086900,1,GET,/auth/logout/,0.333333,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,1712.0
1637086900,1,POST,/auth/modify-friend/,0.666667,0.000000,65,65,65,65,65,65,65,65,65,65,65,2,0,31,48.0,31,65,1713.0
1637086900,1,GET,/public/,0.666667,0.000000,120,120,190,190,190,190,190,190,190,190,190,3,0,120,142.66666666666666,114,190,10045.333333333334
1637086900,1,,Aggregated,5.000000,0.000000,83,120,190,220,340,1700,1700,1700,1700,1700,1700,21,0,110,185.95238095238096,18,1684,3522.4761904761904
1637086901,1,GET,/,1.000000,0.000000,83,220,220,330,330,330,330,330,330,330,330,6,0,83,151.16666666666666,37,333,3282.6666666666665
1637086901,1,POST,/,0.333333,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,126,126.0,126,126,2165.0
1637086901,1,GET,/auth/find-friends/,1.333333,0.000000,40,40,110,110,220,220,220,220,220,220,220,6,0,28,74.0,18,222,1974.0
1637086901,1,GET,/auth/login/,0.333333,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086901,1,POST,/auth/login/,0.333333,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,340,1009.5,335,1684,2098.5
1637086901,1,GET,/auth/logout/,0.333333,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,1712.0
1637086901,1,POST,/auth/modify-friend/,0.666667,0.000000,65,65,170,170,170,170,170,170,170,170,170,3,0,65,89.66666666666667,31,173,1713.0
1637086901,1,GET,/public/,0.666667,0.000000,120,120,190,190,190,190,190,190,190,190,190,3,0,120,142.66666666666666,114,190,10045.333333333334
1637086901,1,,Aggregated,5.000000,0.000000,110,130,190,220,330,340,1700,1700,1700,1700,1700,23,0,110,191.7826086956522,18,1684,3384.782608695652
1637086902,1,GET,/,1.000000,0.000000,140,140,220,220,330,330,330,330,330,330,330,7,0,140,150.14285714285714,37,333,3149.8571428571427
1637086902,1,POST,/,0.200000,0.000000,730,730,730,730,730,730,730,730,730,730,730,2,0,130,428.5,126,731,2259.0
1637086902,1,GET,/auth/find-friends/,0.800000,0.000000,110,130,220,220,220,220,220,220,220,220,220,8,0,40,99.75,18,222,1974.0
1637086902,1,GET,/auth/login/,0.200000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086902,1,POST,/auth/login/,0.400000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,340,1009.5,335,1684,2098.5
1637086902,1,GET,/auth/logout/,0.200000,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,1712.0
1637086902,1,POST,/auth/modify-friend/,0.400000,0.000000,65,65,170,170,170,170,170,170,170,170,170,3,0,65,89.66666666666667,31,173,1713.0
1637086902,1,GET,/public/,0.600000,0.000000,190,190,320,320,320,320,320,320,320,320,320,4,0,120,188.0,114,324,10114.25
1637086902,1,,Aggregated,3.800000,0.000000,130,190,220,220,340,730,1700,1700,1700,1700,1700,28,0,130,213.0,18,1684,3458.035714285714
1637086903,1,GET,/,1.000000,0.000000,140,160,220,330,480,480,480,480,480,480,480,10,0,140,182.6,37,484,2910.8
1637086903,1,POST,/,0.166667,0.000000,730,730,730,730,730,730,730,730,730,730,730,2,0,130,428.5,126,731,2259.0
1637086903,1,GET,/auth/find-friends/,1.000000,0.000000,110,130,220,220,220,220,220,220,220,220,220,8,0,40,99.75,18,222,1974.0
1637086903,1,GET,/auth/login/,0.166667,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086903,1,POST,/auth/login/,0.333333,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,340,1009.5,335,1684,2098.5
1637086903,1,GET,/auth/logout/,0.166667,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,1712.0
1637086903,1,POST,/auth/modify-friend/,0.500000,0.000000,140,140,170,170,170,170,170,170,170,170,170,4,0,65,103.0,31,173,1713.0
1637086903,1,GET,/public/,0.500000,0.000000,190,190,320,320,320,320,320,320,320,320,320,4,0,120,188.0,114,324,10114.25
1637086903,1,,Aggregated,3.833333,0.000000,130,170,220,320,480,730,1700,1700,1700,1700,1700,32,0,130,215.0625,18,1684,3299.90625
1637086904,1,GET,/,1.000000,0.000000,140,160,220,330,480,480,480,480,480,480,480,10,0,140,182.6,37,484,2910.8
1637086904,1,POST,/,0.285714,0.000000,420,420,730,730,730,730,730,730,730,730,730,3,0,420,426.0,126,731,2373.3333333333335
1637086904,1,GET,/auth/find-friends/,0.857143,0.000000,110,130,220,220,220,220,220,220,220,220,220,8,0,40,99.75,18,222,1974.0
1637086904,1,GET,/auth/login/,0.142857,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086904,1,POST,/auth/login/,0.285714,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,340,1009.5,335,1684,2098.5
1637086904,1,GET,/auth/logout/,0.142857,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,1712.0
1637086904,1,POST,/auth/modify-friend/,0.428571,0.000000,140,140,170,170,170,170,170,170,170,170,170,4,0,65,103.0,31,173,1713.0
1637086904,1,GET,/public/,0.428571,0.000000,190,320,320,570,570,570,570,570,570,570,570,5,0,190,263.8,114,567,10137.8
1637086904,1,,Aggregated,3.571429,0.000000,140,220,320,330,480,730,1700,1700,1700,1700,1700,34,0,140,231.47058823529412,18,1684,3483.264705882353
1637086905,1,GET,/,1.000000,0.000000,140,160,220,330,480,480,480,480,480,480,480,10,0,140,182.6,37,484,2910.8
1637086905,1,POST,/,0.250000,0.000000,420,420,730,730,730,730,730,730,730,730,730,3,0,420,426.0,126,731,2373.3333333333335
1637086905,1,GET,/auth/find-friends/,1.000000,0.000000,130,220,220,320,520,520,520,520,520,520,520,10,0,110,163.6,18,520,1974.0
1637086905,1,GET,/auth/login/,0.125000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086905,1,POST,/auth/login/,0.250000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,340,1009.5,335,1684,2098.5
1637086905,1,GET,/auth/logout/,0.125000,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,1712.0
1637086905,1,POST,/auth/modify-friend/,0.500000,0.000000,130,140,140,170,170,170,170,170,170,170,170,5,0,130,107.8,31,173,1713.0
1637086905,1,GET,/public/,0.500000,0.000000,190,190,320,320,570,570,570,570,570,570,570,6,0,120,239.66666666666666,114,567,10145.333333333334
1637086905,1,,Aggregated,3.750000,0.000000,140,220,320,330,520,730,1700,1700,1700,1700,1700,38,0,140,235.6315789473684,18,1684,3533.5526315789475
1637086906,1,GET,/,1.111111,0.000000,140,160,220,330,480,480,480,480,480,480,480,11,0,140,169.1818181818182,35,484,2901.4545454545455
1637086906,1,POST,/,0.333333,0.000000,420,420,730,730,730,730,730,730,730,730,730,3,0,420,426.0,126,731,2373.3333333333335
1637086906,1,GET,/auth/find-friends/,0.888889,0.000000,130,220,220,320,520,610,610,610,610,610,610,13,0,130,192.0,18,607,1974.0
1637086906,1,GET,/auth/login/,0.111111,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637086906,1,POST,/auth/login/,0.222222,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,2,0,340,1009.5,335,1684,2098.5
