Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637086895,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637086896,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,224,224.0,224,224,9137.0
1637086896,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,460,460.0,460,460,2961.0
1637086896,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,224,342.0,224,460,6049.0
1637086897,1,GET,/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,3,0,200,195.66666666666666,166,224,4400.333333333333
1637086897,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,460,460.0,460,460,2961.0
1637086897,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,687,687.0,687,687,2032.0
1637086897,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,212,212.0,212,212,10026.0
1637086897,1,,Aggregated,0.000000,0.000000,210,460,460,690,690,690,690,690,690,690,690,6,0,210,324.3333333333333,166,687,4703.333333333333
1637086898,1,GET,/,1.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,3,0,200,195.66666666666666,166,224,4400.333333333333
1637086898,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,170,169.5,167,172,1974.0
1637086898,1,GET,/auth/login/,0.000000,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086898,1,POST,/auth/login/,0.000000,0.000000,690,690,690,690,690,690,690,690,690,690,690,1,0,687,687.0,687,687,2032.0
1637086898,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,91,91.0,91,91,1713.0
1637086898,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,212,392.0,212,572,10085.0
1637086898,1,,Aggregated,1.000000,0.000000,200,210,460,570,690,690,690,690,690,690,690,10,0,200,294.8,91,687,4402.5
1637086899,1,GET,/,1.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,3,0,200,195.66666666666666,166,224,4400.333333333333
1637086899,1,GET,/auth/find-friends/,0.000000,0.000000,580,580,580,580,580,580,580,580,580,580,580,4,0,170,259.0,115,582,1974.0
1637086899,1,GET,/auth/login/,0.500000,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086899,1,POST,/auth/login/,0.500000,0.000000,690,690,690,690,690,690,690,690,690,690,690,1,0,687,687.0,687,687,2032.0
1637086899,1,POST,/auth/modify-friend/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,2,0,91,146.5,91,202,1713.0
1637086899,1,GET,/public/,0.000000,0.000000,570,570,570,570,570,570,570,570,570,570,570,2,0,212,392.0,212,572,10085.0
1637086899,1,,Aggregated,2.000000,0.000000,200,210,570,570,580,690,690,690,690,690,690,13,0,200,295.9230769230769,91,687,3822.0
1637086900,1,GET,/,1.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,3,0,200,195.66666666666666,166,224,4400.333333333333
1637086900,1,GET,/auth/find-friends/,0.000000,0.000000,580,580,580,580,580,580,580,580,580,580,580,4,0,170,259.0,115,582,1974.0
1637086900,1,GET,/auth/login/,0.500000,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086900,1,POST,/auth/login/,0.500000,0.000000,690,690,690,690,690,690,690,690,690,690,690,1,0,687,687.0,687,687,2032.0
1637086900,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,184,184.0,184,184,1712.0
1637086900,1,POST,/auth/modify-friend/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,2,0,91,146.5,91,202,1713.0
1637086900,1,GET,/public/,0.000000,0.000000,570,570,570,570,570,570,570,570,570,570,570,2,0,212,392.0,212,572,10085.0
1637086900,1,,Aggregated,2.000000,0.000000,200,210,460,570,580,690,690,690,690,690,690,14,0,200,287.92857142857144,91,687,3671.285714285714
1637086901,1,GET,/,0.750000,0.000000,200,200,490,490,490,490,490,490,490,490,490,4,0,200,268.75,166,488,3808.25
1637086901,1,GET,/auth/find-friends/,0.750000,0.000000,580,580,580,580,580,580,580,580,580,580,580,4,0,170,259.0,115,582,1974.0
1637086901,1,GET,/auth/login/,0.250000,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086901,1,POST,/auth/login/,0.250000,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,450,568.0,449,687,2032.0
1637086901,1,GET,/auth/logout/,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,184,184.0,184,184,1712.0
1637086901,1,POST,/auth/modify-friend/,0.250000,0.000000,200,200,200,200,200,200,200,200,200,200,200,2,0,91,146.5,91,202,1713.0
1637086901,1,GET,/public/,0.500000,0.000000,570,570,570,570,570,570,570,570,570,570,570,2,0,212,392.0,212,572,10085.0
1637086901,1,,Aggregated,2.750000,0.000000,200,450,490,570,580,690,690,690,690,690,690,16,0,200,310.5,91,687,3466.375
1637086902,1,GET,/,0.600000,0.000000,200,200,490,490,490,490,490,490,490,490,490,4,0,200,268.75,166,488,3808.25
1637086902,1,GET,/auth/find-friends/,0.800000,0.000000,490,490,580,580,580,580,580,580,580,580,580,6,0,170,308.5,115,582,1974.0
1637086902,1,GET,/auth/login/,0.200000,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086902,1,POST,/auth/login/,0.200000,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,450,568.0,449,687,2032.0
1637086902,1,GET,/auth/logout/,0.200000,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,184,184.0,184,184,1712.0
1637086902,1,POST,/auth/modify-friend/,0.400000,0.000000,200,200,200,200,200,200,200,200,200,200,200,2,0,91,146.5,91,202,1713.0
1637086902,1,GET,/public/,0.400000,0.000000,570,570,570,570,570,570,570,570,570,570,570,3,0,250,345.3333333333333,212,572,10203.666666666666
1637086902,1,,Aggregated,2.800000,0.000000,250,450,490,490,580,690,690,690,690,690,690,19,0,220,317.63157894736844,91,687,3676.3684210526317
1637086903,1,GET,/,0.500000,0.000000,200,490,490,490,490,490,490,490,490,490,490,6,0,200,281.8333333333333,128,488,3216.1666666666665
1637086903,1,GET,/auth/find-friends/,0.666667,0.000000,490,490,580,580,580,580,580,580,580,580,580,6,0,170,308.5,115,582,1974.0
1637086903,1,GET,/auth/login/,0.166667,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086903,1,POST,/auth/login/,0.333333,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,450,568.0,449,687,2032.0
1637086903,1,GET,/auth/logout/,0.166667,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,184,184.0,184,184,1712.0
1637086903,1,POST,/auth/modify-friend/,0.333333,0.000000,200,200,370,370,370,370,370,370,370,370,370,3,0,200,222.0,91,373,1713.0
1637086903,1,GET,/public/,0.333333,0.000000,570,570,570,570,570,570,570,570,570,570,570,3,0,250,345.3333333333333,212,572,10203.666666666666
1637086903,1,,Aggregated,2.500000,0.000000,250,450,490,490,570,580,690,690,690,690,690,22,0,220,319.27272727272725,91,687,3437.6363636363635
1637086904,1,GET,/,0.571429,0.000000,200,490,490,490,490,490,490,490,490,490,490,6,0,200,281.8333333333333,128,488,3216.1666666666665
1637086904,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,792,792.0,792,792,2187.0
1637086904,1,GET,/auth/find-friends/,0.714286,0.000000,490,490,580,580,580,580,580,580,580,580,580,6,0,170,308.5,115,582,1974.0
1637086904,1,GET,/auth/login/,0.142857,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086904,1,POST,/auth/login/,0.285714,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,450,568.0,449,687,2032.0
1637086904,1,GET,/auth/logout/,0.142857,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,184,184.0,184,184,1712.0
1637086904,1,POST,/auth/modify-friend/,0.285714,0.000000,200,200,370,370,370,370,370,370,370,370,370,3,0,200,222.0,91,373,1713.0
1637086904,1,GET,/public/,0.428571,0.000000,570,570,570,570,570,570,570,570,570,570,570,3,0,250,345.3333333333333,212,572,10203.666666666666
1637086904,1,,Aggregated,2.571429,0.000000,330,460,490,490,580,690,790,790,790,790,790,23,0,250,339.82608695652175,91,792,3383.2608695652175
1637086905,1,GET,/,0.500000,0.000000,200,200,490,490,490,490,490,490,490,490,490,7,0,200,257.7142857142857,113,488,3069.1428571428573
1637086905,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,240,513.5,235,792,2281.0
1637086905,1,GET,/auth/find-friends/,0.750000,0.000000,330,330,490,490,580,580,580,580,580,580,580,8,0,170,268.375,98,582,1974.0
1637086905,1,GET,/auth/login/,0.125000,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086905,1,POST,/auth/login/,0.250000,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,450,568.0,449,687,2032.0
1637086905,1,GET,/auth/logout/,0.125000,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,184,184.0,184,184,1712.0
1637086905,1,POST,/auth/modify-friend/,0.375000,0.000000,310,310,370,370,370,370,370,370,370,370,370,4,0,200,243.75,91,373,1713.0
1637086905,1,GET,/public/,0.375000,0.000000,290,290,570,570,570,570,570,570,570,570,570,4,0,250,332.0,212,572,10188.0
1637086905,1,,Aggregated,2.500000,0.000000,250,370,490,490,580,690,790,790,790,790,790,29,0,240,312.44827586206895,91,792,3385.4827586206898
1637086906,1,GET,/,0.666667,0.000000,170,490,490,490,490,490,490,490,490,490,490,7,0,200,257.7142857142857,113,488,3069.1428571428573
1637086906,1,POST,/,0.000000,0.000000,240,240,240,240,240,240,240,240,240,240,240,2,0,240,513.5,235,792,2281.0
1637086906,1,GET,/auth/find-friends/,0.666667,0.000000,200,330,490,490,580,580,580,580,580,580,580,10,0,170,240.9,83,582,1974.0
1637086906,1,GET,/auth/login/,0.111111,0.000000,460,460,460,460,460,460,460,460,460,460,460,1,0,460,460.0,460,460,2961.0
1637086906,1,POST,/auth/login/,0.222222,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,450,568.0,449,687,2032.0
1637086906,1,GET,/auth/logout/,0.111111,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,184,184.0,184,184,1712.0
1637086906,1,POST,/auth/modify-friend/,0.333333,0.000000,210,310,310,370,370,370,370,370,370,370,370,5,0,210,237.0,91,373,1713.0
1637086906,1,GET,/public/,0.333333,0.000000,540,540,570,570,570,570,570,570,570,570,570,5,0,290,373.0,212,572,10204.2
1637086906,1,,Aggregated,2.444444,0.000000,210,330,450,490,570,580,790,790,790,790,790,33,0,220,305.1515151515151,83,792,3457.848484848485
