Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,621,0,320,502.26409017713365,44,6759,10303.58615136876,0.4583542739195123,0.0,320,440,500,530,680,880,4400,5400,6800,6800,6800
POST,/,91,0,620,1038.868131868132,160,7147,10409.835164835165,0.0671662462587369,0.0,620,810,1100,1100,1300,5500,6800,7100,7100,7100,7100
GET,/auth/find-friends/,860,0,230,390.446511627907,26,7045,1974.0,0.6347579316759752,0.0,230,300,370,420,590,770,3700,5500,7000,7000,7000
GET,/auth/login/,1,0,182,182.0,182,182,2961.0,0.0007380906182278781,0.0,180,180,180,180,180,180,180,180,180,180,180
POST,/auth/login/,95,0,720,1188.8947368421052,102,9627,10010.421052631578,0.07011860873164842,0.0,720,840,980,1100,2700,5500,6700,9600,9600,9600,9600
GET,/auth/logout/,94,0,200,246.96808510638297,24,774,1712.0,0.06938051811342054,0.0,200,260,340,370,530,680,760,770,770,770,770
POST,/auth/modify-friend/,430,0,210,300.9,25,6835,1713.0,0.3173789658379876,0.0,210,280,330,380,530,640,800,850,6800,6800,6800
GET,/public/,430,0,320,567.6488372093023,49,7606,10203.848837209302,0.3173789658379876,0.0,320,420,500,560,760,1100,5600,6400,7600,7600,7600
,Aggregated,2622,0,280,477.51525553012965,24,9627,5828.598779557589,1.9352736009934963,0.0,280,380,470,520,700,980,4600,5700,7100,9600,9600
7100,9600,9600
