Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637086891,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637086892,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,169,169.0,169,169,3792.0
1637086892,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,169,169.0,169,169,3792.0
1637086893,1,GET,/,0.000000,0.000000,140,140,170,170,170,170,170,170,170,170,170,3,0,140,128.33333333333334,72,169,2618.6666666666665
1637086893,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1349,1349.0,1349,1349,2961.0
1637086893,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,116,116.0,116,116,2032.0
1637086893,1,,Aggregated,0.000000,0.000000,140,170,170,1300,1300,1300,1300,1300,1300,1300,1300,5,0,140,370.0,72,1349,2569.8
1637086894,1,GET,/,1.000000,0.000000,170,170,810,810,810,810,810,810,810,810,810,4,0,140,299.25,72,812,2472.0
1637086894,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1349,1349.0,1349,1349,2961.0
1637086894,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,116,116.0,116,116,2032.0
1637086894,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,328,328.0,328,328,7121.0
1637086894,1,,Aggregated,1.000000,0.000000,170,330,810,810,1300,1300,1300,1300,1300,1300,1300,7,0,170,427.14285714285717,72,1349,3143.1428571428573
1637086895,1,GET,/,0.500000,0.000000,140,170,170,810,810,810,810,810,810,810,810,5,0,140,252.4,65,812,2384.0
1637086895,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,49,101.75,46,170,1974.0
1637086895,1,GET,/auth/login/,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1,0,1349,1349.0,1349,1349,2961.0
1637086895,1,POST,/auth/login/,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,1,0,116,116.0,116,116,2032.0
