Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,574,0,320,488.47909407665503,46,6361,10255.51393728223,0.4236847451144288,0.0,320,400,480,530,670,890,4500,5300,6400,6400,6400
POST,/,87,0,670,898.5172413793103,165,6466,10371.850574712644,0.06421702582744827,0.0,670,800,920,1000,1400,1700,5900,6500,6500,6500,6500
GET,/auth/find-friends/,895,0,250,391.30167597765364,16,7003,1974.0,0.6606234266157034,0.0,250,320,380,410,540,720,4000,5100,7000,7000,7000
GET,/auth/login/,1,0,234,234.0,234,234,2961.0,0.0007381267336488307,0.0,230,230,230,230,230,230,230,230,230,230,230
POST,/auth/login/,88,0,870,1687.7613636363637,149,9440,10014.46590909091,0.0649551525610971,0.0,880,1100,1300,1500,5400,6900,9200,9400,9400,9400,9400
GET,/auth/logout/,87,0,200,295.55172413793105,23,4279,1712.0,0.06421702582744827,0.0,200,270,340,360,460,690,1200,4300,4300,4300,4300
POST,/auth/modify-friend/,447,0,220,337.7046979865772,29,5948,1713.0,0.3299426499410273,0.0,220,290,340,380,510,720,1100,4500,5900,5900,5900
GET,/public/,448,0,320,501.40625,71,7011,10209.004464285714,0.33068077667467616,0.0,320,390,450,490,650,800,4500,5600,7000,7000,7000
,Aggregated,2627,0,280,479.1880472021317,16,9440,5682.629996193376,1.939058929295478,0.0,280,370,440,500,690,1000,4500,5400,7800,9400,9400
00,9400
