Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,620,0,290,404.6016129032258,58,6916,10207.822580645161,0.4576813131391234,0.0,290,380,440,480,610,750,1300,3700,6900,6900,6900
POST,/,97,0,640,787.979381443299,175,8738,10335.288659793814,0.0716049796362822,0.0,640,770,880,930,1100,1300,1800,8700,8700,8700,8700
GET,/auth/find-friends/,888,0,230,369.2984234234234,16,6939,1974.0,0.6555177517218412,0.0,230,300,360,390,530,680,4100,5200,6900,6900,6900
GET,/auth/login/,1,0,106,106.0,106,106,2961.0,0.0007381956663534249,0.0,110,110,110,110,110,110,110,110,110,110,110
POST,/auth/login/,100,0,920,1784.34,155,7902,10115.92,0.07381956663534249,0.0,920,1200,1600,3400,5000,6900,7500,7900,7900,7900,7900
GET,/auth/logout/,99,0,250,335.5050505050505,26,4684,1712.0,0.07308137096898906,0.0,250,320,380,420,590,720,900,4700,4700,4700,4700
POST,/auth/modify-friend/,443,0,220,351.8961625282167,15,7157,1713.0,0.3270206801945672,0.0,220,290,350,400,530,630,3500,4800,7200,7200,7200
GET,/public/,444,0,310,503.7477477477477,51,7803,10189.1509009009,0.3277588758609206,0.0,310,370,430,480,630,1000,4600,5000,7800,7800,7800
,Aggregated,2692,0,280,463.0508915304606,15,8738,5776.808320950966,1.9872227338234199,0.0,280,360,430,490,680,970,4300,5600,7800,8700,8700
8700
