Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637086890,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637086891,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,729,729.0,729,729,3792.0
1637086891,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,729,729.0,729,729,3792.0
1637086892,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,729,729.0,729,729,3792.0
1637086892,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,649,649.0,649,649,2961.0
1637086892,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,473,473.0,473,473,2032.0
1637086892,1,,Aggregated,0.000000,0.000000,650,650,730,730,730,730,730,730,730,730,730,3,0,650,617.0,473,729,2928.3333333333335
1637086893,1,GET,/,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,250,489.5,250,729,2912.0
1637086893,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,281,281.0,281,281,2157.0
1637086893,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,649,649.0,649,649,2961.0
1637086893,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,473,473.0,473,473,2032.0
1637086893,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,218,218.0,218,218,5886.0
1637086893,1,,Aggregated,0.000000,0.000000,470,470,650,650,730,730,730,730,730,730,730,6,0,280,433.3333333333333,218,729,3143.3333333333335
1637086894,1,GET,/,0.500000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,250,489.5,250,729,2912.0
1637086894,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,281,281.0,281,281,2157.0
1637086894,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,211,662.5,211,1114,1974.0
1637086894,1,GET,/auth/login/,0.000000,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086894,1,POST,/auth/login/,0.000000,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086894,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,218,218.0,218,218,5886.0
1637086894,1,,Aggregated,0.500000,0.000000,470,650,730,730,1100,1100,1100,1100,1100,1100,1100,8,0,280,490.625,211,1114,2851.0
1637086895,1,GET,/,0.666667,0.000000,250,250,250,250,250,250,250,250,250,250,250,3,0,250,374.0,143,729,2660.3333333333335
1637086895,1,POST,/,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,2157.0
1637086895,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,180,393.25,69,1114,1974.0
1637086895,1,GET,/auth/login/,0.333333,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086895,1,POST,/auth/login/,0.333333,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086895,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,259,259.0,259,259,1713.0
1637086895,1,GET,/public/,0.000000,0.000000,250,250,250,250,250,250,250,250,250,250,250,2,0,220,232.0,218,246,6885.5
1637086895,1,,Aggregated,1.333333,0.000000,250,280,470,650,730,1100,1100,1100,1100,1100,1100,13,0,250,370.84615384615387,69,1114,2962.3846153846152
1637086896,1,GET,/,0.500000,0.000000,140,140,250,250,250,250,250,250,250,250,250,5,0,140,257.6,60,729,2542.6
1637086896,1,POST,/,0.250000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,2157.0
1637086896,1,GET,/auth/find-friends/,0.000000,0.000000,180,180,520,520,520,520,520,520,520,520,520,6,0,180,355.1666666666667,36,1114,1974.0
1637086896,1,GET,/auth/login/,0.250000,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086896,1,POST,/auth/login/,0.250000,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086896,1,POST,/auth/modify-friend/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,3,0,200,182.66666666666666,85,259,1713.0
1637086896,1,GET,/public/,0.250000,0.000000,220,220,250,250,250,250,250,250,250,250,250,3,0,220,198.33333333333334,131,246,7881.0
1637086896,1,,Aggregated,1.500000,0.000000,220,260,470,520,730,1100,1100,1100,1100,1100,1100,20,0,210,298.25,36,1114,3024.45
1637086897,1,GET,/,0.400000,0.000000,140,140,250,250,250,250,250,250,250,250,250,5,0,140,257.6,60,729,2542.6
1637086897,1,POST,/,0.200000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,2157.0
1637086897,1,GET,/auth/find-friends/,0.400000,0.000000,210,210,250,250,520,520,520,520,520,520,520,8,0,210,323.625,36,1114,1974.0
1637086897,1,GET,/auth/login/,0.200000,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086897,1,POST,/auth/login/,0.200000,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086897,1,POST,/auth/modify-friend/,0.200000,0.000000,200,200,200,200,200,200,200,200,200,200,200,3,0,200,182.66666666666666,85,259,1713.0
1637086897,1,GET,/public/,0.200000,0.000000,250,250,490,490,490,490,490,490,490,490,490,4,0,220,270.75,131,488,8417.25
1637086897,1,,Aggregated,1.800000,0.000000,220,260,470,490,650,730,1100,1100,1100,1100,1100,23,0,220,300.4782608695652,36,1114,3237.521739130435
1637086898,1,GET,/,0.500000,0.000000,140,140,250,250,250,250,250,250,250,250,250,5,0,140,257.6,60,729,2542.6
1637086898,1,POST,/,0.166667,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,2157.0
1637086898,1,GET,/auth/find-friends/,0.833333,0.000000,230,230,250,250,520,520,520,520,520,520,520,10,0,210,305.0,36,1114,1974.0
1637086898,1,GET,/auth/login/,0.166667,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086898,1,POST,/auth/login/,0.166667,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086898,1,POST,/auth/modify-friend/,0.333333,0.000000,200,200,390,390,390,390,390,390,390,390,390,4,0,200,235.25,85,393,1713.0
1637086898,1,GET,/public/,0.500000,0.000000,240,250,250,490,490,490,490,490,490,490,490,5,0,240,264.4,131,488,8762.6
1637086898,1,,Aggregated,2.666667,0.000000,230,250,390,470,650,730,1100,1100,1100,1100,1100,27,0,230,296.44444444444446,36,1114,3343.259259259259
1637086899,1,GET,/,0.714286,0.000000,140,140,250,250,250,250,250,250,250,250,250,5,0,140,257.6,60,729,2542.6
1637086899,1,POST,/,0.142857,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,2157.0
1637086899,1,GET,/auth/find-friends/,0.857143,0.000000,210,230,230,250,520,520,520,520,520,520,520,12,0,210,265.5833333333333,30,1114,1974.0
1637086899,1,GET,/auth/login/,0.142857,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086899,1,POST,/auth/login/,0.142857,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086899,1,POST,/auth/modify-friend/,0.428571,0.000000,200,390,390,400,400,400,400,400,400,400,400,6,0,200,249.16666666666666,85,399,1713.0
1637086899,1,GET,/public/,0.428571,0.000000,220,240,250,250,490,490,490,490,490,490,490,7,0,220,229.42857142857142,107,488,9156.57142857143
1637086899,1,,Aggregated,2.857143,0.000000,220,250,280,400,520,730,1100,1100,1100,1100,1100,33,0,220,272.09090909090907,30,1114,3573.4848484848485
1637086900,1,GET,/,0.625000,0.000000,140,140,210,210,250,250,250,250,250,250,250,7,0,140,232.42857142857142,60,729,2710.5714285714284
1637086900,1,POST,/,0.125000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,2157.0
1637086900,1,GET,/auth/find-friends/,1.000000,0.000000,170,210,230,230,250,520,520,520,520,520,520,16,0,170,221.3125,30,1114,1974.0
1637086900,1,GET,/auth/login/,0.125000,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086900,1,POST,/auth/login/,0.125000,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086900,1,POST,/auth/modify-friend/,0.375000,0.000000,200,200,390,390,400,400,400,400,400,400,400,7,0,200,234.14285714285714,85,399,1713.0
1637086900,1,GET,/public/,0.500000,0.000000,220,240,250,250,490,490,490,490,490,490,490,8,0,180,221.0,107,488,9318.125
1637086900,1,,Aggregated,2.875000,0.000000,200,240,250,280,490,650,1100,1100,1100,1100,1100,41,0,200,243.3658536585366,30,1114,3518.1463414634145
1637086901,1,GET,/,0.555556,0.000000,140,140,210,210,250,250,250,250,250,250,250,7,0,140,232.42857142857142,60,729,2710.5714285714284
1637086901,1,POST,/,0.111111,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,2157.0
1637086901,1,GET,/auth/find-friends/,1.111111,0.000000,160,180,230,230,250,520,520,520,520,520,520,18,0,160,209.38888888888889,30,1114,1974.0
1637086901,1,GET,/auth/login/,0.111111,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086901,1,POST,/auth/login/,0.111111,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086901,1,POST,/auth/modify-friend/,0.555556,0.000000,160,200,390,390,400,400,400,400,400,400,400,8,0,160,212.25,59,399,1713.0
1637086901,1,GET,/public/,0.555556,0.000000,220,240,250,490,640,640,640,640,640,640,640,9,0,220,267.1111111111111,107,636,9442.888888888889
1637086901,1,,Aggregated,3.111111,0.000000,180,230,250,280,490,640,1100,1100,1100,1100,1100,45,0,180,242.24444444444444,30,1114,3563.2444444444445
1637086902,1,GET,/,0.500000,0.000000,140,210,250,250,260,260,260,260,260,260,260,8,0,140,235.25,60,729,2809.625
1637086902,1,POST,/,0.100000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,2157.0
1637086902,1,GET,/auth/find-friends/,1.200000,0.000000,92,170,210,230,250,520,520,520,520,520,520,22,0,92,180.6818181818182,30,1114,1974.0
1637086902,1,GET,/auth/login/,0.100000,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
1637086902,1,POST,/auth/login/,0.100000,0.000000,470,470,470,470,470,470,470,470,470,470,470,1,0,473,473.0,473,473,2032.0
1637086902,1,POST,/auth/modify-friend/,0.600000,0.000000,160,160,200,390,400,400,400,400,400,400,400,10,0,160,199.4,59,399,1713.0
1637086902,1,GET,/public/,0.700000,0.000000,190,240,250,250,490,640,640,640,640,640,640,11,0,190,247.0909090909091,107,636,9597.363636363636
1637086902,1,,Aggregated,3.300000,0.000000,160,210,230,250,400,520,1100,1100,1100,1100,1100,54,0,160,221.7037037037037,30,1114,3625.1111111111113
1637086903,1,GET,/,0.700000,0.000000,130,140,200,210,260,260,260,260,260,260,260,11,0,140,209.8181818181818,60,729,3104.3636363636365
1637086903,1,POST,/,0.100000,0.000000,280,280,280,280,280,280,280,280,280,280,280,2,0,160,218.0,155,281,2920.0
1637086903,1,GET,/auth/find-friends/,1.600000,0.000000,69,160,180,210,230,250,520,520,520,520,520,24,0,69,167.33333333333334,18,1114,1974.0
1637086903,1,GET,/auth/login/,0.100000,0.000000,650,650,650,650,650,650,650,650,650,650,650,1,0,649,649.0,649,649,2961.0
