Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,865,0,210,373.97919075144506,36,7462,10278.024277456647,0.6383794410486725,0.0,210,280,330,370,460,650,3900,5200,7500,7500,7500
POST,/,128,0,430,710.4375,107,6278,10292.765625,0.0944653970569134,0.0,450,570,660,710,1000,3600,5000,5300,6300,6300,6300
GET,/auth/find-friends/,1190,0,140,252.93865546218487,15,8501,1974.0,0.8782329882634917,0.0,140,190,240,270,380,510,780,5300,6900,8500,8500
GET,/auth/login/,1,0,649,649.0,649,649,2961.0,0.0007380109145071359,0.0,650,650,650,650,650,650,650,650,650,650,650
POST,/auth/login/,144,0,470,883.7569444444445,56,7164,10334.395833333334,0.10627357168902757,0.0,470,630,710,760,1000,4400,6500,6700,7200,7200,7200
GET,/auth/logout/,143,0,120,214.9090909090909,12,6582,1712.0,0.10553556077452043,0.0,120,160,210,230,330,380,520,2900,6600,6600,6600
POST,/auth/modify-friend/,595,0,130,214.6890756302521,13,5182,1713.0,0.43911649413174586,0.0,130,190,220,250,340,420,600,4000,5200,5200,5200
GET,/public/,595,0,210,328.99663865546216,32,7208,10193.58487394958,0.43911649413174586,0.0,210,260,310,350,450,570,990,5100,7200,7200,7200
,Aggregated,3661,0,180,327.11281070745696,12,8501,5839.216880633707,2.7018579580106246,0.0,180,250,300,340,470,650,3400,5100,7200,8500,8500
500,8500
