Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637227393,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637227394,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,179,179.0,179,179,10531.0
1637227394,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,179,179.0,179,179,10531.0
1637227395,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,179,179.0,179,179,10531.0
1637227395,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1540,1540.0,1540,1540,2961.0
1637227395,1,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,2,0,180,859.5,179,1540,6746.0
1637227396,1,GET,/,0.000000,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,179,179.0,179,179,10531.0
1637227396,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1540,1540.0,1540,1540,2961.0
1637227396,1,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,2,0,180,859.5,179,1540,6746.0
1637227397,1,GET,/,0.500000,0.000000,180,180,180,180,180,180,180,180,180,180,180,1,0,179,179.0,179,179,10531.0
1637227397,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,394,394.0,394,394,1974.0
1637227397,1,GET,/auth/login/,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1,0,1540,1540.0,1540,1540,2961.0
1637227397,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1369,1369.0,1369,1369,2032.0
