Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,430,0,350,584.8604651162791,107,11441,10368.872093023256,0.349496672980583,0.0,350,420,490,530,700,1100,4800,6900,11000,11000,11000
POST,/,72,0,660,964.875,219,6860,10414.069444444445,0.05852037315023716,0.0,670,840,900,1000,1400,2600,5400,6900,6900,6900,6900
GET,/auth/find-friends/,708,0,290,476.50141242937855,29,7755,1974.0,0.575450335977332,0.0,290,370,410,450,640,940,4000,5300,7800,7800,7800
GET,/auth/login/,1,0,424,424.0,424,424,2961.0,0.0008127829604199604,0.0,420,420,420,420,420,420,420,420,420,420,420
POST,/auth/login/,69,0,1000,1616.7101449275362,177,7401,10091.202898550724,0.05608202426897727,0.0,1000,1200,1500,1800,3800,6100,7200,7400,7400,7400,7400
GET,/auth/logout/,68,0,290,497.9852941176471,65,6220,1712.0,0.055269241308557315,0.0,290,350,430,510,760,1600,3800,6200,6200,6200,6200
POST,/auth/modify-friend/,354,0,280,479.35593220338984,19,8558,1713.0,0.287725167988666,0.0,280,340,410,470,630,750,3900,6800,8600,8600,8600
GET,/public/,355,0,350,510.9492957746479,87,8107,10201.864788732395,0.28853795094908596,0.0,350,420,480,520,650,830,3800,6700,8100,8100,8100
,Aggregated,2057,0,320,561.6154594069033,19,11441,5663.468157510938,1.6718945495838586,0.0,320,410,490,550,770,1300,4800,6200,8500,11000,11000
0
