Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637227394,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637227395,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,281,281.0,281,281,10464.0
1637227395,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,186,186.0,186,186,2961.0
1637227395,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,190,233.5,186,281,6712.5
1637227396,1,GET,/,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,10464.0
1637227396,1,GET,/auth/login/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637227396,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,694,694.0,694,694,2032.0
1637227396,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,118,118.0,118,118,1712.0
1637227396,1,,Aggregated,0.000000,0.000000,690,690,690,690,690,690,690,690,690,690,690,4,0,190,319.75,118,694,4292.25
1637227397,1,GET,/,1.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,1,0,281,281.0,281,281,10464.0
1637227397,1,GET,/auth/login/,1.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637227397,1,POST,/auth/login/,0.000000,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,550,622.0,550,694,2032.0
1637227397,1,GET,/auth/logout/,0.000000,0.000000,120,120,120,120,120,120,120,120,120,120,120,1,0,118,118.0,118,118,1712.0
1637227397,1,,Aggregated,2.000000,0.000000,550,550,690,690,690,690,690,690,690,690,690,5,0,280,365.8,118,694,3840.2
1637227398,1,GET,/,0.500000,0.000000,430,430,430,430,430,430,430,430,430,430,430,2,0,281,353.5,281,426,6248.0
1637227398,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,420,420.0,420,420,2234.0
1637227398,1,GET,/auth/login/,0.500000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637227398,1,POST,/auth/login/,0.500000,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,550,622.0,550,694,2032.0
1637227398,1,GET,/auth/logout/,0.500000,0.000000,120,120,120,120,120,120,120,120,120,120,120,1,0,118,118.0,118,118,1712.0
1637227398,1,,Aggregated,2.000000,0.000000,430,550,550,690,690,690,690,690,690,690,690,7,0,420,382.14285714285717,118,694,3352.4285714285716
1637227399,1,GET,/,0.333333,0.000000,430,430,820,820,820,820,820,820,820,820,820,4,0,280,393.0,44,821,4296.5
1637227399,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,353,386.5,353,420,2345.0
1637227399,1,GET,/auth/login/,0.333333,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637227399,1,POST,/auth/login/,0.333333,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,550,622.0,550,694,2032.0
1637227399,1,GET,/auth/logout/,0.333333,0.000000,120,120,120,120,120,120,120,120,120,120,120,1,0,118,118.0,118,118,1712.0
1637227399,1,,Aggregated,1.333333,0.000000,430,550,690,690,820,820,820,820,820,820,820,10,0,350,389.3,44,821,3061.3
1637227400,1,GET,/,0.333333,0.000000,430,430,820,820,820,820,820,820,820,820,820,4,0,280,393.0,44,821,4296.5
1637227400,1,POST,/,0.000000,0.000000,350,350,350,350,350,350,350,350,350,350,350,2,0,353,386.5,353,420,2345.0
1637227400,1,GET,/auth/login/,0.333333,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637227400,1,POST,/auth/login/,0.333333,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,550,622.0,550,694,2032.0
1637227400,1,GET,/auth/logout/,0.333333,0.000000,200,200,200,200,200,200,200,200,200,200,200,2,0,120,161.5,118,205,1712.0
1637227400,1,,Aggregated,1.333333,0.000000,420,430,550,690,820,820,820,820,820,820,820,11,0,350,372.54545454545456,44,821,2938.6363636363635
1637227401,1,GET,/,0.600000,0.000000,300,430,430,820,820,820,820,820,820,820,820,5,0,300,375.2,44,821,3928.4
1637227401,1,POST,/,0.200000,0.000000,350,350,350,350,350,350,350,350,350,350,350,2,0,353,386.5,353,420,2345.0
1637227401,1,GET,/auth/login/,0.200000,0.000000,190,190,190,190,190,190,190,190,190,190,190,1,0,186,186.0,186,186,2961.0
1637227401,1,POST,/auth/login/,0.400000,0.000000,550,550,690,690,690,690,690,690,690,690,690,3,0,550,508.0,280,694,2173.3333333333335
1637227401,1,GET,/auth/logout/,0.200000,0.000000,200,200,200,200,200,200,200,200,200,200,200,2,0,120,161.5,118,205,1712.0
1637227401,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,206,206.0,206,206,10513.0
