Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637227388,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637227389,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,128,128.0,128,128,7864.0
1637227389,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,97,103.0,97,109,1974.0
1637227389,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,80,80.0,80,80,2961.0
1637227389,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,215,215.0,215,215,2032.0
1637227389,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,271,271.0,271,271,9339.0
1637227389,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,110,150.0,80,271,4357.333333333333
1637227390,1,GET,/,0.000000,0.000000,77,77,77,77,77,77,77,77,77,77,77,2,0,77,102.5,77,128,4948.0
1637227390,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,100,126.0,97,196,1974.0
1637227390,1,GET,/auth/login/,0.000000,0.000000,80,80,80,80,80,80,80,80,80,80,80,1,0,80,80.0,80,80,2961.0
1637227390,1,POST,/auth/login/,0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,1,0,215,215.0,215,215,2032.0
1637227390,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,110,187.5,107,268,1713.0
1637227390,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,270,268.5,266,271,9900.5
1637227390,1,,Aggregated,0.000000,0.000000,110,200,270,270,270,270,270,270,270,270,270,12,0,110,159.66666666666666,77,271,3834.3333333333335
1637227391,1,GET,/,0.000000,0.000000,77,77,77,77,77,77,77,77,77,77,77,2,0,77,102.5,77,128,4948.0
1637227391,1,GET,/auth/find-friends/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,5,0,110,138.0,97,196,1974.0
1637227391,1,GET,/auth/login/,0.000000,0.000000,80,80,80,80,80,80,80,80,80,80,80,1,0,80,80.0,80,80,2961.0
1637227391,1,POST,/auth/login/,0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,1,0,215,215.0,215,215,2032.0
1637227391,1,POST,/auth/modify-friend/,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,2,0,110,187.5,107,268,1713.0
1637227391,1,GET,/public/,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,3,0,270,276.0,266,291,10049.0
1637227391,1,,Aggregated,0.000000,0.000000,190,270,270,270,270,290,290,290,290,290,290,14,0,130,170.92857142857142,77,291,4166.571428571428
1637227392,1,GET,/,0.000000,0.000000,77,77,77,77,77,77,77,77,77,77,77,2,0,77,102.5,77,128,4948.0
1637227392,1,GET,/auth/find-friends/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,5,0,110,138.0,97,196,1974.0
1637227392,1,GET,/auth/login/,0.000000,0.000000,80,80,80,80,80,80,80,80,80,80,80,1,0,80,80.0,80,80,2961.0
1637227392,1,POST,/auth/login/,0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,1,0,215,215.0,215,215,2032.0
1637227392,1,POST,/auth/modify-friend/,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,2,0,110,187.5,107,268,1713.0
1637227392,1,GET,/public/,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,3,0,270,276.0,266,291,10049.0
1637227392,1,,Aggregated,0.000000,0.000000,190,270,270,270,270,290,290,290,290,290,290,14,0,130,170.92857142857142,77,291,4166.571428571428
1637227393,1,GET,/,0.000000,0.000000,77,77,77,77,77,77,77,77,77,77,77,2,0,77,102.5,77,128,4948.0
1637227393,1,GET,/auth/find-friends/,0.000000,0.000000,190,190,190,190,190,190,190,190,190,190,190,5,0,110,138.0,97,196,1974.0
1637227393,1,GET,/auth/login/,0.000000,0.000000,80,80,80,80,80,80,80,80,80,80,80,1,0,80,80.0,80,80,2961.0
1637227393,1,POST,/auth/login/,0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,1,0,215,215.0,215,215,2032.0
1637227393,1,POST,/auth/modify-friend/,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,2,0,110,187.5,107,268,1713.0
1637227393,1,GET,/public/,0.000000,0.000000,290,290,290,290,290,290,290,290,290,290,290,3,0,270,276.0,266,291,10049.0
1637227393,1,,Aggregated,0.000000,0.000000,190,270,270,270,270,290,290,290,290,290,290,14,0,130,170.92857142857142,77,291,4166.571428571428
1637227394,1,GET,/,0.500000,0.000000,160,160,160,160,160,160,160,160,160,160,160,3,0,130,121.0,77,158,3976.0
1637227394,1,GET,/auth/find-friends/,1.250000,0.000000,190,190,2800,2800,2800,2800,2800,2800,2800,2800,2800,6,0,110,574.1666666666666,97,2755,1974.0
1637227394,1,GET,/auth/login/,0.250000,0.000000,80,80,80,80,80,80,80,80,80,80,80,1,0,80,80.0,80,80,2961.0
1637227394,1,POST,/auth/login/,0.250000,0.000000,220,220,220,220,220,220,220,220,220,220,220,1,0,215,215.0,215,215,2032.0
1637227394,1,POST,/auth/modify-friend/,0.500000,0.000000,410,410,410,410,410,410,410,410,410,410,410,3,0,270,261.0,107,408,1713.0
1637227394,1,GET,/public/,0.750000,0.000000,290,290,290,290,290,290,290,290,290,290,290,3,0,270,276.0,266,291,10049.0
1637227394,1,,Aggregated,3.500000,0.000000,200,270,270,290,410,2800,2800,2800,2800,2800,2800,17,0,190,336.11764705882354,77,2755,3767.705882352941
1637227395,1,GET,/,0.400000,0.000000,290,360,360,460,460,460,460,460,460,460,460,6,0,160,245.5,77,461,3004.0
1637227395,1,GET,/auth/find-friends/,1.000000,0.000000,190,190,2800,2800,2800,2800,2800,2800,2800,2800,2800,6,0,110,574.1666666666666,97,2755,1974.0
1637227395,1,GET,/auth/login/,0.200000,0.000000,80,80,80,80,80,80,80,80,80,80,80,1,0,80,80.0,80,80,2961.0
