Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,443,0,390,668.6681715575621,60,15618,10248.058690744921,0.36236200582178874,0.0,390,490,550,620,940,1500,5000,5900,16000,16000,16000
POST,/,66,0,830,1258.3181818181818,255,10426,10290.621212121212,0.05398621305697079,0.0,850,1100,1400,1500,2200,3900,6200,10000,10000,10000,10000
GET,/auth/find-friends/,630,0,330,477.8793650793651,44,8877,1974.0,0.5153229428165393,0.0,330,410,490,520,690,890,3400,5200,8900,8900,8900
GET,/auth/login/,1,0,270,270.0,270,270,2961.0,0.000817972925105618,0.0,270,270,270,270,270,270,270,270,270,270,270
POST,/auth/login/,62,0,840,1388.483870967742,369,8399,9940.564516129032,0.05071432135654831,0.0,870,1100,1300,1500,2700,5400,6700,8400,8400,8400,8400
GET,/auth/logout/,61,0,330,432.4918032786885,49,3287,1712.0,0.049896348431442694,0.0,330,460,540,580,740,900,1100,3300,3300,3300,3300
POST,/auth/modify-friend/,315,0,300,471.2126984126984,48,7720,1713.0,0.25766147140826967,0.0,300,390,470,510,740,1100,2700,4600,7700,7700,7700
GET,/public/,315,0,390,666.2857142857143,90,7967,10201.498412698413,0.25766147140826967,0.0,390,480,540,600,730,1800,6300,7200,8000,8000,8000
,Aggregated,1893,0,370,608.2319070258849,44,15618,5778.904384574749,1.5484227472249348,0.0,370,480,540,620,890,1500,4800,6200,10000,16000,16000

