Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1075,0,190,274.04651162790697,107,1701,10398.72,0.8651708599299572,0.0,190,270,320,360,520,730,970,1200,1500,1700,1700
POST,/,143,0,490,610.5664335664336,248,2759,10460.314685314685,0.11508784462324081,0.0,490,630,720,770,930,1400,1800,2300,2800,2800,2800
GET,/auth/find-friends/,1532,0,100,172.08289817232375,52,1808,1974.0,1.2329690766629715,0.0,100,160,200,230,350,500,810,930,1600,1800,1800
GET,/auth/login/,1,0,845,845.0,845,845,2961.0,0.0008048101022604253,0.0,840,840,840,840,840,840,840,840,840,840,840
POST,/auth/login/,139,0,310,472.58992805755395,139,3154,10301.892086330936,0.11186860421419911,0.0,310,370,490,540,1100,1700,2100,3000,3200,3200,3200
GET,/auth/logout/,138,0,49,112.96376811594203,8,696,1712.0,0.11106379411193869,0.0,50,99,160,180,340,520,580,690,700,700,700
POST,/auth/modify-friend/,766,0,130,204.3537859007833,71,1581,1713.0,0.6164845383314858,0.0,130,200,230,270,380,530,800,1000,1600,1600,1600
GET,/public/,766,0,180,261.5443864229765,107,1784,10224.67362924282,0.6164845383314858,0.0,180,250,290,340,470,650,990,1100,1800,1800,1800
,Aggregated,4560,0,170,237.83859649122806,8,3154,5814.485745614035,3.6699340663075395,0.0,170,230,280,320,480,690,960,1200,2100,3200,3200
0,3200
