Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637170851,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637170852,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,622,622.0,622,622,10309.0
1637170852,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,199,199.0,199,199,2961.0
1637170852,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,200,410.5,199,622,6635.0
1637170853,1,GET,/,0.000000,0.000000,620,620,620,620,620,620,620,620,620,620,620,1,0,622,622.0,622,622,10309.0
1637170853,1,GET,/auth/login/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,1,0,199,199.0,199,199,2961.0
1637170853,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,690,690.0,690,690,2032.0
1637170853,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,423,423.0,423,423,1712.0
1637170853,1,,Aggregated,0.000000,0.000000,690,690,690,690,690,690,690,690,690,690,690,4,0,420,483.5,199,690,4253.5
1637170854,1,GET,/,0.000000,0.000000,620,620,620,620,620,620,620,620,620,620,620,1,0,622,622.0,622,622,10309.0
1637170854,1,GET,/auth/login/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,1,0,199,199.0,199,199,2961.0
1637170854,1,POST,/auth/login/,0.000000,0.000000,690,690,690,690,690,690,690,690,690,690,690,1,0,690,690.0,690,690,2032.0
1637170854,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,423,423.0,423,423,1712.0
1637170854,1,,Aggregated,0.000000,0.000000,690,690,690,690,690,690,690,690,690,690,690,4,0,420,483.5,199,690,4253.5
1637170855,1,GET,/,1.000000,0.000000,620,620,620,620,620,620,620,620,620,620,620,1,0,622,622.0,622,622,10309.0
1637170855,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,154,154.0,154,154,1974.0
1637170855,1,GET,/auth/login/,1.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,1,0,199,199.0,199,199,2961.0
1637170855,1,POST,/auth/login/,0.000000,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,452,571.0,452,690,2032.0
1637170855,1,GET,/auth/logout/,0.000000,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,423,423.0,423,423,1712.0
1637170855,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,222,222.0,222,222,10371.0
1637170855,1,,Aggregated,2.000000,0.000000,420,450,450,690,690,690,690,690,690,690,690,7,0,420,394.57142857142856,154,690,4484.428571428572
1637170856,1,GET,/,0.333333,0.000000,620,620,620,620,620,620,620,620,620,620,620,1,0,622,622.0,622,622,10309.0
1637170856,1,GET,/auth/find-friends/,0.000000,0.000000,300,300,300,300,300,300,300,300,300,300,300,3,0,150,196.33333333333334,132,303,1974.0
1637170856,1,GET,/auth/login/,0.333333,0.000000,200,200,200,200,200,200,200,200,200,200,200,1,0,199,199.0,199,199,2961.0
1637170856,1,POST,/auth/login/,0.333333,0.000000,690,690,690,690,690,690,690,690,690,690,690,2,0,452,571.0,452,690,2032.0
1637170856,1,GET,/auth/logout/,0.333333,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,423,423.0,423,423,1712.0
1637170856,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,277,277.0,277,277,1713.0
1637170856,1,GET,/public/,0.000000,0.000000,360,360,360,360,360,360,360,360,360,360,360,2,0,222,292.5,222,363,10286.5
1637170856,1,,Aggregated,1.333333,0.000000,300,360,420,450,690,690,690,690,690,690,690,11,0,300,348.8181818181818,132,690,4295.818181818182
