Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,586,0,420,483.0580204778157,67,3951,10227.221843003414,0.47210456528033606,0.0,420,510,590,630,820,1000,1400,1700,4000,4000,4000
POST,/,86,0,800,899.5813953488372,158,3330,10290.523255813954,0.06928497033124387,0.0,800,1000,1100,1200,1300,1500,2100,3300,3300,3300,3300
GET,/auth/find-friends/,808,0,350,404.8056930693069,25,2953,1974.0,0.650956465437733,0.0,350,460,520,560,710,960,1300,1600,3000,3000,3000
GET,/auth/login/,1,0,343,343.0,343,343,2961.0,0.0008056391898981844,0.0,340,340,340,340,340,340,340,340,340,340,340
POST,/auth/login/,73,0,1100,1159.5205479452054,147,2622,9844.876712328767,0.058811660862567464,0.0,1100,1400,1500,1800,1900,2300,2400,2600,2600,2600,2600
GET,/auth/logout/,73,0,330,356.8904109589041,10,1264,1712.0,0.058811660862567464,0.0,330,400,440,470,680,830,1200,1300,1300,1300,1300
POST,/auth/modify-friend/,404,0,350,411.0990099009901,28,3723,1713.0,0.3254782327188665,0.0,350,450,530,570,670,850,1300,1600,3700,3700,3700
GET,/public/,404,0,400,480.15841584158414,67,2642,10224.935643564357,0.3254782327188665,0.0,400,510,590,660,790,1100,1400,1800,2600,2600,2600
,Aggregated,2435,0,390,475.82258726899386,10,3951,5808.077207392197,1.9617314274020792,0.0,390,510,580,640,860,1200,1600,1900,3300,4000,4000

