Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637170845,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637170846,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,219,219.0,219,219,2384.0
1637170846,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,47,47.0,47,47,2961.0
1637170846,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,159,159.0,159,159,2032.0
1637170846,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,174,174.0,174,174,1712.0
1637170846,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,160,149.75,47,219,2272.25
1637170847,1,GET,/,0.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,1,0,219,219.0,219,219,2384.0
1637170847,1,GET,/auth/login/,0.000000,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47,47.0,47,47,2961.0
1637170847,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,160,270.5,159,382,2032.0
1637170847,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,174,174.0,174,174,1712.0
1637170847,1,,Aggregated,0.000000,0.000000,170,170,380,380,380,380,380,380,380,380,380,5,0,170,196.2,47,382,2224.2
1637170848,1,GET,/,1.000000,0.000000,220,220,220,220,220,220,220,220,220,220,220,1,0,219,219.0,219,219,2384.0
1637170848,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,110,117.5,109,126,1974.0
1637170848,1,GET,/auth/login/,1.000000,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47,47.0,47,47,2961.0
1637170848,1,POST,/auth/login/,0.000000,0.000000,380,380,380,380,380,380,380,380,380,380,380,2,0,160,270.5,159,382,2032.0
1637170848,1,GET,/auth/logout/,0.000000,0.000000,170,170,170,170,170,170,170,170,170,170,170,1,0,174,174.0,174,174,1712.0
1637170848,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,295,295.0,295,295,1713.0
1637170848,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,220,225.0,216,234,8322.5
1637170848,1,,Aggregated,2.000000,0.000000,220,230,300,300,380,380,380,380,380,380,380,10,0,170,196.1,47,382,3342.7
1637170849,1,GET,/,0.500000,0.000000,220,220,220,220,220,220,220,220,220,220,220,1,0,219,219.0,219,219,2384.0
