Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1744,0,110,152.96559633027522,53,6099,10395.737385321101,1.4030943152524964,0.0,110,130,150,160,210,270,350,470,5300,6100,6100
POST,/,250,0,280,358.012,104,5734,10388.212,0.20113163922770877,0.0,280,310,350,380,440,570,750,3800,5700,5700,5700
GET,/auth/find-friends/,2510,0,57,81.85378486055777,24,3507,1974.0,2.019361657846196,0.0,57,77,99,110,140,180,240,290,2000,3500,3500
GET,/auth/login/,1,0,24,24.0,24,24,2961.0,0.0008045265569108351,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,/auth/login/,252,0,160,299.25396825396825,73,6272,10368.785714285714,0.20274069234153044,0.0,160,200,240,270,380,730,1800,2900,6300,6300,6300
GET,/auth/logout/,251,0,31,48.386454183266935,8,491,1712.0,0.2019361657846196,0.0,31,47,72,83,100,160,220,240,490,490,490
POST,/auth/modify-friend/,1255,0,75,92.62948207171314,28,2100,1713.0,1.009680828923098,0.0,75,93,110,130,150,190,250,290,470,2100,2100
GET,/public/,1255,0,110,155.4637450199203,52,5960,10228.626294820717,1.009680828923098,0.0,110,140,150,170,210,270,350,440,5200,6000,6000
,Aggregated,7518,0,95,127.78212290502793,8,6272,5814.619180633147,6.048430654855658,0.0,95,120,140,150,210,270,370,470,5100,6300,6300
0
