Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637170845,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637170846,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,150,158.0,82,245,2149.3333333333335
1637170846,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,33,33.0,33,33,2961.0
1637170846,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,271,271.0,271,271,2032.0
1637170846,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,150,155.6,33,271,2288.2
1637170847,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,150,158.0,82,245,2149.3333333333335
1637170847,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,518,518.0,518,518,2141.0
1637170847,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,33,33.0,33,33,2961.0
1637170847,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,271,271.0,271,271,2032.0
1637170847,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9.0,9,9,1712.0
1637170847,1,,Aggregated,0.000000,0.000000,150,240,270,270,520,520,520,520,520,520,520,7,0,150,186.42857142857142,9,518,2184.8571428571427
1637170848,1,GET,/,0.000000,0.000000,150,150,240,240,240,240,240,240,240,240,240,3,0,150,158.0,82,245,2149.3333333333335
1637170848,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,518,518.0,518,518,2141.0
1637170848,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,80,98.0,80,116,1974.0
1637170848,1,GET,/auth/login/,0.000000,0.000000,33,33,33,33,33,33,33,33,33,33,33,1,0,33,33.0,33,33,2961.0
1637170848,1,POST,/auth/login/,0.000000,0.000000,270,270,270,270,270,270,270,270,270,270,270,2,0,160,213.5,156,271,2086.5
1637170848,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9.0,9,9,1712.0
1637170848,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,160,160.0,160,160,8765.0
1637170848,1,,Aggregated,0.000000,0.000000,150,160,240,240,270,520,520,520,520,520,520,11,0,150,165.1818181818182,9,518,2740.7272727272725
1637170849,1,GET,/,1.500000,0.000000,150,150,160,160,240,240,240,240,240,240,240,6,0,150,150.83333333333334,82,245,2231.5
1637170849,1,POST,/,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,1,0,518,518.0,518,518,2141.0
1637170849,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,80,88.75,79,116,1974.0
1637170849,1,GET,/auth/login/,0.500000,0.000000,33,33,33,33,33,33,33,33,33,33,33,1,0,33,33.0,33,33,2961.0
1637170849,1,POST,/auth/login/,0.500000,0.000000,270,270,270,270,270,270,270,270,270,270,270,2,0,160,213.5,156,271,2086.5
1637170849,1,GET,/auth/logout/,0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,1,0,9,9.0,9,9,1712.0
1637170849,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,120,148.0,116,180,1713.0
