Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637172567,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637172568,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,429,429.0,429,429,4066.0
1637172568,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,429,429.0,429,429,4066.0
1637172569,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,429,429.0,429,429,4066.0
1637172569,1,,Aggregated,0.000000,0.000000,430,430,430,430,430,430,430,430,430,430,430,1,0,429,429.0,429,429,4066.0
1637172570,1,GET,/,0.000000,0.000000,430,430,430,430,430,430,430,430,430,430,430,2,0,47,238.0,47,429,3049.0
1637172570,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,46,96.5,46,147,1974.0
1637172570,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1966,1966.0,1966,1966,2961.0
1637172570,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,113,113.0,113,113,2032.0
1637172570,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,134,134.0,134,134,10041.0
1637172570,1,,Aggregated,0.000000,0.000000,130,150,430,430,2000,2000,2000,2000,2000,2000,2000,7,0,130,411.7142857142857,46,1966,3582.8571428571427
1637172571,1,GET,/,0.500000,0.000000,430,430,430,430,430,430,430,430,430,430,430,2,0,47,238.0,47,429,3049.0
1637172571,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,45,55.75,27,147,1974.0
1637172571,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1966,1966.0,1966,1966,2961.0
1637172571,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,113,113.0,113,113,2032.0
1637172571,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,63,74.0,56,103,1713.0
1637172571,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,130,126.25,83,159,10182.25
1637172571,1,,Aggregated,0.500000,0.000000,63,110,130,150,430,2000,2000,2000,2000,2000,2000,19,0,63,196.21052631578948,27,1966,3829.0
1637172572,1,GET,/,0.333333,0.000000,47,47,430,430,430,430,430,430,430,430,430,3,0,47,174.0,46,429,2710.0
