Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637172567,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637172568,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,753,753.0,753,753,3411.0
1637172568,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,58,58.0,58,58,2961.0
1637172568,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,120,120.0,120,120,2032.0
1637172568,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,120,310.3333333333333,58,753,2801.3333333333335
1637172569,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,27,390.0,27,753,2721.5
1637172569,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,32,34.5,32,37,1974.0
1637172569,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,58,58.0,58,58,2961.0
1637172569,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,120,120.0,120,120,2032.0
1637172569,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,17,17.0,17,17,1712.0
1637172569,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,61,61.0,61,61,1713.0
1637172569,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,318,318.0,318,318,4406.0
1637172569,1,,Aggregated,0.000000,0.000000,58,61,120,320,750,750,750,750,750,750,750,9,0,58,158.11111111111111,17,753,2468.3333333333335
1637172570,1,GET,/,0.000000,0.000000,100,100,100,100,100,100,100,100,100,100,100,4,0,38,230.25,27,753,2376.75
