Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1478,0,140,161.76116373477672,42,2740,10419.866035182678,1.2884697095534825,0.0,140,160,180,200,270,310,400,450,850,2700,2700
POST,/,210,0,350,383.2047619047619,95,1041,10423.442857142858,0.1830707977038101,0.0,350,410,440,510,580,660,800,860,1000,1000,1000
GET,/auth/find-friends/,2133,0,70,91.54055321143929,37,2356,1974.0,1.8594762452487,0.0,70,84,110,120,170,220,280,330,520,2400,2400
GET,/auth/login/,1,0,17,17.0,17,17,2961.0,0.0008717657033514767,0.0,17,17,17,17,17,17,17,17,17,17,17
POST,/auth/login/,245,0,200,239.31020408163266,86,1271,10295.01224489796,0.2135825973211118,0.0,200,240,280,320,430,520,670,750,1300,1300,1300
GET,/auth/logout/,244,0,15,45.66393442622951,8,428,1712.0,0.21271083161776033,0.0,15,43,63,79,120,160,220,250,430,430,430
POST,/auth/modify-friend/,1066,0,88,112.12101313320825,49,727,1713.0,0.9293022397726742,0.0,88,110,130,150,200,260,320,360,440,730,730
GET,/public/,1067,0,130,161.16963448922212,77,5860,10224.455482661668,0.9301740054760257,0.0,130,160,180,200,260,300,380,430,540,5900,5900
,Aggregated,6444,0,110,135.95453134698946,8,5860,5816.037554314091,5.617658192396916,0.0,110,140,160,180,250,320,420,520,860,5900,5900
0
