Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,803,0,200,365.95018679950186,58,8678,10268.81195516812,0.7001528442805365,0.0,200,260,320,380,580,860,2600,3800,8700,8700,8700
POST,/,110,0,400,547.5090909090909,143,4419,10309.99090909091,0.09591134853158034,0.0,400,520,590,680,890,1400,2400,2400,4400,4400,4400
GET,/auth/find-friends/,1088,0,140,243.12591911764707,22,7412,1974.0,0.9486504291123582,0.0,140,200,260,300,450,590,1300,2000,6300,7400,7400
GET,/auth/login/,1,0,331,331.0,331,331,2961.0,0.0008719213502870939,0.0,330,330,330,330,330,330,330,330,330,330,330
POST,/auth/login/,115,0,380,806.2347826086957,83,5411,10130.808695652175,0.1002709552830158,0.0,380,570,770,980,2400,3500,4300,4900,5400,5400,5400
GET,/auth/logout/,114,0,120,140.359649122807,9,864,1712.0,0.09939903393272871,0.0,120,160,180,210,280,420,500,590,860,860,860
POST,/auth/modify-friend/,544,0,150,219.625,27,4930,1713.0,0.4743252145561791,0.0,150,200,240,300,460,570,680,1200,4900,4900,4900
GET,/public/,544,0,190,316.40992647058823,54,7187,10224.172794117647,0.4743252145561791,0.0,190,260,330,370,510,670,1300,2800,7200,7200,7200
,Aggregated,3319,0,180,307.0976197649895,9,8678,5840.512503766195,2.8939069616028648,0.0,180,240,310,360,530,760,1900,3200,7500,8700,8700

