Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637172567,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637172568,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,331,331.0,331,331,3212.0
1637172568,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,68,68.0,68,68,2961.0
1637172568,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,429,429.0,429,429,2032.0
1637172568,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,142,142.0,142,142,3367.0
1637172568,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,140,242.5,68,429,2893.0
1637172569,1,GET,/,0.000000,0.000000,330,330,330,330,330,330,330,330,330,330,330,1,0,331,331.0,331,331,3212.0
1637172569,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,100,440.5,100,781,1974.0
1637172569,1,GET,/auth/login/,0.000000,0.000000,68,68,68,68,68,68,68,68,68,68,68,1,0,68,68.0,68,68,2961.0
1637172569,1,POST,/auth/login/,0.000000,0.000000,430,430,430,430,430,430,430,430,430,430,430,1,0,429,429.0,429,429,2032.0
1637172569,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,142,142.0,142,142,3367.0
1637172569,1,,Aggregated,0.000000,0.000000,140,140,780,780,780,780,780,780,780,780,780,6,0,140,308.5,68,781,2586.6666666666665
1637172570,1,GET,/,0.000000,0.000000,330,330,330,330,330,330,330,330,330,330,330,1,0,331,331.0,331,331,3212.0
1637172570,1,GET,/auth/find-friends/,0.000000,0.000000,230,230,230,230,230,230,230,230,230,230,230,4,0,160,316.0,100,781,1974.0
1637172570,1,GET,/auth/login/,0.000000,0.000000,68,68,68,68,68,68,68,68,68,68,68,1,0,68,68.0,68,68,2961.0
1637172570,1,POST,/auth/login/,0.000000,0.000000,430,430,430,430,430,430,430,430,430,430,430,1,0,429,429.0,429,429,2032.0
1637172570,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,185,230.5,185,276,1713.0
1637172570,1,GET,/public/,0.000000,0.000000,200,200,200,200,200,200,200,200,200,200,200,2,0,142,172.5,142,203,4818.0
1637172570,1,,Aggregated,0.000000,0.000000,200,230,280,280,780,780,780,780,780,780,780,11,0,200,263.45454545454544,68,781,2651.181818181818
1637172571,1,GET,/,1.000000,0.000000,330,330,330,330,330,330,330,330,330,330,330,2,0,153,242.0,153,331,2692.5
1637172571,1,GET,/auth/find-friends/,0.000000,0.000000,81,81,160,160,230,230,230,230,230,230,230,8,0,81,194.125,65,781,1974.0
1637172571,1,GET,/auth/login/,1.000000,0.000000,68,68,68,68,68,68,68,68,68,68,68,1,0,68,68.0,68,68,2961.0
1637172571,1,POST,/auth/login/,1.000000,0.000000,430,430,430,430,430,430,430,430,430,430,430,1,0,429,429.0,429,429,2032.0
1637172571,1,POST,/auth/modify-friend/,0.000000,0.000000,99,99,99,99,99,99,99,99,99,99,99,4,0,99,164.0,96,276,1713.0
1637172571,1,GET,/public/,0.000000,0.000000,170,170,200,200,200,200,200,200,200,200,200,4,0,150,168.25,142,203,7430.75
1637172571,1,,Aggregated,3.000000,0.000000,150,170,180,200,280,780,780,780,780,780,780,20,0,150,193.15,65,781,3137.25
1637172572,1,GET,/,0.500000,0.000000,150,150,330,330,330,330,330,330,330,330,330,4,0,130,185.25,126,331,2574.75
1637172572,1,GET,/auth/find-friends/,1.000000,0.000000,81,130,160,160,230,230,230,230,230,230,230,10,0,81,174.9,65,781,1974.0
1637172572,1,GET,/auth/login/,0.500000,0.000000,68,68,68,68,68,68,68,68,68,68,68,1,0,68,68.0,68,68,2961.0
1637172572,1,POST,/auth/login/,0.500000,0.000000,430,430,430,430,430,430,430,430,430,430,430,1,0,429,429.0,429,429,2032.0
1637172572,1,POST,/auth/modify-friend/,0.000000,0.000000,99,99,99,99,99,99,99,99,99,99,99,4,0,99,164.0,96,276,1713.0
1637172572,1,GET,/public/,0.500000,0.000000,170,170,200,200,200,200,200,200,200,200,200,5,0,150,165.2,142,203,7998.4
1637172572,1,,Aggregated,3.000000,0.000000,140,150,170,180,230,280,780,780,780,780,780,25,0,140,178.76,65,781,3275.04
1637172573,1,GET,/,0.333333,0.000000,180,190,250,250,330,330,330,330,330,330,330,8,0,170,191.375,126,331,2515.875
