Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637174141,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637174142,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,398,398.0,398,398,5286.0
1637174142,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,245,245.0,245,245,2961.0
1637174142,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,245,321.5,245,398,4123.5
1637174143,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,398,398.0,398,398,5286.0
1637174143,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,120,189.5,118,261,1974.0
1637174143,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,245,245.0,245,245,2961.0
1637174143,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,612,612.0,612,612,2032.0
1637174143,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,238,238.0,238,238,9280.0
1637174143,1,,Aggregated,0.000000,0.000000,260,260,400,400,610,610,610,610,610,610,610,6,0,240,312.0,118,612,3917.8333333333335
1637174144,1,GET,/,0.000000,0.000000,370,370,400,400,400,400,400,400,400,400,400,3,0,370,346.6666666666667,268,398,3116.6666666666665
1637174144,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,120,189.5,118,261,1974.0
1637174144,1,GET,/auth/login/,0.000000,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,245,245.0,245,245,2961.0
1637174144,1,POST,/auth/login/,0.000000,0.000000,610,610,610,610,610,610,610,610,610,610,610,1,0,612,612.0,612,612,2032.0
1637174144,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,441,441.0,441,441,1713.0
1637174144,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,238,238.0,238,238,9280.0
1637174144,1,,Aggregated,0.000000,0.000000,270,370,400,440,610,610,610,610,610,610,610,9,0,270,328.3333333333333,118,612,3253.777777777778
1637174145,1,GET,/,0.000000,0.000000,370,370,400,400,400,400,400,400,400,400,400,3,0,370,346.6666666666667,268,398,3116.6666666666665
1637174145,1,GET,/auth/find-friends/,0.000000,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,120,189.5,118,261,1974.0
1637174145,1,GET,/auth/login/,0.000000,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,245,245.0,245,245,2961.0
1637174145,1,POST,/auth/login/,0.000000,0.000000,610,610,610,610,610,610,610,610,610,610,610,1,0,612,612.0,612,612,2032.0
1637174145,1,POST,/auth/modify-friend/,0.000000,0.000000,440,440,440,440,440,440,440,440,440,440,440,1,0,441,441.0,441,441,1713.0
1637174145,1,GET,/public/,0.000000,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,238,238.0,238,238,9280.0
1637174145,1,,Aggregated,0.000000,0.000000,270,370,400,440,610,610,610,610,610,610,610,9,0,270,328.3333333333333,118,612,3253.777777777778
1637174146,1,GET,/,0.333333,0.000000,400,400,530,530,530,530,530,530,530,530,530,4,0,370,392.75,268,531,2918.25
1637174146,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,1294,1294.0,1294,1294,2323.0
1637174146,1,GET,/auth/find-friends/,0.666667,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,120,189.5,118,261,1974.0
1637174146,1,GET,/auth/login/,0.333333,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,245,245.0,245,245,2961.0
1637174146,1,POST,/auth/login/,0.333333,0.000000,610,610,610,610,610,610,610,610,610,610,610,1,0,612,612.0,612,612,2032.0
1637174146,1,POST,/auth/modify-friend/,0.333333,0.000000,440,440,440,440,440,440,440,440,440,440,440,1,0,441,441.0,441,441,1713.0
1637174146,1,GET,/public/,0.333333,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,238,238.0,238,238,9280.0
1637174146,1,,Aggregated,2.333333,0.000000,370,440,530,530,610,1300,1300,1300,1300,1300,1300,11,0,370,434.54545454545456,118,1294,3084.5454545454545
1637174147,1,GET,/,0.750000,0.000000,400,400,530,530,530,530,530,530,530,530,530,4,0,370,392.75,268,531,2918.25
1637174147,1,POST,/,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1,0,1294,1294.0,1294,1294,2323.0
1637174147,1,GET,/auth/find-friends/,0.500000,0.000000,210,210,260,260,260,260,260,260,260,260,260,4,0,180,190.5,118,261,1974.0
1637174147,1,GET,/auth/login/,0.250000,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,245,245.0,245,245,2961.0
1637174147,1,POST,/auth/login/,0.250000,0.000000,610,610,610,610,610,610,610,610,610,610,610,1,0,612,612.0,612,612,2032.0
1637174147,1,POST,/auth/modify-friend/,0.250000,0.000000,440,440,440,440,440,440,440,440,440,440,440,2,0,320,380.5,320,441,1713.0
1637174147,1,GET,/public/,0.250000,0.000000,340,340,340,340,340,340,340,340,340,340,340,2,0,240,290.5,238,343,9644.5
1637174147,1,,Aggregated,2.250000,0.000000,320,370,440,530,610,1300,1300,1300,1300,1300,1300,15,0,320,388.4,118,1294,3306.6666666666665
1637174148,1,GET,/,0.600000,0.000000,350,370,400,400,530,530,530,530,530,530,530,7,0,350,348.7142857142857,260,531,2663.1428571428573
1637174148,1,POST,/,0.200000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1,0,1294,1294.0,1294,1294,2323.0
1637174148,1,GET,/auth/find-friends/,0.400000,0.000000,210,210,260,260,260,260,260,260,260,260,260,4,0,180,190.5,118,261,1974.0
1637174148,1,GET,/auth/login/,0.200000,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,245,245.0,245,245,2961.0
1637174148,1,POST,/auth/login/,0.200000,0.000000,610,610,610,610,610,610,610,610,610,610,610,1,0,612,612.0,612,612,2032.0
1637174148,1,POST,/auth/modify-friend/,0.200000,0.000000,440,440,440,440,440,440,440,440,440,440,440,2,0,320,380.5,320,441,1713.0
1637174148,1,GET,/public/,0.200000,0.000000,340,340,340,340,340,340,340,340,340,340,340,2,0,240,290.5,238,343,9644.5
1637174148,1,,Aggregated,2.000000,0.000000,320,350,400,440,610,1300,1300,1300,1300,1300,1300,18,0,270,372.0,118,1294,3142.722222222222
1637174149,1,GET,/,0.666667,0.000000,350,370,400,400,530,530,530,530,530,530,530,7,0,350,348.7142857142857,260,531,2663.1428571428573
1637174149,1,POST,/,0.166667,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,2,0,913,1103.5,913,1294,2424.5
1637174149,1,GET,/auth/find-friends/,0.333333,0.000000,210,210,260,260,260,260,260,260,260,260,260,4,0,180,190.5,118,261,1974.0
1637174149,1,GET,/auth/login/,0.166667,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,245,245.0,245,245,2961.0
1637174149,1,POST,/auth/login/,0.166667,0.000000,610,610,610,610,610,610,610,610,610,610,610,1,0,612,612.0,612,612,2032.0
1637174149,1,POST,/auth/modify-friend/,0.166667,0.000000,440,440,440,440,440,440,440,440,440,440,440,2,0,320,380.5,320,441,1713.0
1637174149,1,GET,/public/,0.333333,0.000000,340,340,340,340,340,340,340,340,340,340,340,2,0,240,290.5,238,343,9644.5
1637174149,1,,Aggregated,2.000000,0.000000,320,370,440,530,910,1300,1300,1300,1300,1300,1300,19,0,320,400.4736842105263,118,1294,3110.2631578947367
1637174150,1,GET,/,0.714286,0.000000,350,370,400,400,530,530,530,530,530,530,530,7,0,350,348.7142857142857,260,531,2663.1428571428573
1637174150,1,POST,/,0.142857,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,2,0,913,1103.5,913,1294,2424.5
1637174150,1,GET,/auth/find-friends/,0.571429,0.000000,260,260,260,260,270,270,270,270,270,270,270,6,0,210,215.0,118,266,1974.0
1637174150,1,GET,/auth/login/,0.142857,0.000000,240,240,240,240,240,240,240,240,240,240,240,1,0,245,245.0,245,245,2961.0
1637174150,1,POST,/auth/login/,0.142857,0.000000,610,610,610,610,610,610,610,610,610,610,610,1,0,612,612.0,612,612,2032.0
1637174150,1,POST,/auth/modify-friend/,0.285714,0.000000,320,320,440,440,440,440,440,440,440,440,440,3,0,320,359.0,316,441,1713.0
1637174150,1,GET,/public/,0.285714,0.000000,340,340,440,440,440,440,440,440,440,440,440,3,0,340,340.6666666666667,238,441,9846.666666666666
1637174150,1,,Aggregated,2.285714,0.000000,320,370,440,440,610,910,1300,1300,1300,1300,1300,23,0,320,386.69565217391306,118,1294,3261.1739130434785
1637174151,1,GET,/,0.875000,0.000000,350,350,370,400,530,530,530,530,530,530,530,9,0,350,338.55555555555554,258,531,2672.8888888888887
1637174151,1,POST,/,0.125000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,2,0,913,1103.5,913,1294,2424.5
1637174151,1,GET,/auth/find-friends/,0.500000,0.000000,260,260,260,260,270,270,270,270,270,270,270,6,0,210,215.0,118,266,1974.0
