Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637174141,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637174142,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,79,112.0,73,184,2909.3333333333335
1637174142,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,72,90.0,72,108,1974.0
1637174142,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,36,36.0,36,36,2961.0
1637174142,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,262,262.0,262,262,2032.0
1637174142,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,151,151.0,151,151,5242.0
1637174142,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,79,120.625,36,262,2863.875
1637174143,1,GET,/,0.000000,0.000000,75,75,75,75,75,75,75,75,75,75,75,5,0,75,96.0,69,184,2558.4
1637174143,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,72,78.0,69,108,1974.0
1637174143,1,GET,/auth/login/,0.000000,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637174143,1,POST,/auth/login/,0.000000,0.000000,260,260,260,260,260,260,260,260,260,260,260,1,0,262,262.0,262,262,2032.0
1637174143,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,96,130.0,96,164,1713.0
1637174143,1,GET,/public/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,3,0,140,143.33333333333334,138,151,7216.333333333333
1637174143,1,,Aggregated,0.000000,0.000000,75,96,140,140,140,160,160,160,160,160,160,18,0,75,107.55555555555556,36,262,3039.1111111111113
1637174144,1,GET,/,3.000000,0.000000,75,75,75,75,75,75,75,75,75,75,75,5,0,75,96.0,69,184,2558.4
1637174144,1,GET,/auth/find-friends/,0.000000,0.000000,76,76,83,83,93,93,93,93,93,93,93,10,0,73,79.0,69,108,1974.0
1637174144,1,GET,/auth/login/,1.000000,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637174144,1,POST,/auth/login/,1.000000,0.000000,260,260,260,260,260,260,260,260,260,260,260,1,0,262,262.0,262,262,2032.0
1637174144,1,POST,/auth/modify-friend/,0.000000,0.000000,99,99,110,110,110,110,110,110,110,110,110,5,0,99,113.2,96,164,1713.0
1637174144,1,GET,/public/,1.000000,0.000000,150,150,160,160,160,160,160,160,160,160,160,5,0,150,147.0,138,155,8220.8
1637174144,1,,Aggregated,6.000000,0.000000,93,99,110,140,150,160,160,160,160,160,160,27,0,93,106.25925925925925,36,262,3229.4074074074074
1637174145,1,GET,/,3.000000,0.000000,75,75,75,75,75,75,75,75,75,75,75,5,0,75,96.0,69,184,2558.4
1637174145,1,GET,/auth/find-friends/,0.000000,0.000000,73,76,83,93,100,100,100,100,100,100,100,14,0,72,78.57142857142857,69,108,1974.0
1637174145,1,GET,/auth/login/,1.000000,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637174145,1,POST,/auth/login/,1.000000,0.000000,260,260,260,260,260,260,260,260,260,260,260,1,0,262,262.0,262,262,2032.0
1637174145,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,15,15.0,15,15,1712.0
1637174145,1,POST,/auth/modify-friend/,0.000000,0.000000,99,110,110,110,110,110,110,110,110,110,110,7,0,99,110.14285714285714,96,164,1713.0
1637174145,1,GET,/public/,1.000000,0.000000,150,150,160,160,190,190,190,190,190,190,190,7,0,150,152.14285714285714,138,190,8708.285714285714
1637174145,1,,Aggregated,6.000000,0.000000,96,100,110,140,160,160,190,190,190,190,190,36,0,93,103.58333333333333,15,262,3335.6111111111113
1637174146,1,GET,/,1.666667,0.000000,75,75,75,75,75,75,75,75,75,75,75,5,0,75,96.0,69,184,2558.4
1637174146,1,GET,/auth/find-friends/,3.333333,0.000000,73,76,83,93,100,100,100,100,100,100,100,14,0,72,78.57142857142857,69,108,1974.0
1637174146,1,GET,/auth/login/,0.333333,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637174146,1,POST,/auth/login/,0.333333,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,143,202.5,143,262,2108.0
1637174146,1,GET,/auth/logout/,0.000000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15,15.0,15,15,1712.0
1637174146,1,POST,/auth/modify-friend/,1.333333,0.000000,99,110,110,110,110,110,110,110,110,110,110,7,0,99,110.14285714285714,96,164,1713.0
1637174146,1,GET,/public/,1.666667,0.000000,150,150,160,160,190,190,190,190,190,190,190,7,0,150,152.14285714285714,138,190,8708.285714285714
1637174146,1,,Aggregated,8.666667,0.000000,96,110,140,140,150,160,190,190,190,190,190,37,0,96,104.64864864864865,15,262,3304.4864864864867
1637174147,1,GET,/,1.250000,0.000000,110,110,130,130,140,140,140,140,140,140,140,9,0,110,106.77777777777777,69,184,2444.8888888888887
1637174147,1,GET,/auth/find-friends/,3.500000,0.000000,76,82,83,83,93,100,100,100,100,100,100,16,0,73,79.0625,69,108,1974.0
1637174147,1,GET,/auth/login/,0.250000,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637174147,1,POST,/auth/login/,0.250000,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,143,202.5,143,262,2108.0
1637174147,1,GET,/auth/logout/,0.250000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15,15.0,15,15,1712.0
1637174147,1,POST,/auth/modify-friend/,1.750000,0.000000,99,99,110,110,110,110,110,110,110,110,110,8,0,99,108.75,96,164,1713.0
1637174147,1,GET,/public/,1.750000,0.000000,140,150,160,160,190,190,190,190,190,190,190,8,0,140,150.5,138,190,8874.375
1637174147,1,,Aggregated,9.000000,0.000000,98,110,140,140,150,160,190,190,190,190,190,45,0,98,105.68888888888888,15,262,3270.5777777777776
1637174148,1,GET,/,1.000000,0.000000,130,130,130,140,150,150,150,150,150,150,150,13,0,130,115.53846153846153,69,184,2505.076923076923
1637174148,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,494,494.0,494,494,2616.0
1637174148,1,GET,/auth/find-friends/,2.800000,0.000000,76,82,83,83,93,100,100,100,100,100,100,16,0,73,79.0625,69,108,1974.0
1637174148,1,GET,/auth/login/,0.200000,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637174148,1,POST,/auth/login/,0.200000,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,143,202.5,143,262,2108.0
1637174148,1,GET,/auth/logout/,0.200000,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15,15.0,15,15,1712.0
1637174148,1,POST,/auth/modify-friend/,1.400000,0.000000,99,99,110,110,110,110,110,110,110,110,110,8,0,99,108.75,96,164,1713.0
1637174148,1,GET,/public/,1.400000,0.000000,140,150,160,160,190,190,190,190,190,190,190,8,0,140,150.5,138,190,8874.375
1637174148,1,,Aggregated,7.200000,0.000000,100,130,140,140,150,160,490,490,490,490,490,50,0,99,115.82,15,494,3207.08
1637174149,1,GET,/,1.333333,0.000000,130,130,140,140,140,150,150,150,150,150,150,15,0,130,117.93333333333334,69,184,2652.266666666667
1637174149,1,POST,/,0.000000,0.000000,490,490,490,490,490,490,490,490,490,490,490,1,0,494,494.0,494,494,2616.0
1637174149,1,GET,/auth/find-friends/,2.666667,0.000000,71,76,83,83,93,100,100,100,100,100,100,20,0,72,77.05,69,108,1974.0
1637174149,1,GET,/auth/login/,0.166667,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637174149,1,POST,/auth/login/,0.333333,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,143,202.5,143,262,2108.0
1637174149,1,GET,/auth/logout/,0.166667,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15,15.0,15,15,1712.0
1637174149,1,POST,/auth/modify-friend/,1.333333,0.000000,99,99,110,110,110,110,110,110,110,110,110,10,0,98,106.2,95,164,1713.0
1637174149,1,GET,/public/,1.333333,0.000000,140,140,150,160,190,190,190,190,190,190,190,10,0,140,148.3,138,190,9159.8
1637174149,1,,Aggregated,7.333333,0.000000,99,130,140,140,150,160,190,490,490,490,490,60,0,99,113.41666666666667,15,494,3324.95
1637174150,1,GET,/,1.714286,0.000000,130,130,130,140,140,150,150,150,150,150,150,17,0,130,119.52941176470588,69,184,2792.294117647059
1637174150,1,POST,/,0.142857,0.000000,490,490,490,490,490,490,490,490,490,490,490,2,0,361,427.5,361,494,3222.0
1637174150,1,GET,/auth/find-friends/,2.285714,0.000000,71,73,82,83,93,100,100,100,100,100,100,22,0,71,76.4090909090909,69,108,1974.0
1637174150,1,GET,/auth/login/,0.142857,0.000000,36,36,36,36,36,36,36,36,36,36,36,1,0,36,36.0,36,36,2961.0
1637174150,1,POST,/auth/login/,0.285714,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,143,202.5,143,262,2108.0
1637174150,1,GET,/auth/logout/,0.142857,0.000000,15,15,15,15,15,15,15,15,15,15,15,1,0,15,15.0,15,15,1712.0
1637174150,1,POST,/auth/modify-friend/,1.142857,0.000000,98,99,99,110,110,110,110,110,110,110,110,11,0,98,105.36363636363636,95,164,1713.0
1637174150,1,GET,/public/,1.142857,0.000000,140,140,150,160,190,190,190,190,190,190,190,11,0,140,147.54545454545453,138,190,9275.90909090909
1637174150,1,,Aggregated,7.000000,0.000000,99,130,140,140,150,160,360,490,490,490,490,67,0,99,116.50746268656717,15,494,3389.6716417910447
1637174151,1,GET,/,1.625000,0.000000,130,130,140,140,140,150,150,150,150,150,150,18,0,130,120.38888888888889,69,184,2875.277777777778
1637174151,1,POST,/,0.125000,0.000000,490,490,490,490,490,490,490,490,490,490,490,2,0,361,427.5,361,494,3222.0
1637174151,1,GET,/auth/find-friends/,2.500000,0.000000,71,73,76,82,83,93,100,100,100,100,100,26,0,71,75.46153846153847,68,108,1974.0
