Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1536,0,110,144.77473958333334,37,5279,10304.947265625,1.3625702163819666,0.0,110,140,150,170,230,290,380,570,4800,5300,5300
POST,/,224,0,280,342.88839285714283,115,3116,10228.33482142857,0.19870815655570345,0.0,280,340,380,440,560,630,880,1500,3100,3100,3100
GET,/auth/find-friends/,2258,0,51,89.88441098317095,24,11677,1974.0,2.0030491852802608,0.0,51,71,95,110,150,200,260,330,4800,12000,12000
GET,/auth/login/,1,0,258,258.0,258,258,2961.0,0.0008870899846236762,0.0,260,260,260,260,260,260,260,260,260,260,260
POST,/auth/login/,258,0,150,241.86434108527132,67,5033,10341.755813953489,0.22886921603290844,0.0,150,190,230,270,360,420,510,3700,5000,5000,5000
GET,/auth/logout/,257,0,15,44.206225680933855,8,813,1712.0,0.22798212604828477,0.0,15,41,58,79,99,140,230,300,810,810,810
POST,/auth/modify-friend/,1129,0,62,88.1036315323295,29,697,1713.0,1.0015245926401304,0.0,62,90,110,130,170,220,270,320,450,700,700
GET,/public/,1129,0,110,146.9069973427812,50,12242,10193.404782993799,1.0015245926401304,0.0,110,140,160,170,220,270,340,380,3400,12000,12000
,Aggregated,6792,0,89,123.8938457008245,8,12242,5761.231890459364,6.025115175564008,0.0,89,120,140,150,220,280,380,510,4800,12000,12000
00
