Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637174141,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637174142,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,834,834.0,834,834,5286.0
1637174142,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,89,89.0,89,89,2961.0
1637174142,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,89,461.5,89,834,4123.5
1637174143,1,GET,/,0.000000,0.000000,55,55,55,55,55,55,55,55,55,55,55,3,0,55,313.3333333333333,51,834,3116.6666666666665
1637174143,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,47,81.0,39,163,1974.0
1637174143,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,89,89.0,89,89,2961.0
1637174143,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,151,151.0,151,151,2032.0
1637174143,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,60,60.0,60,60,1713.0
1637174143,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,81,112.0,81,143,7615.0
1637174143,1,,Aggregated,0.000000,0.000000,75,89,140,140,150,160,160,160,160,160,160,12,0,75,149.0,39,834,3265.1666666666665
1637174144,1,GET,/,1.000000,0.000000,55,55,55,55,55,55,55,55,55,55,55,3,0,55,313.3333333333333,51,834,3116.6666666666665
1637174144,1,GET,/auth/find-friends/,0.000000,0.000000,75,75,75,75,75,75,75,75,75,75,75,4,0,47,81.0,39,163,1974.0
1637174144,1,GET,/auth/login/,0.000000,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89,89.0,89,89,2961.0
1637174144,1,POST,/auth/login/,0.000000,0.000000,150,150,150,150,150,150,150,150,150,150,150,1,0,151,151.0,151,151,2032.0
1637174144,1,POST,/auth/modify-friend/,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,2,0,60,529.5,60,999,1713.0
1637174144,1,GET,/public/,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,2,0,81,112.0,81,143,7615.0
1637174144,1,,Aggregated,1.000000,0.000000,81,89,150,150,160,1000,1000,1000,1000,1000,1000,13,0,81,214.3846153846154,39,999,3145.769230769231
1637174145,1,GET,/,1.500000,0.000000,55,55,200,200,200,200,200,200,200,200,200,4,0,55,285.75,51,834,2845.5
1637174145,1,GET,/auth/find-friends/,1.500000,0.000000,75,75,100,100,100,100,100,100,100,100,100,6,0,69,83.0,39,163,1974.0
1637174145,1,GET,/auth/login/,0.500000,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89,89.0,89,89,2961.0
1637174145,1,POST,/auth/login/,0.500000,0.000000,150,150,150,150,150,150,150,150,150,150,150,1,0,151,151.0,151,151,2032.0
1637174145,1,POST,/auth/modify-friend/,0.500000,0.000000,74,74,1000,1000,1000,1000,1000,1000,1000,1000,1000,3,0,74,377.6666666666667,60,999,1713.0
1637174145,1,GET,/public/,1.000000,0.000000,150,150,440,440,440,440,440,440,440,440,440,4,0,140,203.25,81,436,8774.75
1637174145,1,,Aggregated,5.500000,0.000000,89,140,150,160,440,1000,1000,1000,1000,1000,1000,19,0,89,201.42105263157896,39,999,3603.0
1637174146,1,GET,/,1.500000,0.000000,55,55,200,200,200,200,200,200,200,200,200,5,0,55,239.0,51,834,2682.8
1637174146,1,GET,/auth/find-friends/,1.500000,0.000000,75,100,100,120,120,120,120,120,120,120,120,8,0,69,83.875,39,163,1974.0
1637174146,1,GET,/auth/login/,0.500000,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89,89.0,89,89,2961.0
1637174146,1,POST,/auth/login/,0.500000,0.000000,150,150,150,150,150,150,150,150,150,150,150,1,0,151,151.0,151,151,2032.0
1637174146,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,40,40.0,40,40,1712.0
1637174146,1,POST,/auth/modify-friend/,0.500000,0.000000,74,74,1000,1000,1000,1000,1000,1000,1000,1000,1000,4,0,60,295.5,49,999,1713.0
1637174146,1,GET,/public/,1.000000,0.000000,150,150,440,440,440,440,440,440,440,440,440,4,0,140,203.25,81,436,8774.75
1637174146,1,,Aggregated,5.500000,0.000000,75,120,150,150,200,440,1000,1000,1000,1000,1000,24,0,75,172.54166666666666,39,999,3244.25
1637174147,1,GET,/,1.000000,0.000000,55,200,200,230,230,230,230,230,230,230,230,6,0,55,237.5,51,834,2604.3333333333335
1637174147,1,GET,/auth/find-friends/,1.500000,0.000000,75,100,100,120,120,120,120,120,120,120,120,8,0,69,83.875,39,163,1974.0
1637174147,1,GET,/auth/login/,0.250000,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89,89.0,89,89,2961.0
1637174147,1,POST,/auth/login/,0.250000,0.000000,370,370,370,370,370,370,370,370,370,370,370,2,0,151,261.5,151,372,2122.0
1637174147,1,GET,/auth/logout/,0.000000,0.000000,40,40,40,40,40,40,40,40,40,40,40,1,0,40,40.0,40,40,1712.0
1637174147,1,POST,/auth/modify-friend/,0.750000,0.000000,74,74,1000,1000,1000,1000,1000,1000,1000,1000,1000,4,0,60,295.5,49,999,1713.0
1637174147,1,GET,/public/,0.750000,0.000000,150,150,440,440,440,440,440,440,440,440,440,4,0,140,203.25,81,436,8774.75
1637174147,1,,Aggregated,4.500000,0.000000,81,140,150,200,370,440,1000,1000,1000,1000,1000,26,0,81,182.42307692307693,39,999,3164.846153846154
1637174148,1,GET,/,1.000000,0.000000,200,200,210,210,230,230,230,230,230,230,230,7,0,200,233.42857142857142,51,834,2580.4285714285716
1637174148,1,GET,/auth/find-friends/,1.600000,0.000000,100,120,160,160,160,160,160,160,160,160,160,10,0,75,99.6,39,165,1974.0
