Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,799,0,180,289.8135168961202,28,7190,10209.260325406758,0.7087212597660746,0.0,180,250,300,340,480,660,1200,3300,7200,7200,7200
POST,/,119,0,430,672.4201680672269,128,6928,10185.563025210084,0.105554230177926,0.0,430,600,670,780,1100,2500,4000,5600,6900,6900,6900
GET,/auth/find-friends/,1176,0,120,237.6530612244898,21,10384,1974.0,1.0431241570524452,0.0,130,200,240,280,390,540,970,3500,9000,10000,10000
GET,/auth/login/,1,0,122,122.0,122,122,2961.0,0.0008870103376296302,0.0,120,120,120,120,120,120,120,120,120,120,120
POST,/auth/login/,120,0,450,893.275,70,5502,10180.383333333333,0.10644124051555563,0.0,460,790,1000,1300,2700,3800,4200,4700,5500,5500,5500
GET,/auth/logout/,119,0,87,150.2941176470588,8,1105,1712.0,0.105554230177926,0.0,87,150,190,230,330,580,780,820,1100,1100,1100
POST,/auth/modify-friend/,588,0,120,204.5,25,6185,1713.0,0.5215620785262226,0.0,120,190,240,280,390,500,760,1700,6200,6200,6200
GET,/public/,588,0,190,266.4574829931973,51,5971,10150.712585034014,0.5215620785262226,0.0,190,250,310,340,450,560,830,2500,6000,6000,6000
,Aggregated,3510,0,160,282.95783475783475,8,10384,5725.04358974359,3.113406285080002,0.0,160,230,290,330,480,680,1600,3500,7200,10000,10000
000
