Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,538,0,370,444.9814126394052,78,3129,10265.908921933085,0.47767461946708667,0.0,370,470,530,580,720,950,1400,1800,3100,3100,3100
POST,/,69,0,730,906.4492753623189,213,2800,10223.507246376812,0.06126310175321372,0.0,730,990,1100,1200,1600,1700,2300,2800,2800,2800,2800
GET,/auth/find-friends/,786,0,310,372.5559796437659,35,5032,1974.0,0.6978666373626954,0.0,310,380,450,490,640,820,1100,1400,5000,5000,5000
GET,/auth/login/,1,0,275,275.0,275,275,2961.0,0.0008878710399016481,0.0,280,280,280,280,280,280,280,280,280,280,280
POST,/auth/login/,87,0,960,1177.287356321839,298,6421,10318.793103448275,0.07724478047144338,0.0,960,1200,1400,1500,1700,2600,4700,6400,6400,6400,6400
GET,/auth/logout/,86,0,260,329.5,23,2304,1712.0,0.07635690943154173,0.0,270,340,380,440,580,790,1200,2300,2300,2300,2300
POST,/auth/modify-friend/,393,0,300,350.85750636132315,47,2523,1713.0,0.3489333186813477,0.0,300,380,430,480,600,770,1100,1300,2500,2500,2500
GET,/public/,393,0,350,423.83460559796436,79,3638,10216.709923664122,0.3489333186813477,0.0,350,440,500,540,700,890,1300,1700,3600,3600,3600
,Aggregated,2353,0,340,437.851253718657,23,6421,5744.304717382065,2.089160556888578,0.0,340,440,520,570,780,1100,1500,1800,4700,6400,6400
00
