Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1977,0,89,113.98280222559434,41,4178,10362.30349013657,1.7532193543773935,0.0,89,100,110,120,170,220,300,390,3200,4200,4200
POST,/,265,0,240,284.8867924528302,78,4263,10348.758490566037,0.2350041117400148,0.0,240,260,290,310,390,510,580,810,4300,4300,4300
GET,/auth/find-friends/,2744,0,42,62.28935860058309,32,5007,1974.0,2.433401066470191,0.0,42,48,56,68,110,160,220,260,600,5000,5000
GET,/auth/login/,1,0,288,288.0,288,288,2961.0,0.0008868079688302445,0.0,290,290,290,290,290,290,290,290,290,290,290
POST,/auth/login/,294,0,120,179.58503401360545,87,3787,10352.380952380952,0.2607215428360919,0.0,120,140,160,180,270,370,510,2200,3800,3800,3800
GET,/auth/logout/,293,0,11,29.081911262798634,8,274,1712.0,0.25983473486726166,0.0,11,15,25,38,81,120,160,180,270,270,270
POST,/auth/modify-friend/,1372,0,54,73.67128279883381,42,2483,1713.0,1.2167005332350955,0.0,54,61,70,78,120,160,240,310,700,2500,2500
GET,/public/,1372,0,88,120.22084548104957,67,5580,10211.362244897959,1.2167005332350955,0.0,88,100,110,120,160,230,300,390,3800,5600,5600
,Aggregated,8318,0,75,96.10339023803799,8,5580,5837.190791055542,7.376468684729974,0.0,75,90,100,110,170,230,310,390,3200,5600,5600
0
