Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1267,0,130,151.02052091554853,38,2880,10315.007103393844,1.4422296830577306,0.0,130,150,170,190,230,290,380,450,740,2900,2900
POST,/,184,0,340,354.7173913043478,179,757,10492.679347826086,0.20944772034934683,0.0,340,380,440,490,520,590,720,740,760,760,760
GET,/auth/find-friends/,1850,0,67,81.72,36,755,1974.0,2.1058602317733244,0.0,67,73,82,95,140,200,250,340,520,760,760
GET,/auth/login/,1,0,19,19.0,19,19,2961.0,0.0011383028279855806,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,/auth/login/,170,0,180,215.84117647058824,73,1122,10324.888235294118,0.1935114807575487,0.0,180,200,240,270,350,450,560,1100,1100,1100,1100
GET,/auth/logout/,169,0,11,31.62130177514793,8,355,1712.0,0.19237317792956313,0.0,11,13,19,28,77,150,220,300,360,360,360
POST,/auth/modify-friend/,924,0,92,101.61255411255411,47,673,1713.0,1.0517918130586765,0.0,92,99,110,130,160,200,250,290,670,670,670
GET,/public/,925,0,140,156.56864864864866,72,3755,10209.006486486487,1.0529301158866622,0.0,140,150,170,190,230,290,390,500,3800,3800,3800
,Aggregated,5490,0,97,125.4216757741348,8,3755,5778.748633879782,6.2492825256408375,0.0,97,130,150,160,220,290,420,500,760,3800,3800
0,3800
