Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,918,0,140,226.1949891067538,64,1953,10216.693899782134,1.0460763819681398,0.0,140,230,300,340,460,590,810,1200,2000,2000,2000
POST,/,125,0,320,444.4,178,2021,10339.064,0.1424395944945724,0.0,320,460,540,680,800,1000,1500,1500,2000,2000,2000
GET,/auth/find-friends/,1254,0,77,164.06140350877192,26,1802,1974.0,1.4289540119695505,0.0,78,180,240,290,380,520,660,850,1400,1800,1800
GET,/auth/login/,1,0,234,234.0,234,234,2961.0,0.0011395167559565794,0.0,230,230,230,230,230,230,230,230,230,230,230
POST,/auth/login/,102,0,230,412.5,105,1759,10189.323529411764,0.11623070910757109,0.0,240,330,550,710,1100,1300,1500,1500,1800,1800,1800
GET,/auth/logout/,101,0,25,99.44554455445545,8,742,1712.0,0.11509119235161451,0.0,25,75,160,200,280,330,400,570,740,740,740
POST,/auth/modify-friend/,627,0,89,170.01594896331738,30,2628,1713.0,0.7144770059847753,0.0,89,180,250,290,380,510,640,720,2600,2600,2600
GET,/public/,627,0,140,213.9457735247209,60,1376,10210.317384370015,0.7144770059847753,0.0,140,220,280,320,410,550,780,890,1400,1400,1400
,Aggregated,3755,0,120,202.93661784287616,8,2628,5815.661251664447,4.278885418616955,0.0,120,210,280,320,440,590,800,1000,1800,2600,2600
0,1000,1800,2600,2600
