Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1250,0,120,146.4376,54,2176,10334.4648,1.4234269308631917,0.0,120,140,160,180,210,270,350,420,600,2200,2200
POST,/,178,0,320,350.7584269662921,114,1344,10314.14606741573,0.2026959949549185,0.0,320,360,410,420,470,580,630,710,1300,1300,1300
GET,/auth/find-friends/,1864,0,61,81.52896995708154,46,725,1974.0,2.1226142393031915,0.0,61,69,86,94,140,180,260,340,660,720,720
GET,/auth/login/,1,0,42,42.0,42,42,2961.0,0.0011387415446905533,0.0,42,42,42,42,42,42,42,42,42,42,42
POST,/auth/login/,185,0,160,193.04864864864865,91,623,10213.8,0.21066718576775237,0.0,160,170,200,220,320,410,520,560,620,620,620
GET,/auth/logout/,184,0,11,29.722826086956523,7,369,1712.0,0.20952844422306183,0.0,11,13,18,39,94,130,170,180,370,370,370
POST,/auth/modify-friend/,931,0,81,102.0343716433942,62,538,1713.0,1.0601683781069051,0.0,81,91,110,120,160,220,290,350,540,540,540
GET,/public/,932,0,120,149.98819742489272,92,2981,10206.639484978541,1.0613071196515957,0.0,120,140,160,180,220,290,360,400,3000,3000,3000
,Aggregated,5525,0,100,121.89321266968325,7,2981,5746.325429864253,6.2915470344153075,0.0,100,120,140,160,220,290,390,440,680,3000,3000
000,3000
