Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1028,0,120,171.2772373540856,32,5472,10295.743190661478,1.1731753812231145,0.0,120,140,170,180,250,340,560,1500,5300,5500,5500
POST,/,148,0,240,403.68243243243245,112,5345,10291.743243243243,0.16890073581811377,0.0,240,330,360,430,610,970,2600,4500,5300,5300,5300
GET,/auth/find-friends/,1393,0,61,130.50610193826273,22,7792,1974.0,1.5897211148285977,0.0,61,87,110,130,200,280,460,1400,7200,7800,7800
GET,/auth/login/,1,0,91,91.0,91,91,2961.0,0.001141221187960228,0.0,91,91,91,91,91,91,91,91,91,91,91
POST,/auth/login/,127,0,180,718.2992125984252,56,9925,10219.771653543306,0.14493509087094897,0.0,180,280,360,460,2100,4900,6300,6400,9900,9900,9900
GET,/auth/logout/,126,0,50,73.67460317460318,8,339,1712.0,0.14379386968298874,0.0,51,82,99,120,190,220,300,300,340,340,340
POST,/auth/modify-friend/,696,0,75,117.40517241379311,26,5330,1713.0,0.7942899468203187,0.0,75,97,120,140,200,250,380,640,5300,5300,5300
GET,/public/,697,0,120,187.10760401721663,52,8336,10207.370157819225,0.795431168008279,0.0,120,140,170,190,250,360,490,2000,8300,8300,8300
,Aggregated,4216,0,94,173.23031309297912,8,9925,5853.973671726755,4.811388528440322,0.0,94,130,150,180,250,350,650,2100,7200,9900,9900
0
