Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1703,0,92,104.48209042865531,45,5734,10311.211391661773,1.9378525630815107,0.0,92,98,100,110,130,160,220,260,2500,5700,5700
POST,/,266,0,230,239.83082706766916,115,660,10313.605263157895,0.3026827843685742,0.0,230,240,250,260,300,350,410,500,660,660,660
GET,/auth/find-friends/,2398,0,45,50.78231859883236,33,352,1974.0,2.7286966801347403,0.0,45,47,49,51,61,94,130,180,260,350,350
GET,/auth/login/,1,0,34,34.0,34,34,2961.0,0.0011379052043931361,0.0,34,34,34,34,34,34,34,34,34,34,34
POST,/auth/login/,253,0,120,147.9802371541502,91,2201,10394.0790513834,0.2878900167114634,0.0,120,140,150,160,190,260,310,330,2200,2200,2200
GET,/auth/logout/,252,0,11,16.297619047619047,8,125,1712.0,0.2867521115070703,0.0,11,12,13,14,22,65,77,110,120,120,120
POST,/auth/modify-friend/,1199,0,57,62.09257714762302,43,268,1713.0,1.3643483400673702,0.0,57,62,65,66,75,97,120,140,210,270,270
GET,/public/,1199,0,91,100.04253544620516,67,415,10193.949124270226,1.3643483400673702,0.0,91,96,100,100,130,170,240,280,390,420,420
,Aggregated,7271,0,71,82.44863154999312,8,5734,5828.301884197497,8.273708741142492,0.0,71,88,95,100,130,200,240,280,450,5700,5700

