Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1280,0,99,150.87109375,23,5741,10307.0703125,1.4571775259812958,0.0,99,120,150,160,220,300,440,1300,5500,5700,5700
POST,/,175,0,200,308.66857142857145,80,5457,10368.874285714286,0.1992234898802553,0.0,200,280,330,400,580,680,920,1400,5500,5500,5500
GET,/auth/find-friends/,1962,0,41,80.79714576962283,20,4581,1974.0,2.233579926543205,0.0,41,67,86,98,140,180,280,390,3800,4600,4600
GET,/auth/login/,1,0,26,26.0,26,26,2961.0,0.0011384199421728873,0.0,26,26,26,26,26,26,26,26,26,26,26
POST,/auth/login/,171,0,140,314.8888888888889,65,3977,10374.74269005848,0.19466981011156373,0.0,140,190,260,320,580,1100,2100,4000,4000,4000,4000
GET,/auth/logout/,170,0,20,46.78823529411765,8,754,1712.0,0.19353139016939086,0.0,21,46,62,74,100,130,220,380,750,750,750
POST,/auth/modify-friend/,981,0,43,78.54434250764525,24,2582,1713.0,1.1167899632716025,0.0,43,72,90,110,160,200,300,360,2600,2600,2600
GET,/public/,981,0,93,145.059123343527,41,4146,10145.037716615698,1.1167899632716025,0.0,93,120,140,160,210,300,510,1400,4100,4100,4100
,Aggregated,5721,0,76,120.05540989337528,8,5741,5695.05471071491,6.512900489171089,0.0,76,100,120,140,200,280,460,940,4100,5700,5700
00,5700,5700
