Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1637164371,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1637164372,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,41,164.0,41,287,2790.0
1637164372,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,43,58.0,43,73,1974.0
1637164372,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,32,32.0,32,32,2961.0
1637164372,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,228,228.0,228,228,2032.0
1637164372,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,144,144.0,144,144,4153.0
1637164372,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,0,73,121.14285714285714,32,287,2667.714285714286
1637164373,1,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,42,89.83333333333333,39,287,2284.6666666666665
1637164373,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,264,264.0,264,264,2142.0
1637164373,1,GET,/auth/find-friends/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,41,47.833333333333336,40,73,1974.0
1637164373,1,GET,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,32,32.0,32,32,2961.0
1637164373,1,POST,/auth/login/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,228,228.0,228,228,2032.0
1637164373,1,POST,/auth/modify-friend/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,53,91.33333333333333,45,176,1713.0
1637164373,1,GET,/public/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,88,105.33333333333333,84,144,6071.0
1637164373,1,,Aggregated,0.000000,0.000000,49,82,88,140,230,260,290,290,290,290,290,21,0,49,92.38095238095238,32,287,2668.5238095238096
1637164374,1,GET,/,0.000000,0.000000,48,65,65,82,82,82,82,82,82,82,82,7,0,48,86.28571428571429,39,287,2292.714285714286
1637164374,1,POST,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,264,264.0,264,264,2142.0
1637164374,1,GET,/auth/find-friends/,0.000000,0.000000,41,41,42,49,49,49,49,49,49,49,49,12,0,41,43.416666666666664,34,73,1974.0
1637164374,1,GET,/auth/login/,0.000000,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,2961.0
1637164374,1,POST,/auth/login/,0.000000,0.000000,230,230,230,230,230,230,230,230,230,230,230,1,0,228,228.0,228,228,2032.0
1637164374,1,GET,/auth/logout/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,18,18.0,18,18,1712.0
1637164374,1,POST,/auth/modify-friend/,0.000000,0.000000,53,54,54,55,55,55,55,55,55,55,55,6,0,53,72.5,45,176,1713.0
1637164374,1,GET,/public/,0.000000,0.000000,84,88,88,90,90,90,90,90,90,90,90,6,0,84,92.0,72,144,7350.5
1637164374,1,,Aggregated,0.000000,0.000000,49,72,82,88,180,260,290,290,290,290,290,35,0,49,75.82857142857142,18,287,2941.8571428571427
1637164376,1,GET,/,1.000000,0.000000,65,65,78,78,82,82,82,82,82,82,82,8,0,48,85.25,39,287,2346.375
1637164376,1,POST,/,0.000000,0.000000,260,260,260,260,260,260,260,260,260,260,260,1,0,264,264.0,264,264,2142.0
1637164376,1,GET,/auth/find-friends/,1.000000,0.000000,41,41,42,49,49,49,49,49,49,49,49,12,0,41,43.416666666666664,34,73,1974.0
1637164376,1,GET,/auth/login/,0.500000,0.000000,32,32,32,32,32,32,32,32,32,32,32,1,0,32,32.0,32,32,2961.0
1637164376,1,POST,/auth/login/,0.500000,0.000000,230,230,230,230,230,230,230,230,230,230,230,2,0,86,157.0,86,228,2377.0
1637164376,1,GET,/auth/logout/,0.000000,0.000000,18,18,18,18,18,18,18,18,18,18,18,1,0,18,18.0,18,18,1712.0
1637164376,1,POST,/auth/modify-friend/,0.500000,0.000000,53,54,54,55,55,55,55,55,55,55,55,6,0,53,72.5,45,176,1713.0
1637164376,1,GET,/public/,0.500000,0.000000,84,84,88,88,90,90,90,90,90,90,90,7,0,84,90.28571428571429,72,144,7752.285714285715
1637164376,1,,Aggregated,4.000000,0.000000,53,74,82,86,180,260,290,290,290,290,290,38,0,52,76.26315789473684,18,287,3120.315789473684
1637164377,1,GET,/,2.000000,0.000000,65,71,78,78,82,82,82,82,82,82,82,10,0,62,81.5,39,287,2482.7
1637164377,1,POST,/,0.333333,0.000000,260,260,260,260,260,260,260,260,260,260,260,2,0,220,241.5,219,264,2625.5
